rank_main,fund_code,fund_name,score_main,rank_style_neutral,style_neutral_score,rank_sector_neutral,sector_neutral_score,beta_mkt,beta_size,beta_金融地产,beta_消费,beta_医药,beta_科技,beta_制造,beta_周期,age_months,age_group,coverage,as_of
1.0,004320,前海开源沪港深乐享生活,1.9024776177579454,5.0,1.3960969746143586,5.0,1.1847622148596757,1.9377880733330732,1.0639906723797932,1.0005936841950367,-0.4752888373770909,-0.6593380678052618,-0.1459291784346488,1.3179668988710325,-0.07152862172506011,112.4,full,1.0,2026-09-23
2.0,002910,易方达供给改革混合,1.8622147201225001,1.0,1.6231591053999819,1.0,1.5331072565763384,1.1146904998508496,0.9766589026796595,0.9346213200754516,-0.0061014662188722535,-0.6834978276577757,0.1902472640787457,0.3901448932610865,0.3731549814464623,115.9,full,1.0,2026-09-23
3.0,005844,东方人工智能主题混合A,1.766700886991253,3.0,1.415101176543979,3.0,1.3159457296944677,1.3634281790016787,1.5668371154863947,0.7818421423783396,-0.4961514308470378,-0.7487071235527765,0.055687255952282855,0.5948307926803862,0.3375506261764105,99.5,full,1.0,2026-09-23
4.0,013840,银华集成电路混合A,1.7605977218740363,4.0,1.3988127510533603,4.0,1.2746969613882977,1.4042472761915785,1.5166354016855486,0.8038196383915798,-0.457109309993257,-0.8358550663731796,0.1256224316841228,0.6330613011576091,0.28423636658232054,57.5,full,1.0,2026-09-23
5.0,021179,易方达产业机遇混合A,1.7483903890568104,2.0,1.530733005275518,2.0,1.4473141140896277,1.062315546415036,0.8932077625490776,0.8947549971714275,0.0018825701139510986,-0.6355002172638358,0.17799207045874132,0.3390723294022776,0.379763193769712,24.8,short,1.0,2026-09-23
6.0,011369,华商均衡成长混合A,1.6186445965891303,11.0,1.1368058381703523,10.0,1.0182091690920465,1.8637243557893985,1.047477926857657,0.9890604911807075,-0.7957765825492527,-0.4615253432594981,-0.17502979783663453,1.0827076319002504,-0.033425751983712476,65.5,full,1.0,2026-09-23
7.0,001480,财通成长优选混合A,1.576806397270754,13.0,1.0702258550055026,11.0,0.9970461326596254,1.9818241170739959,0.8183241072926108,1.0054689500378315,-0.8432013555007696,-0.380301541341465,-0.22278212231825234,1.004565273841869,-0.00606846498117769,134.8,full,1.0,2026-09-23
8.0,481015,工银主题策略混合A,1.5438529838664015,8.0,1.1611228990546705,9.0,1.025029124026397,1.483563234059715,1.4395744275486013,0.8299061955459521,-0.4502429980343523,-0.8016164864515478,0.07819438013153202,0.719496867734332,0.21560618895328165,179.0,full,1.0,2026-09-23
9.0,005825,申万菱信智能驱动股票A,1.5356270397113798,10.0,1.154653825030697,12.0,0.9955201137739511,1.489168513906462,1.376664449962974,0.8067262217326705,-0.35909874584880797,-0.8239288395699883,0.11782812532472287,0.874059971969319,0.2871461508622377,99.4,full,1.0,2026-09-23
10.0,005119,银华智荟内在价值灵活配置混合发起A,1.5312815666337314,6.0,1.2077420923940874,6.0,1.0922663613247785,1.311117677507551,1.3647580301280184,0.793022048251437,-0.4035554194344091,-0.7648000790790117,0.14748668587291036,0.5616116710435637,0.2638964402920303,107.8,full,1.0,2026-09-23
11.0,006502,财通集成电路产业股票A,1.5129956100696464,18.0,1.001908688644667,14.0,0.9722826171901331,1.9944268777189986,0.8269974905356219,1.0637646447322273,-0.859867709359766,-0.30034513779818584,-0.23991078858016768,0.9534566121734451,0.03794479369290721,93.8,full,1.0,2026-09-23
12.0,018358,华富数字经济混合A,1.5009104268601647,12.0,1.0887712987499136,20.0,0.8419657521923896,1.6150318333635014,1.2176144246380443,0.8958151489116768,-0.19589276544984774,-0.8446304621167811,0.016047198975834287,1.1595157358743329,0.08941694015985252,39.1,full,1.0,2026-09-23
13.0,007490,南方信息创新混合A,1.4887256944884828,9.0,1.1564692792329605,8.0,1.0258048689236312,1.2998969682935884,1.5830020761141432,0.7511972735728275,-0.42450987876692964,-0.8456925358260948,0.128426138641051,0.615872300124218,0.35896211882258683,87.2,full,1.0,2026-09-23
14.0,001198,东方惠新灵活配置混合A,1.479946699046657,17.0,1.031636882364575,19.0,0.8420601993423529,1.6866551251327815,1.4543716360324077,0.9277108724966487,-0.3705062865094229,-1.110814073346788,0.14415939445755188,0.8024117417873341,0.23618970688617855,137.1,full,1.0,2026-09-23
15.0,001411,诺安创新驱动混合A,1.434093753471399,7.0,1.205442892068393,7.0,1.0343763123605538,1.0404175717570174,1.2122909635964658,0.6339936894456373,-0.2095104598986173,-0.5366362090637663,0.10429293692182895,0.7870268224540828,0.20876072796525738,135.2,full,1.0,2026-09-23
16.0,720001,财通价值动量混合A,1.4308105643763254,19.0,0.9963416443807653,16.0,0.8951666941646523,1.7806982265618272,0.6764472193091171,0.8856429356854121,-0.6952521278596414,-0.37782347159311247,-0.22168430870969968,0.8965029151564048,0.01696702051061169,177.7,full,1.0,2026-09-23
17.0,162214,宏利领先中小盘混合,1.428599037836554,14.0,1.0669147803114492,17.0,0.8798102915578552,1.3849610066899554,1.6239951980980125,0.7258011943350184,-0.36536308698490044,-1.025725582507612,0.13169605858664868,0.7298457307765023,0.37843114406551603,187.9,full,1.0,2026-09-23
18.0,014736,创金合信专精特新股票发起A,1.3967067686517702,16.0,1.0513673132913994,13.0,0.9907704131614932,1.3089588366903264,1.763966537119313,0.7652845159402082,-0.6867969311955515,-0.6464049467771877,0.13157454593867046,0.686046415261665,0.405143527511451,55.9,full,1.0,2026-09-23
19.0,110005,易方达积极成长混合,1.371904588927284,15.0,1.0665362239336476,15.0,0.9617883917147401,1.2497290160642742,1.389606082660273,0.8041669865316465,-0.28039063533953174,-0.8306585684165906,0.21878416039778736,0.5554590640376352,0.45610336173540356,264.4,full,1.0,2026-09-23
