rank,rank_lowconf,fund_code,fund_name,score,signal,confidence,age_months,age_group,coverage,as_of
1.0,,002910,易方达供给改革混合,1.882216432805936,ret_12m,main,115.8,full,1.0,2026-09-21
2.0,,021179,易方达产业机遇混合A,1.770560026276732,ret_12m,main,24.8,short,1.0,2026-09-21
3.0,,005844,东方人工智能主题混合A,1.7585482906199839,ret_12m,main,99.5,full,1.0,2026-09-21
4.0,,013840,银华集成电路混合A,1.7460103099213904,ret_12m,main,57.4,full,1.0,2026-09-21
5.0,,004320,前海开源沪港深乐享生活,1.7432596134544802,ret_12m,main,112.3,full,1.0,2026-09-21
6.0,,005119,银华智荟内在价值灵活配置混合发起A,1.5269703989545027,ret_12m,main,107.8,full,1.0,2026-09-21
7.0,,481015,工银主题策略混合A,1.5243266302515766,ret_12m,main,178.9,full,1.0,2026-09-21
8.0,,005825,申万菱信智能驱动股票A,1.5059587396716094,ret_12m,main,99.3,full,1.0,2026-09-21
9.0,,011369,华商均衡成长混合A,1.4824627976449647,ret_12m,main,65.4,full,1.0,2026-09-21
10.0,,007490,南方信息创新混合A,1.4773260654335099,ret_12m,main,87.1,full,1.0,2026-09-21
11.0,,001198,东方惠新灵活配置混合A,1.4535509809072558,ret_12m,main,137.0,full,1.0,2026-09-21
12.0,,001411,诺安创新驱动混合A,1.4344675672048037,ret_12m,main,135.1,full,1.0,2026-09-21
13.0,,018358,华富数字经济混合A,1.4277103427009972,ret_12m,main,39.1,full,1.0,2026-09-21
14.0,,001480,财通成长优选混合A,1.4252853907916871,ret_12m,main,134.8,full,1.0,2026-09-21
15.0,,162214,宏利领先中小盘混合,1.4031743928643596,ret_12m,main,187.8,full,1.0,2026-09-21
16.0,,006502,财通集成电路产业股票A,1.3715166469442979,ret_12m,main,93.7,full,1.0,2026-09-21
17.0,,014736,创金合信专精特新股票发起A,1.352502333172191,ret_12m,main,55.8,full,1.0,2026-09-21
18.0,,110005,易方达积极成长混合,1.3369337068273435,ret_12m,main,264.4,full,1.0,2026-09-21
19.0,,720001,财通价值动量混合A,1.2995544153875729,ret_12m,main,177.7,full,1.0,2026-09-21
20.0,,002289,华商改革创新股票A,1.2644254328000843,ret_12m,main,102.7,full,1.0,2026-09-21
21.0,,013107,华夏先进制造龙头混合A,1.237258781919766,ret_12m,main,58.2,full,1.0,2026-09-21
22.0,,001184,易方达新常态混合A,1.2200993152098483,ret_12m,main,136.7,full,1.0,2026-09-21
23.0,,005628,汇安趋势动力股票A,1.2186700807457638,ret_12m,main,100.9,full,1.0,2026-09-21
24.0,,021626,华富半导体产业混合发起式A,1.2117922751547758,ret_12m,main,21.9,short,1.0,2026-09-21
25.0,,630001,华商领先企业混合,1.2068531672702179,ret_12m,main,232.2,full,1.0,2026-09-21
26.0,,001170,宏利复兴混合A,1.1932364107931521,ret_12m,main,137.0,full,1.0,2026-09-21
27.0,,016500,华夏半导体龙头混合发起A,1.1827147651041483,ret_12m,main,48.1,full,1.0,2026-09-21
28.0,,020469,长城半导体混合发起式A,1.181490411865811,ret_12m,main,30.8,short,1.0,2026-09-21
29.0,,002125,广发新兴成长混合A,1.1647231589791343,ret_12m,main,108.2,full,1.0,2026-09-21
30.0,,011891,易方达先锋成长混合A,1.1594890496257797,ret_12m,main,59.9,full,1.0,2026-09-21
31.0,,001437,易方达瑞享混合I,1.1563394279894395,ret_12m,main,134.9,full,1.0,2026-09-21
32.0,,005903,宏利绩优混合A,1.1319307512368222,ret_12m,main,99.3,full,1.0,2026-09-21
33.0,,001723,华商新动力混合A,1.1295605469791843,ret_12m,main,132.1,full,1.0,2026-09-21
34.0,,008528,华泰柏瑞质量成长A,1.1285147544692529,ret_12m,main,78.1,full,1.0,2026-09-21
35.0,,001741,广发百发大数据精选混合A,1.1272981761130105,ret_12m,main,132.2,full,1.0,2026-09-21
36.0,,010115,易方达远见成长混合A,1.1255890191853166,ret_12m,main,66.6,full,1.0,2026-09-21
37.0,,018776,金信精选成长混合A,1.1101402046357105,ret_12m,main,36.2,full,1.0,2026-09-21
38.0,,010335,华宝竞争优势混合A,1.107315138485398,ret_12m,main,69.4,full,1.0,2026-09-21
39.0,,519773,交银数据产业灵活配置混合A,1.1055000019153218,ret_12m,main,121.2,full,1.0,2026-09-21
40.0,,162201,宏利成长混合,1.1020669765810238,ret_12m,main,280.9,full,1.0,2026-09-21
41.0,,019829,华夏数字产业混合A,1.099772659891511,ret_12m,main,29.9,short,1.0,2026-09-21
42.0,,005819,国泰优势行业混合A,1.0957246737315143,ret_12m,main,100.2,full,1.0,2026-09-21
43.0,,007872,金信稳健策略混合A,1.0925544479583569,ret_12m,main,81.3,full,1.0,2026-09-21
44.0,,010415,华泰柏瑞质量精选混合A,1.0840482790621473,ret_12m,main,65.7,full,1.0,2026-09-21
45.0,,540010,汇丰晋信科技先锋股票,1.0831347160463567,ret_12m,main,181.8,full,1.0,2026-09-21
46.0,,000742,国泰新经济灵活配置混合A,1.0781050126806084,ret_12m,main,144.2,full,1.0,2026-09-21
47.0,,011488,申万菱信乐享混合A,1.0779981700955377,ret_12m,main,65.9,full,1.0,2026-09-21
48.0,,519770,交银优择回报灵活配置混合A,1.0605857409636843,ret_12m,main,125.0,full,1.0,2026-09-21
49.0,,007639,汇添富竞争优势灵活配置混合,1.0540427323100436,ret_12m,main,84.6,full,1.0,2026-09-21
50.0,,010912,国泰成长价值混合A,1.0519083452179285,ret_12m,main,66.0,full,1.0,2026-09-21
