t_date,regime,r_gross,r_net,nav_gross,nav_net,bench_ret,pool_ret,pool_ret_net,n_held,turnover_2sided
2006-12-29,bull,0.0,-0.00024999999999997247,1.0,0.99975,0.19056054803022482,0.1425616835731271,0.14224547653802966,0,0.3333333333333333
2007-01-31,bull,0.12911365128841382,0.12883137287559188,1.129113651288414,1.128549165032373,0.1686820538674514,0.11941716415438167,0.11917868697398992,1,0.3333333333333333
2007-02-28,bull,0.017125272388299605,0.016870991070202512,1.1484500301240754,1.1475889079179187,0.06675624178574502,0.025672610268196203,0.025456807127013814,2,0.3333333333333333
2007-03-30,bull,0.053972545642367455,0.05370905250595692,1.2104348017929254,1.2092248208285359,0.0932231798601808,0.05619823436783541,0.056143107257641045,3,0.3333333333333333
2007-04-30,bull,0.17999375926138916,0.17969876082157388,1.4283055121084485,1.4265210226861136,0.2792901965069896,0.1842419165648398,0.1839872097529074,4,0.3333333333333333
2007-05-31,bull,0.10524377482566097,0.10496746388195466,1.5786257758070403,1.5762593166117673,0.103757570512228,0.10075884754983094,0.10049607378668224,5,0.3333333333333333
2007-06-29,bull,0.016980736362133406,0.015879007231074604,1.6054320039204881,1.6012887496982944,-0.04171995991804389,0.012590144408612482,0.012304908999062114,6,0.3333333333333333
2007-07-31,bull,0.13744378506730134,0.1362115543001452,1.8260886552075026,1.8194027791780352,0.1850349541109404,0.13398942545391243,0.13363431884142196,6,0.3333333333333333
2007-08-31,bull,0.1422688751217154,0.14103141717366685,2.0858842340564,2.0759957315352215,0.1874760680487937,0.13615242664712654,0.13571423266389782,6,0.3333333333333333
2007-09-28,bull,0.05232886589879287,0.05118884296073589,2.1950361904207436,2.182263551023936,0.053617146763534906,0.05301493350619349,0.05276790691331579,6,0.3333333333333333
2007-10-31,bull,0.018314101137588103,0.017210927528022335,2.235236305212775,2.219822330847654,0.019303639093443792,0.015049248765579266,0.014734091682884864,6,0.3333333333333333
2007-11-30,bull,-0.12665560387322236,-0.12760172696902639,1.9521311011767006,1.9365691678670838,-0.1672018652227819,-0.12274221549968925,-0.12307013778520115,6,0.3333333333333333
2007-12-28,bull,0.10458543984060868,0.10338880561411479,2.1562955910197976,2.1367887411219817,0.12683454749939194,0.10287941249956062,0.10237039123225311,6,0.3333333333333333
2008-01-31,bull,-0.08470442713495069,-0.08569599733888777,1.9736478082488458,1.9536744988490269,-0.13447677386421641,-0.07981396954255367,-0.07991528772845824,6,0.3333333333333333
2008-02-29,bull,0.009414658566015099,0.008321126019235292,1.9922290284930726,1.969931270554516,0.011719545554595978,0.010764513931449324,0.01061284377871341,6,0.3333333333333333
2008-03-31,bull,-0.14314835150948288,-0.14407660746201434,1.7070447272349507,1.686110256159686,-0.189113390593747,-0.14185614780585312,-0.14205453751563724,6,0.3333333333333333
