t_date,regime,r_gross,r_net,nav_gross,nav_net,bench_ret,pool_ret,pool_ret_net,n_held,turnover_2sided
2006-12-29,bull,0.0,-0.00024999999999997247,1.0,0.99975,0.19056054803022482,0.1425616835731271,0.14224547653802966,0,0.3333333333333333
2007-01-31,bull,0.13334390790596548,0.133060571928989,1.1333439079059655,1.1327773067860067,0.1686820538674514,0.11941716415438167,0.11917868697398992,1,0.3333333333333333
2007-02-28,bull,0.01599614394214581,0.015742144906160327,1.1514730401927835,1.1506096512958421,0.06675624178574502,0.025672610268196203,0.025456807127013814,2,0.3333333333333333
2007-03-30,bull,0.05647631235938557,0.056212193281295786,1.2165039912841227,1.2152879434058084,0.0932231798601808,0.05619823436783541,0.056143107257641045,3,0.3333333333333333
2007-04-30,bull,0.1867908924460735,0.18649419472296191,1.4437358574802943,1.4419320897677992,0.2792901965069896,0.1842419165648398,0.1839872097529074,4,0.3333333333333333
2007-05-31,bull,0.11043491192931884,0.11015730320133654,1.6031746997503302,1.6007714401760875,0.103757570512228,0.10075884754983094,0.10049607378668224,5,0.3333333333333333
2007-06-29,bull,0.020855169035145654,0.019749242602024264,1.6366091791064923,1.632385463698517,-0.04171995991804389,0.012590144408612482,0.012304908999062114,6,0.3333333333333333
2007-07-31,bull,0.14212292276694663,0.14088562293394924,1.8692088590683202,1.862365106620006,0.1850349541109404,0.13398942545391243,0.13363431884142196,6,0.3333333333333333
2007-08-31,bull,0.14814701545816447,0.14690318952475145,2.146126572807253,2.135952480842089,0.1874760680487937,0.13615242664712654,0.13571423266389782,6,0.3333333333333333
2007-09-28,bull,0.05260339072142566,0.05146307038147735,2.259020107454267,2.2458751536951564,0.053617146763534906,0.05301493350619349,0.05276790691331579,6,0.3333333333333333
2007-10-31,bull,0.019555671254837374,0.018451152610978072,2.30319676203371,2.2873141389011895,0.019303639093443792,0.015049248765579266,0.014734091682884864,6,0.3333333333333333
2007-11-30,bull,-0.12877719775182314,-0.12972102245425865,2.006597537147936,1.990601410128845,-0.1672018652227819,-0.12274221549968925,-0.12307013778520115,6,0.3333333333333333
2007-12-28,bull,0.1066834347405962,0.1054845276862939,2.220668254552899,2.2005790596879566,0.12683454749939194,0.10287941249956062,0.10237039123225311,6,0.3333333333333333
2008-01-31,bull,-0.0832171323173561,-0.08421031375734556,2.0358706105808184,2.0152676066237896,-0.13447677386421641,-0.07981396954255367,-0.07991528772845824,6,0.3333333333333333
2008-02-29,bull,0.007511345252023652,0.006419874628000644,2.051162737625339,2.028205372000185,0.011719545554595978,0.010764513931449324,0.01061284377871341,6,0.3333333333333333
2008-03-31,bull,-0.14380636237451247,-0.1447339054819401,1.7561924856892925,1.7346552873911472,-0.189113390593747,-0.14185614780585312,-0.14205453751563724,6,0.3333333333333333
