t_date,pool_n,delisted_in_pool,delisted_top
2024-01-31,4676,540,19
2024-02-29,4686,535,7
2024-03-29,4706,538,0
2024-04-30,4735,539,2
2024-05-31,4765,531,1
2024-06-28,4807,538,0
2024-07-31,4823,533,1
2024-08-30,4843,528,2
2024-09-30,4831,497,0
2024-10-31,4836,477,0
2024-11-29,4862,469,0
2024-12-31,4869,450,1
2025-01-27,4872,426,1
2025-02-28,4892,417,0
