t_date,r_mom,r_pool,w_mom,r_vt_mom,cost_vt_mom,turn_vt_mom,w_pool,r_vt_pool,cost_vt_pool,turn_vt_pool
2005-07-29,-0.00024999999999997247,0.0204863933733197,,,0.0,0.0,,,0.0,0.0
2005-08-31,0.02412618704377345,0.024879555486216898,,,0.0,0.0,,,0.0,0.0
2005-09-30,0.0037592263399754966,0.004563722170538798,,,0.0,0.0,,,0.0,0.0
2005-10-31,-0.022313963920161273,-0.022271281813949773,,,0.0,0.0,,,0.0,0.0
2005-11-30,-0.02193017207612713,-0.020503814888117367,,,0.0,0.0,,,0.0,0.0
2005-12-30,0.05546442017136677,0.057081342167380145,,,0.0,0.0,,,0.0,0.0
2006-01-25,0.07139782459839017,0.07467603862283112,,,0.0,0.0,,,0.0,0.0
2006-02-28,0.022587619490620492,0.02226593812352573,,,0.0,0.0,,,0.0,0.0
2006-03-31,0.05439859836590277,0.048748611157581445,,,0.0,0.0,,,0.0,0.0
2006-04-28,0.14400807303782037,0.14433370950412994,,,0.0,0.0,,,0.0,0.0
2006-05-31,0.1425800537011359,0.14471419817883224,,,0.0,0.0,,,0.0,0.0
2006-06-30,0.026856706791204665,0.028267778492769624,,,0.0,0.0,,,0.0,0.0
2006-07-31,-0.054237898266199736,-0.04817471748286617,0.7775230474135412,-0.04291616193317355,0.0011123847629322943,0.22247695258645883,0.789481117104489,-0.03873793513835253,0.0010525944144775552,0.21051888289551102
2006-08-31,0.03461517704467476,0.035185123870316026,0.7065017730232067,0.024585313767444862,0.00035510637195167226,0.07102127439033445,0.7124569276707091,0.025157665066945542,0.00038512094716889933,0.07702418943377987
2006-09-29,0.050995112612004734,0.04724773880295685,0.7079934143312687,0.03658423904734672,2.2374619620930127e-06,0.0014916413080620083,0.7140182448940317,0.03420572767888724,2.3419758349838004e-06,0.0015613172233225336
2006-10-31,0.01815520387151137,0.02005256217326945,0.718538245025609,0.01349424805359777,1.581724604151047e-05,0.010544830694340313,0.7255519325710529,0.014985148002815099,1.7300531515531848e-05,0.011533687677021232
2006-11-30,0.13667798728303282,0.12802782842177418,0.7543928672084685,0.10346075692559217,5.378193327428926e-05,0.03585462218285951,0.7640825634366468,0.098155672212463,5.779594629839091e-05,0.03853063086559394
2006-12-29,0.15198665815621126,0.14224547653802966,0.737302769922,0.11240859939659341,8.545048643234299e-05,0.017090097286468597,0.7595760278881363,0.10842080111294244,2.2532677742552743e-05,0.0045065355485105485
