t_date,regime,r_gross,r_net,nav_gross,nav_net,bench_ret,pool_ret,pool_ret_net,n_held,turnover_2sided
2006-12-29,bull,0.0,-0.00024999999999997247,1.0,0.99975,0.19056054803022482,0.1425616835731271,0.14224547653802966,0,0.3333333333333333
2007-01-31,bull,0.1226800837129713,0.12239941369204321,1.1226800837129713,1.1221188138386202,0.1686820538674514,0.11941716415438167,0.11917868697398992,1,0.3333333333333333
2007-02-28,bull,0.016491259917971506,0.016237137102991905,1.1411944927782118,1.1403388108647645,0.06675624178574502,0.025672610268196203,0.025456807127013814,2,0.3333333333333333
2007-03-30,bull,0.05847963102618343,0.058215011118426974,1.2079311256449943,1.2067236474180305,0.0932231798601808,0.05619823436783541,0.056143107257641045,3,0.3333333333333333
2007-04-30,bull,0.19026932302636684,0.1899717556956102,1.4377633631839446,1.4359670573574443,0.2792901965069896,0.1842419165648398,0.1839872097529074,4,0.3333333333333333
2007-05-31,bull,0.10875499804933471,0.10847780929982243,1.5941273149424195,1.5917376179662923,0.103757570512228,0.10075884754983094,0.10049607378668224,5,0.3333333333333333
2007-06-29,bull,0.013046843235866254,0.011949375822360775,1.6149256441184858,1.6107578889739609,-0.04171995991804389,0.012590144408612482,0.012304908999062114,6,0.3333333333333333
2007-07-31,bull,0.1450656599575885,0.14382517215930113,1.849195898464968,1.8424254196625933,0.1850349541109404,0.13398942545391243,0.13363431884142196,6,0.3333333333333333
2007-08-31,bull,0.14839706536741412,0.14715296854659932,2.123611143086628,2.1135437894916578,0.1874760680487937,0.13615242664712654,0.13571423266389782,6,0.3333333333333333
2007-09-28,bull,0.05719053611306032,0.056045246365604484,2.245061602855421,2.231997871878211,0.053617146763534906,0.05301493350619349,0.05276790691331579,6,0.3333333333333333
2007-10-31,bull,0.017700519898985502,0.016598011002428192,2.2848003604312113,2.269044597113042,0.019303639093443792,0.015049248765579266,0.014734091682884864,6,0.3333333333333333
2007-11-30,bull,-0.13259254100418538,-0.13353223241809753,1.9818528749543582,1.966054006604315,-0.1672018652227819,-0.12274221549968925,-0.12307013778520115,6,0.3333333333333333
2007-12-28,bull,0.10824806433982437,0.10704746227012274,2.1963846124744832,2.176515098697314,0.12683454749939194,0.10287941249956062,0.10237039123225311,6,0.3333333333333333
2008-01-31,bull,-0.08522278414340723,-0.0862137927939185,2.0092026007496693,1.9888694769653887,-0.13447677386421641,-0.07981396954255367,-0.07991528772845824,6,0.3333333333333333
2008-02-29,bull,0.011308032320117121,0.010212448618436953,2.03192272869661,2.0091807043076755,0.011719545554595978,0.010764513931449324,0.01061284377871341,6,0.3333333333333333
2008-03-31,bull,-0.14804572400828542,-0.14896867447394313,1.7311052571978294,1.7098757180083375,-0.189113390593747,-0.14185614780585312,-0.14205453751563724,6,0.3333333333333333
2008-04-30,bull,0.02221993307267268,0.02111252814517739,1.7695703001545169,1.745975517229544,0.044476366101837916,0.02001476352965125,0.019793880747075,6,0.3333333333333333
2008-05-30,mix,-0.058290002288946784,-0.05931018811980038,1.6664220433080579,1.6424213808500938,-0.08784504835545492,-0.052143656107376715,-0.05239773669789216,6,0.3333333333333333
2008-06-30,mix,-0.1521254844566773,-0.15304401518184918,1.4129167826605336,1.3910586181042783,-0.22692775237931728,-0.14691429594119787,-0.14702894946753386,6,0.3333333333333333
2008-07-31,bear,0.012998313485216661,0.011900898645607727,1.431282317930079,1.4076134657284365,0.004796514387215067,0.011256281362856389,0.011056290280248238,6,0.3333333333333333
2008-08-29,bear,-0.09861553123460938,-0.09959203107577197,1.2901356518007012,1.267426381706935,-0.14742924772120458,-0.10739725540342869,-0.10761092813521811,6,0.3333333333333333
2008-09-26,bear,-0.05211920027466452,-0.053146071141033646,1.2228948133830155,1.2000676490587152,-0.061875114983860335,-0.05440884448879208,-0.054545416365980204,6,0.3333333333333333
2008-10-31,bear,-0.14075848292878837,-0.1416893279056155,1.0507619946697386,1.0300308704223138,-0.2585051993241392,-0.1647710040002257,-0.16488920850039424,6,0.3333333333333333
2008-11-28,bear,0.059439976592747586,0.05829224995143867,1.1132192630374567,1.0900736873786692,0.09993868939566974,0.0740045607936361,0.07391939961444649,6,0.3333333333333333
2008-12-31,bear,0.02676157128182481,0.025649246246269408,1.143010759697534,1.1180332558128236,-0.006668036486761175,0.024495474729758097,0.02438790046209527,6,0.3333333333333333
2009-01-23,bear,0.04352734217847498,0.04239685422444839,1.1927629801485673,1.1654343487776053,0.11825790742478781,0.059988181123057024,0.05988605396191904,6,0.3333333333333333
2009-02-27,bear,0.03036872954908681,0.029252496758741975,1.228985676508862,1.1995262132877489,0.05303682523877318,0.03338775735722733,0.0333075940700327,6,0.3333333333333333
2009-03-31,bear,0.08501341130415445,0.08383798010857513,1.3334659413128245,1.3000920680970816,0.1715963034614989,0.1094689882556449,0.10938369165318318,6,0.3333333333333333
2009-04-30,bear,0.037160820437111365,0.03603722954830468,1.3830186297169542,1.3469437843890262,0.0459117573288661,0.042093470531509226,0.04201207642890137,6,0.3333333333333333
2009-05-27,mix,0.03473709364830436,0.0336161284635188,1.4310606773747818,1.3922228196781858,0.05215015597085082,0.037632008748598886,0.037555325549542884,6,0.3333333333333333
2009-06-30,bear,0.08184665657270355,0.0806746560280831,1.5481882091705763,1.5045399167701714,0.14739291636228713,0.10018145883134241,0.09989230787988101,6,0.3333333333333333
2009-07-31,mix,0.12157287119654898,0.12035783391941934,1.7364058949120864,1.6856230821979328,0.1794260745548517,0.12803888248729134,0.1276501885469732,6,0.3333333333333333
