factor_set,variant,t_date,regime,r_gross,r_net,pool_ret,pool_ret_net,nav_gross,nav_net
size_growth,orig_all,2011-06-30,mix,0.0,-0.00024999999999997247,0.02875143863328924,0.02864889294609263,1.0,0.99975
size_growth,orig_all,2011-07-29,mix,0.005663867506992175,0.005412451540115493,0.006076273451460351,0.005873770877325102,1.0056638675069922,1.0051610984272306
size_growth,orig_all,2011-08-31,mix,-0.01997327885763823,-0.02021828553792382,-0.02139794560761492,-0.021510569933242296,0.9855774626442241,0.9848384643276157
size_growth,orig_all,2011-09-30,mix,-0.09929557452015769,-0.09952075062652765,-0.0954309612339531,-0.09553730845968045,0.8877139822568466,0.8868266011118546
size_growth,orig_all,2011-10-31,mix,0.031776371978099224,0.03151842788510484,0.030446599095581617,0.03039751288589798,0.9159223119672,0.9147779813855913
size_growth,orig_all,2011-11-30,bear,-0.027790902861905952,-0.028033955136190447,-0.028410159187528882,-0.0285065235172014,0.8904680039662671,0.8891331364958528
size_growth,orig_all,2011-12-30,bear,-0.07106687439573296,-0.0720732186151376,-0.07237574821472946,-0.0724655274557976,0.8271852261749774,0.8250504495712242
size_growth,orig_all,2012-01-31,bear,-0.018090913205614283,-0.01915464804964151,-0.017409354238268303,-0.01754298399263743,0.8122206900432795,0.8092468985864889
size_growth,orig_all,2012-02-29,bear,0.06418209788355317,0.06302923394417936,0.06981612099365088,0.06961947905705412,0.8643507178746843,0.8602531106760983
size_growth,orig_all,2012-03-30,mix,-0.03656736819087006,-0.03761108687532988,-0.04322612227454441,-0.04328002244280327,0.832743686928118,0.8278980561956868
size_growth,orig_all,2012-04-27,bear,0.03965699587210745,0.03853070079324583,0.044057364951060995,0.043962225268488586,0.8657677998831498,0.8597975484862727
size_growth,orig_all,2012-05-31,bear,0.014928235477377531,0.01382872988894368,0.020719717502705386,0.020626646779043467,0.8786921854685364,0.8716874565434652
size_growth,orig_all,2012-06-29,mix,-0.011168339256354758,-0.012239573555493655,-0.022882177835840244,-0.02303552054951774,0.868878653039316,0.8610183738017003
size_growth,orig_all,2012-07-31,mix,-0.027089504219829478,-0.028143490590258002,-0.03887785740664902,-0.038980231034076995,0.8453411611012877,0.8367863113005729
size_growth,orig_all,2012-08-31,bear,-0.025597649175050804,-0.026653251721777793,-0.02653347497327683,-0.026657404667388973,0.8237024146261868,0.8144832351081408
size_growth,orig_all,2012-09-28,bear,0.022435180736912336,0.02132754262444725,0.02506356831822152,0.02491061875836853,0.8421823271717563,0.8318541610218073
size_growth,orig_all,2012-10-31,mix,0.003210560758854004,0.0021237493180319422,-0.004098532020283519,-0.004180529469920868,0.8448862047031743,0.8336208107289794
size_growth,orig_all,2012-11-30,mix,-0.055303231418036024,-0.056326652917333186,-0.06543460470443724,-0.06557164226380052,0.7981612674025685,0.7866657406583824
size_growth,orig_all,2012-12-31,mix,0.09174791998349213,0.09056519307017674,0.12464023937087951,0.12448081604018135,0.8713909034981421,0.8579102753428023
size_growth,orig_all,2013-01-31,mix,0.04060264992277198,0.03947533038535567,0.04676610821942157,0.0466368999968052,0.9067716832987652,0.8917765669029508
size_growth,orig_all,2013-02-28,mix,0.02765765981416453,0.02654436401603255,0.022877268620726202,0.022810586049469617,0.9318508660445598,0.9154482087157906
size_growth,orig_all,2013-03-29,mix,0.0015176763168107618,0.0004326988341343263,-0.018823643894463168,-0.0189492147820145,0.9332651140347552,0.9158443220884123
size_growth,orig_all,2013-04-26,mix,-0.0005276487415691525,-0.0016104104554325316,-0.006396972582253879,-0.0065097648692510335,0.9327726778717843,0.9143694368165726
size_growth,orig_all,2013-05-31,mix,0.10069441398719696,0.09950199503871082,0.09365682445704669,0.0935191841972689,1.0266976760533522,1.005351019982244
size_growth,orig_all,2013-06-28,mix,-0.07055817738606343,-0.07156507269389512,-0.08332244059200157,-0.08344158390033019,0.9542557593045207,0.9334030011543331
size_growth,orig_all,2013-07-31,mix,0.05376304073063981,0.05262146410318147,0.03880260857827368,0.03864982951752172,1.0055594505594572,0.9825200336733776
size_growth,orig_all,2013-08-30,mix,0.026020414330082706,0.024908892214558387,0.026931597048564265,0.02681505136250295,1.0317245240965445,1.006993519290792
size_growth,orig_all,2013-09-30,mix,0.08821039654378071,0.08703150194752474,0.05610490828743733,0.05590826810349525,1.122733353491044,1.0946336777260932
size_growth,orig_all,2013-10-31,mix,-0.07256046373368612,-0.07356518989797456,-0.042601711397786464,-0.042727873043494236,1.0412673007124573,1.014106743355455
size_growth,orig_all,2013-11-29,mix,0.051988147766182234,0.05084849393943558,0.038764885901726234,0.03869965739351522,1.0954008590059903,1.0656725439489054
