rank,rank_lowconf,fund_code,fund_name,score,signal,confidence,age_months,age_group,coverage,as_of
1.0,,004320,前海开源沪港深乐享生活,1.923871081620661,ret_12m,main,112.4,full,1.0,2026-09-23
2.0,,002910,易方达供给改革混合,1.8422032308687468,ret_12m,main,115.9,full,1.0,2026-09-23
3.0,,005844,东方人工智能主题混合A,1.7795225916861543,ret_12m,main,99.5,full,1.0,2026-09-23
4.0,,013840,银华集成电路混合A,1.7789738640468742,ret_12m,main,57.5,full,1.0,2026-09-23
5.0,,021179,易方达产业机遇混合A,1.7324529122956331,ret_12m,main,24.8,short,1.0,2026-09-23
6.0,,011369,华商均衡成长混合A,1.6456272967459227,ret_12m,main,65.5,full,1.0,2026-09-23
7.0,,001480,财通成长优选混合A,1.6033929087538223,ret_12m,main,134.8,full,1.0,2026-09-23
8.0,,481015,工银主题策略混合A,1.55949405150231,ret_12m,main,179.0,full,1.0,2026-09-23
9.0,,005825,申万菱信智能驱动股票A,1.5488692417868029,ret_12m,main,99.4,full,1.0,2026-09-23
10.0,,006502,财通集成电路产业股票A,1.5432972087724823,ret_12m,main,93.8,full,1.0,2026-09-23
11.0,,005119,银华智荟内在价值灵活配置混合发起A,1.5389120375942427,ret_12m,main,107.8,full,1.0,2026-09-23
12.0,,007490,南方信息创新混合A,1.489973801657233,ret_12m,main,87.2,full,1.0,2026-09-23
13.0,,018358,华富数字经济混合A,1.4821835616430605,ret_12m,main,39.1,full,1.0,2026-09-23
14.0,,001198,东方惠新灵活配置混合A,1.4692839945112102,ret_12m,main,137.1,full,1.0,2026-09-23
15.0,,162214,宏利领先中小盘混合,1.4687269286796716,ret_12m,main,187.9,full,1.0,2026-09-23
16.0,,720001,财通价值动量混合A,1.4541837428799438,ret_12m,main,177.7,full,1.0,2026-09-23
17.0,,014736,创金合信专精特新股票发起A,1.4285310613247444,ret_12m,main,55.9,full,1.0,2026-09-23
18.0,,001411,诺安创新驱动混合A,1.424857128483191,ret_12m,main,135.2,full,1.0,2026-09-23
19.0,,110005,易方达积极成长混合,1.3987409677493732,ret_12m,main,264.4,full,1.0,2026-09-23
20.0,,005628,汇安趋势动力股票A,1.3887534039576641,ret_12m,main,101.0,full,1.0,2026-09-23
21.0,,001170,宏利复兴混合A,1.3545122891342989,ret_12m,main,137.1,full,1.0,2026-09-23
22.0,,011891,易方达先锋成长混合A,1.3466151842645906,ret_12m,main,60.0,full,1.0,2026-09-23
23.0,,001437,易方达瑞享混合I,1.3425623346241014,ret_12m,main,134.9,full,1.0,2026-09-23
24.0,,001184,易方达新常态混合A,1.3405732934051664,ret_12m,main,136.8,full,1.0,2026-09-23
25.0,,013107,华夏先进制造龙头混合A,1.3145482690830983,ret_12m,main,58.2,full,1.0,2026-09-23
26.0,,008528,华泰柏瑞质量成长A,1.304736893976119,ret_12m,main,78.2,full,1.0,2026-09-23
27.0,,002125,广发新兴成长混合A,1.286669065430913,ret_12m,main,108.3,full,1.0,2026-09-23
28.0,,010115,易方达远见成长混合A,1.2857849080945702,ret_12m,main,66.6,full,1.0,2026-09-23
29.0,,005903,宏利绩优混合A,1.2846451004268626,ret_12m,main,99.4,full,1.0,2026-09-23
30.0,,001753,红土创新新兴产业混合A,1.278108929372757,ret_12m,main,132.0,full,1.0,2026-09-23
31.0,,002289,华商改革创新股票A,1.266195153285706,ret_12m,main,102.7,full,1.0,2026-09-23
32.0,,162201,宏利成长混合,1.2635126516468769,ret_12m,main,281.0,full,1.0,2026-09-23
33.0,,021626,华富半导体产业混合发起式A,1.2571223323180587,ret_12m,main,22.0,short,1.0,2026-09-23
34.0,,016370,信澳业绩驱动混合A,1.243134574578821,ret_12m,main,49.0,full,1.0,2026-09-23
35.0,,016500,华夏半导体龙头混合发起A,1.2157150199668147,ret_12m,main,48.1,full,1.0,2026-09-23
36.0,,020469,长城半导体混合发起式A,1.2124135134104241,ret_12m,main,30.9,short,1.0,2026-09-23
37.0,,630001,华商领先企业混合,1.209707965905788,ret_12m,main,232.3,full,1.0,2026-09-23
38.0,,010415,华泰柏瑞质量精选混合A,1.2039112006365564,ret_12m,main,65.8,full,1.0,2026-09-23
39.0,,019829,华夏数字产业混合A,1.1955848695483065,ret_12m,main,30.0,short,1.0,2026-09-23
40.0,,519770,交银优择回报灵活配置混合A,1.1856649361679037,ret_12m,main,125.0,full,1.0,2026-09-23
41.0,,006265,红土创新新科技股票A,1.1649580664413124,ret_12m,main,96.3,full,1.0,2026-09-23
42.0,,540010,汇丰晋信科技先锋股票,1.1640994702575513,ret_12m,main,181.9,full,1.0,2026-09-23
43.0,,002692,富国创新科技混合A,1.162106653250516,ret_12m,main,123.2,full,1.0,2026-09-23
44.0,,018776,金信精选成长混合A,1.1517699543197701,ret_12m,main,36.3,full,1.0,2026-09-23
45.0,,005819,国泰优势行业混合A,1.1494244712627144,ret_12m,main,100.2,full,1.0,2026-09-23
46.0,,024592,圆信永丰科技驱动混合发起A,1.1464699296839518,ret_12m,main,14.7,short,1.0,2026-09-23
47.0,,519773,交银数据产业灵活配置混合A,1.1434754983237663,ret_12m,main,121.2,full,1.0,2026-09-23
48.0,,008555,华商龙头优势混合,1.1403338523657585,ret_12m,main,76.1,full,1.0,2026-09-23
49.0,,000742,国泰新经济灵活配置混合A,1.1334898960920943,ret_12m,main,144.2,full,1.0,2026-09-23
50.0,,007872,金信稳健策略混合A,1.1329484859719399,ret_12m,main,81.3,full,1.0,2026-09-23
