t_date,n,n_short,n_full,ic_all,ic_short,ic_full,short_share_top,short_share_pool,ret_pool_top,ret_group_top,ret_diff_group_minus_pool
2006-03-31,30,22,8,-0.04293659621802002,0.20948616600790515,-0.5476190476190477,0.8333333333333334,0.7333333333333333,0.4401214949245286,0.4260972788137218,-0.014024216110806842
2006-04-28,31,20,11,-0.16129032258064518,-0.048120300751879695,-0.43636363636363645,0.6666666666666666,0.6451612903225806,0.2516771887748221,0.2516771887748221,0.0
2006-05-31,32,21,11,0.11950146627565982,0.22337662337662337,0.08181818181818183,0.8333333333333334,0.65625,0.27648404932433845,0.260447455150182,-0.016036594174156482
2006-06-30,32,21,11,0.08321114369501466,0.09480519480519481,-0.1272727272727273,1.0,0.65625,0.42228936699535585,0.4161598523872252,-0.0061295146081306595
2006-07-31,32,19,13,0.29802052785923755,0.356140350877193,0.016483516483516484,1.0,0.59375,0.6302453221969762,0.5894791519903423,-0.04076617020663387
2006-08-31,34,21,13,0.20152788388082504,0.21168831168831168,0.04395604395604395,1.0,0.6176470588235294,0.7258618420551048,0.7146871227022509,-0.011174719352853968
2006-09-29,34,20,14,0.1361344537815126,0.03458646616541353,-0.04175824175824176,1.0,0.5882352941176471,0.8990687286190643,0.8575950300449746,-0.04147369857408967
2006-10-31,34,19,15,0.3442322383498854,0.20350877192982456,0.3,1.0,0.5588235294117647,1.137519141150176,1.110031455999946,-0.027487685150229924
2006-11-30,35,20,15,0.2913165266106443,0.15939849624060148,0.2071428571428571,0.8571428571428571,0.5714285714285714,1.0251699905949063,1.0182684371522983,-0.0069015534426080105
2006-12-29,35,19,16,0.17310924369747901,0.16666666666666666,0.07647058823529412,0.7142857142857143,0.5428571428571428,0.6923573777748826,0.6769640708640813,-0.015393306910801319
2007-01-31,37,21,16,0.42057847321005215,0.4324675324675325,0.12352941176470587,1.0,0.5675675675675675,0.8911670807616959,0.8335800711350979,-0.05758700962659802
2007-02-28,38,22,16,0.36076157128788705,0.3551665725578769,-0.01764705882352941,1.0,0.5789473684210527,0.9435013830653567,0.8849298464441385,-0.05857153662121817
2007-03-30,39,22,17,0.34271255060728745,0.3709768492377189,0.14215686274509806,1.0,0.5641025641025641,0.9155795628108231,0.8734395925360899,-0.04213997027473315
2007-04-30,40,21,19,0.09606003752345216,0.29480519480519485,-0.04912280701754386,0.875,0.525,0.45019708091090155,0.4603464728199158,0.01014939190901426
2007-05-31,41,18,23,0.11463414634146342,0.3126934984520124,0.1324110671936759,0.75,0.43902439024390244,0.22816734811119363,0.2316584851825274,0.0034911370713337775
2007-06-29,41,17,24,0.20714285714285718,0.5710784313725491,-0.02260869565217391,0.625,0.4146341463414634,0.40565447882854166,0.3963077880218921,-0.009346690806649571
2007-07-31,44,20,24,0.05778717406624383,0.4360902255639097,-0.25652173913043474,0.6666666666666666,0.45454545454545453,0.08506824753117435,0.08169024964988444,-0.0033779978812899097
2007-08-31,47,22,25,-0.02590194264569843,0.0220214568040655,-0.1176923076923077,0.6666666666666666,0.46808510638297873,-0.06830979536862768,-0.06843898987637582,-0.00012919450774814822
2007-09-28,47,20,27,-0.03318686401480111,-0.03458646616541353,-0.06105006105006105,0.5555555555555556,0.425531914893617,-0.21533838336741942,-0.21224623087892763,0.0030921524884917895
2007-10-31,51,24,27,-0.05493212669683258,0.006956521739130434,-0.10561660561660562,0.6,0.47058823529411764,-0.1946928936260689,-0.189130493380179,0.005562400245889887
2007-11-30,52,24,28,-0.08452147186886365,0.010434782608695651,-0.23152709359605914,0.7,0.46153846153846156,-0.20971867213780238,-0.20240529369640337,0.00731337844139901
2007-12-28,56,28,28,-0.19501025290498974,-0.1330049261083744,-0.25287356321839083,0.8181818181818182,0.5,-0.3274677530153681,-0.3197320367954148,0.007735716219953337
2008-01-31,56,27,29,-0.1963773069036227,-0.06959706959706959,-0.33645320197044326,0.7272727272727273,0.48214285714285715,-0.3041293286494657,-0.30335112399226316,0.0007782046572025192
2008-02-29,56,26,30,-0.2620642515379358,-0.1398290598290598,-0.3414905450500556,0.7272727272727273,0.4642857142857143,-0.38075499117270906,-0.38719133970903136,-0.0064363485363223005
2008-03-31,59,28,31,-0.019170075978959675,0.15599343185550082,-0.1350806451612903,0.6666666666666666,0.4745762711864407,-0.32296852162154205,-0.3298996051119931,-0.006931083490451073
2008-04-30,60,28,32,0.047846624062239516,0.1510673234811166,0.003665689149560117,0.6666666666666666,0.4666666666666667,-0.42447186261608655,-0.43014814865753964,-0.005676286041453094
2008-05-30,63,31,32,0.24375960061443935,0.39879032258064523,0.22910557184750727,0.5384615384615384,0.49206349206349204,-0.31146003766613106,-0.3033427636001097,0.008117274066021363
2008-06-30,63,30,33,0.3329493087557604,0.4967741935483871,0.18282085561497327,0.46153846153846156,0.47619047619047616,-0.1727303874122893,-0.1727303874122893,0.0
2008-07-31,64,30,34,0.2727106227106227,0.2547274749721913,0.34178762414056535,0.5384615384615384,0.46875,-0.05927969144370123,-0.05148104365971195,0.007798647783989282
2008-08-29,67,33,34,0.25373134328358216,0.10260695187165776,0.35309396485867073,0.38461538461538464,0.4925373134328358,0.023157649439939927,0.01779179074266069,-0.0053658586972792355
2008-09-26,69,34,35,0.03222506393861893,-0.09579831932773109,0.14565826330532214,0.42857142857142855,0.4927536231884058,0.16208313511738462,0.165511131469923,0.003427996352538376
2008-10-31,70,35,35,-0.3007085994226227,-0.35854341736694684,-0.11568627450980393,0.2857142857142857,0.5,0.4369166200183442,0.4530163354731331,0.016099715454788888
2008-11-28,71,34,37,-0.18839704896042922,-0.16424751718869365,-0.0604551920341394,0.2857142857142857,0.4788732394366197,0.42546002942223354,0.4379442289954513,0.01248419957321778
2008-12-31,73,35,38,-0.20387510798469707,-0.19775910364145657,-0.13404092351460772,0.26666666666666666,0.4794520547945205,0.5340483117947827,0.5419770015021578,0.007928689707375036
2009-01-23,73,34,39,-0.08453659138590645,-0.04140565317035905,-0.08137651821862348,0.2,0.4657534246575342,0.5305863551058202,0.5657423978557463,0.03515604274992612
2009-02-27,73,34,39,-0.013791188448722699,0.015126050420168066,-0.006477732793522267,0.13333333333333333,0.4657534246575342,0.2991924571181618,0.32568615865538625,0.026493701537224468
2009-03-31,73,33,40,0.16910403554239173,0.16644385026737968,0.18968105065666047,0.3333333333333333,0.4520547945205479,0.1752932043033858,0.17466334347112453,-0.0006298608322612698
2009-04-30,73,32,41,0.235190670122177,0.28958944281524923,0.28919860627177707,0.26666666666666666,0.4383561643835616,0.26705959461497036,0.26531525068209005,-0.00174434393288031
2009-05-27,75,33,42,0.23564722617354195,0.1380347593582888,0.3381411554979338,0.3333333333333333,0.44,0.2780264093146125,0.27636547066193873,-0.001660938652673749
2009-06-30,76,31,45,0.2897607655502392,0.13185483870967743,0.35006587615283263,0.4,0.40789473684210525,0.17040592706222574,0.17040592706222568,-5.551115123125783e-17
2009-07-31,80,34,46,0.026441631504922646,0.025210084033613443,0.09700894233734196,0.5,0.425,-0.031933257204176495,-0.028918419912643538,0.003014837291532957
2009-08-31,82,35,47,0.38411641144523895,0.280672268907563,0.46542553191489366,0.5,0.4268292682926829,0.2095698973098971,0.2115907009524965,0.002020803642599378
2009-09-30,83,32,51,0.282208975273918,0.3988269794721407,0.25420814479638004,0.35294117647058826,0.3855421686746988,0.2093457832837093,0.20912370844172762,-0.00022207484198169536
2009-10-30,85,32,53,-0.05831541919093218,-0.02456011730205278,-0.06716658603451056,0.23529411764705882,0.3764705882352941,0.014689470256625488,0.0034936921046149726,-0.011195778152010515
2009-11-30,87,31,56,-0.18630166946125243,0.020967741935483872,-0.26896787423103213,0.23529411764705882,0.3563218390804598,-0.10311940877351024,-0.10282351554425953,0.00029589322925070716
2009-12-31,88,32,56,-0.15471452220774193,-0.0813782991202346,-0.16623376623376626,0.2777777777777778,0.36363636363636365,-0.1458420262734653,-0.15557570283149494,-0.009733676558029647
2010-01-29,89,32,57,0.025638406537282943,0.07697947214076245,0.0391495981332642,0.2777777777777778,0.3595505617977528,0.0010954624346658256,0.001987927546907255,0.0008924651122414295
2010-02-26,91,34,57,0.1062111801242236,0.20702826585179523,0.07654913144931294,0.2777777777777778,0.37362637362637363,-0.01621799327668114,-0.008557562439274599,0.007660430837406541
2010-03-31,91,30,61,0.16677814938684504,0.2836484983314794,0.14754098360655735,0.2222222222222222,0.32967032967032966,0.031079178867883448,0.04554569095331021,0.01446651208542676
