t_date,phase,n_test,alpha_sel,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,100.0,-0.0793,-0.0006674082313681868,-0.04293659621802002,-0.03982202447163515,0.43605061798688793,0.4438557098133454,0.4279708419074771,0.35339764468168533,0.0826529733052026,0.00807977607941085,322,2006-03-15
2006-04-28,dev,32,10.0,-0.0605,-0.1950146627565982,-0.16129032258064518,-0.1539589442815249,0.259411275148415,0.26886910422726057,0.25858886174279033,0.2862155999887406,-0.026804324840325577,0.0008224134056246668,349,2006-04-14
2006-05-31,dev,32,3.1622776601683795,0.0069,-0.08284457478005865,0.11950146627565982,0.09604105571847506,0.23398544857818918,0.23714563963648272,0.2269808238080444,0.25552509756849573,-0.021539648990306554,0.007004624770144768,376,2006-05-15
2006-06-30,dev,32,0.001,0.0113,-0.13966275659824043,0.08321114369501466,-0.026759530791788853,0.35140238470094914,0.42000984275427217,0.380102638056997,0.48288871368895747,-0.13148632898800833,-0.028700253356047867,403,2006-06-14
2006-07-31,dev,34,0.001,0.0247,-0.20550038197097018,0.29802052785923755,0.04873949579831932,0.5422602576750596,0.611213429949047,0.5685785774097665,0.7754410010445576,-0.233180743369498,-0.026318319734706885,431,2006-07-14
2006-08-31,dev,34,0.001,0.0349,-0.29472880061115353,0.20152788388082504,-0.1498854087089381,0.6411948900098576,0.6992767828326023,0.6314944197027604,0.9402171071208207,-0.2990222171109631,0.009700470307097198,460,2006-08-07
2006-09-29,dev,34,0.001,-0.001,-0.2644766997708174,0.1361344537815126,-0.1547746371275783,0.8504743053795364,0.8826000414872238,0.7866891293524452,1.2636045223104686,-0.4131302169309322,0.06378517602709122,490,2006-08-30
2006-10-31,dev,35,0.001,0.0026,-0.08571428571428572,0.3442322383498854,-0.04565826330532213,1.0241403239728215,1.022852547258777,0.9577548360814401,1.5500094573269703,-0.5258691333541488,0.06638548789138143,520,2006-10-09
2006-11-30,dev,35,31.622776601683793,-0.0138,-0.2246498599439776,0.2913165266106443,-0.1689075630252101,0.9117536945713809,0.9322843645153834,0.9421251990212071,1.4022217063180502,-0.4904680117466693,-0.03037150444982617,552,2006-11-06
2006-12-29,dev,37,3.1622776601683795,0.009,-0.0998103366524419,0.17310924369747901,-0.13063063063063063,0.7073785900981866,0.6052128859329926,0.6364546268640559,0.8700799148672225,-0.16270132476903587,0.07092396323413075,584,2006-11-30
2007-01-31,dev,38,31.622776601683793,-0.005,0.21851406061932377,0.42057847321005215,0.13973082394135025,0.8617163049373064,0.7384014046633596,0.7661342692959322,1.0027736146075918,-0.1410573096702854,0.09558203564137424,616,2007-01-04
2007-02-28,dev,39,1.0,-0.0275,0.30303643724696355,0.36076157128788705,0.10991902834008098,0.8794394488387876,0.705172095418242,0.8105164087960108,1.0597688176120847,-0.1803293687732972,0.06892304004277672,650,2007-02-02
2007-03-30,dev,39,1000.0,-0.0797,0.38137651821862345,0.34271255060728745,0.11801619433198382,0.9155795628108231,0.7631426002246275,0.8363070737837689,1.0321980426949038,-0.1166184798840807,0.0792724890270542,684,2007-03-14
2007-04-30,dev,40,1000.0,-0.1185,0.08705440900562854,0.09606003752345216,0.10938086303939965,0.4595760966077813,0.47552014620196925,0.4610284575771916,0.49423540952631995,-0.03465931291853863,-0.0014523609694102602,718,2007-04-12
2007-05-31,dev,41,1000.0,-0.1079,0.062195121951219526,0.11463414634146342,0.019163763066202093,0.22426578295269045,0.22585382324985206,0.22746549633073157,0.2060758379939469,0.018189944958743542,-0.003199713378041119,753,2007-05-14
2007-06-29,dev,43,316.22776601683796,-0.052,0.3841739655693144,0.20714285714285718,-0.16007248565388102,0.40395133571964986,0.3197437070936004,0.3561715255868841,0.43065659106957943,-0.02670525534992957,0.047779810132765776,788,2007-06-13
2007-07-31,dev,46,316.22776601683796,-0.0442,0.05544249152019735,0.05778717406624383,0.03311748381128584,0.08889870331389695,0.06919999963178279,0.06986938284148747,0.024970160724069768,0.06392854258982718,0.019029320472409475,825,2007-07-12
2007-08-31,dev,47,1000.0,-0.1611,0.005203515263644773,-0.02590194264569843,0.09401017576318225,-0.06830979536862768,-0.08643070274487503,-0.0920370430659053,-0.186369615087412,0.11805981971878433,0.023727247697277618,863,2007-08-09
2007-09-28,dev,50,1000.0,0.0202,-0.041056422569027605,-0.03318686401480111,0.2510924369747899,-0.2141144262282202,-0.2046253649934508,-0.22816390507537068,-0.3272100319433745,0.11309560571515431,0.014049478847150493,902,2007-08-30
2007-10-31,dev,52,1000.0,0.0247,-0.10279176982839579,-0.05493212669683258,0.09664475369247844,-0.20012716456251933,-0.16983069202443318,-0.20891434325999528,-0.31000943475332776,0.10988227019080843,0.008787178697475945,941,2007-10-08
2007-11-30,dev,55,1000.0,0.0085,-0.11803751803751805,-0.08452147186886365,0.15930735930735934,-0.21194495054819706,-0.1787087195332613,-0.21464775101202088,-0.323139995541866,0.11119504499366895,0.002702800463823818,981,2007-11-06
2007-12-28,dev,56,1000.0,0.0007,-0.23499658236500345,-0.19501025290498974,0.214149008885851,-0.3274677530153681,-0.2715086400072684,-0.32175678671232444,-0.4564084840140308,0.12894073099866266,-0.005710966303043685,1022,2007-11-30
2008-01-31,dev,56,1000.0,-0.0024,-0.3337662337662338,-0.1963773069036227,0.08557758031442242,-0.3188457154929635,-0.2337587475547105,-0.2984953982575598,-0.4112108451192873,0.09236512962632382,-0.020350317235403703,1065,2008-01-02
2008-02-29,dev,56,1000.0,-0.0134,-0.4742993848257006,-0.2620642515379358,0.0758714969241285,-0.39253656200047954,-0.29886216204847144,-0.3677621551934496,-0.4883700035297516,0.09583344152927203,-0.024774406807029914,1111,2008-02-01
2008-03-31,dev,60,1000.0,-0.005,-0.3382050569602668,-0.019170075978959675,0.17243678799666579,-0.33550431576042294,-0.2676931700541553,-0.3221411268185815,-0.4453419442663692,0.10983762850594625,-0.013363188941841464,1158,2008-03-12
2008-04-30,dev,61,1000.0,-0.002,-0.3699101004759386,0.047846624062239516,0.18995240613432043,-0.44067504327975965,-0.3545362221286166,-0.4203061464332888,-0.5727786914209954,0.1321036481412357,-0.020368896846470863,1208,2008-04-10
2008-05-30,dev,63,1000.0,0.0066,-0.42242703533026116,0.24375960061443935,0.23262288786482335,-0.3393760944600768,-0.27542099938014136,-0.3205717927750174,-0.4592939443362972,0.1199178498762204,-0.01880430168505942,1260,2008-05-08
2008-06-30,dev,63,1000.0,0.0371,-0.40721006144393246,0.3329493087557604,0.20276497695852536,-0.24673063164284967,-0.15863928017893453,-0.21591702085226364,-0.348911229560369,0.10218059791751935,-0.030813610790586032,1315,2008-06-10
2008-07-31,dev,66,1000.0,0.0388,-0.219997912535226,0.2727106227106227,0.16138190168040917,-0.12489064087066575,-0.08461889469976769,-0.10442714396869679,-0.16899697348861586,0.04410633261795012,-0.020463496901968956,1371,2008-07-08
2008-08-29,dev,68,1000.0,0.0569,0.12112073901591784,0.25373134328358216,0.3015994197808909,-0.019907003415228417,-0.051221287994546824,-0.02234748687449593,-0.0735645832984898,0.05365757988326139,0.002440483459267513,1427,2008-08-07
2008-09-26,dev,70,1000.0,0.0818,0.32383868427959056,0.03222506393861893,0.3493482634940075,0.15627878441213486,0.06775466988586257,0.12108567299277172,0.12212740182657145,0.03415138258556341,0.03519311141936314,1483,2008-08-29
2008-10-31,dev,70,1000.0,0.0784,0.6767736855918117,-0.3007085994226227,0.3413699588837372,0.5911831182052544,0.35736285766030884,0.46737251351278175,0.6765559068559681,-0.08537278865071374,0.12381060469247263,1543,2008-10-07
2008-11-28,dev,72,1000.0,0.0924,0.5919351726799152,-0.18839704896042922,0.35500675284584227,0.5080624586417617,0.35578595147321807,0.42415052077044024,0.6178573536387304,-0.1097948949969687,0.08391193787132145,1604,2008-11-05
2008-12-31,dev,73,100.0,0.0619,0.5430087621868445,-0.20387510798469707,0.24160804640256697,0.6734705767183724,0.47576179171568117,0.5500611700718959,0.8695433075024674,-0.19607273078409504,0.12340940664647648,1667,2008-12-03
2009-01-23,dev,73,100.0,0.0412,0.3970134518079724,-0.08453659138590645,0.23411082315191908,0.6149196358821897,0.48548495038496864,0.5508816899959899,0.8372878787729707,-0.22236824289078105,0.06403794588619982,1730,2008-12-31
2009-02-27,dev,73,1000.0,0.0041,0.5186659262001728,-0.013791188448722699,0.3634147846476614,0.3511595651287059,0.22983071221134274,0.2938798070953827,0.42340418474470076,-0.07224461961599488,0.05727975803332319,1796,2009-02-11
2009-03-31,dev,73,1000.0,-0.0126,0.42326915957052946,0.16910403554239173,0.31077995804023206,0.1846089911881849,0.1255898422728431,0.14962180942829917,0.18522172319920038,-0.000612732011015471,0.034987181759885744,1864,2009-03-12
2009-04-30,dev,75,1000.0,0.0012,0.5540256045519203,0.235190670122177,0.3454338549075391,0.29834058134394137,0.192648211287585,0.2502182184028745,0.3207837354160965,-0.022443154072155136,0.048122362941066865,1934,2009-04-09
2009-05-27,dev,75,1000.0,0.0063,0.5147937411095305,0.23564722617354195,0.36955903271692747,0.31237347336069105,0.20759439753212985,0.25089612249684845,0.2902907984601293,0.02208267490056176,0.061477350863842595,2004,2009-05-08
2009-06-30,dev,80,1000.0,0.0165,0.456305672761369,0.2897607655502392,0.293413033286451,0.185966297688335,0.11307438332802902,0.13649865866088534,0.12923207327772146,0.05673422441061354,0.04946763902744966,2076,2009-06-09
2009-07-31,dev,82,1000.0,0.039,-0.01794712726243728,0.026441631504922646,0.08017979778191356,-0.040328613503263895,-0.03276821931854467,-0.05912088241642746,-0.13492851485371204,0.09459990135044816,0.018792268913163566,2149,2009-07-10
2009-08-31,dev,83,1000.0,0.04,0.38067251584736156,0.38411641144523895,0.3181646446412829,0.2063224408033624,0.13893181078813124,0.16965991376808864,0.15773542533559493,0.048587015467767475,0.036662527035273756,2222,2009-07-31
2009-09-30,dev,85,1000.0,0.0485,0.20109439124487002,0.282208975273918,0.2880789525112371,0.1979381268289857,0.14604566788135523,0.16105372536790852,0.12876409617263018,0.06917403065635552,0.03688440146107719,2295,2009-08-28
2009-10-30,dev,87,1000.0,0.0457,-0.14505722825690748,-0.05831541919093218,0.09408033826638476,0.005573772700508582,-0.0009234191735096352,-0.0015229695835560144,-0.11691235018467405,0.12248612288518264,0.007096742284064596,2368,2009-09-29
