t_date,phase,n_test,n_rounds,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,23,0.1836268950541989,0.1186975095563299,-0.04293659621802,-0.0398220244716351,0.4482109195172764,0.407854895406273,0.4279708419074771,0.3533976446816853,0.094813274835591,0.0202400776097992,322,2006-03-15
2006-04-28,dev,32,2,0.1501114621660961,-0.1091622600222861,-0.1612903225806451,-0.1539589442815249,0.2748274586393158,0.2543596662898787,0.2585888617427903,0.2862155999887406,-0.0113881413494247,0.0162385968965255,349,2006-04-14
2006-05-31,dev,32,1,0.1522781345271294,,0.1195014662756598,0.096041055718475,0.2959536697431107,0.2353989636927966,0.2269808238080444,0.2555250975684957,0.0404285721746149,0.0689728459350663,376,2006-05-15
2006-06-30,dev,32,4,0.1288744610708445,0.0438119633946817,0.0832111436950146,-0.0267595307917888,0.3945187053206083,0.3200198432769686,0.380102638056997,0.4828887136889574,-0.0883700083683491,0.0144160672636112,403,2006-06-14
2006-07-31,dev,34,3,0.1383355329242485,0.1261312447773782,0.2980205278592375,0.0487394957983193,0.5772844697275415,0.5444736799002371,0.5685785774097665,0.7754410010445576,-0.198156531317016,0.008705892317775,431,2006-07-14
2006-08-31,dev,34,2,0.0403138479308555,-0.2366119119824473,0.201527883880825,-0.1498854087089381,0.576636235751763,0.6147587196004887,0.6314944197027604,0.9402171071208208,-0.3635808713690577,-0.0548581839509974,460,2006-08-07
2006-09-29,dev,34,1,0.0895595505574613,-0.3043918218216951,0.1361344537815126,-0.1547746371275783,0.8019663759282577,0.772752652296972,0.7866891293524452,1.2636045223104686,-0.4616381463822109,0.0152772465758125,490,2006-08-30
2006-10-31,dev,35,1,0.0894270031373118,0.087822977403036,0.3442322383498854,-0.0456582633053221,1.0535130300195064,0.9371778888004814,0.95775483608144,1.5500094573269705,-0.4964964273074639,0.0957581939380662,520,2006-10-09
2006-11-30,dev,35,3,0.1144480319027497,-0.0885653276996577,0.2913165266106443,-0.1689075630252101,1.049851167244462,0.9353971087824258,0.9421251990212072,1.4022217063180502,-0.352370539073588,0.107725968223255,552,2006-11-06
2006-12-29,dev,37,8,0.0560603877522097,-0.2242993713930321,0.173109243697479,-0.1306306306306306,0.6902171032199427,0.7018524124015751,0.6364546268640559,0.8700799148672225,-0.1798628116472798,0.0537624763558868,584,2006-11-30
2007-01-31,dev,38,8,0.0608624101940968,0.0280806396617504,0.4205784732100521,0.1397308239413502,0.8002093400773296,0.7613532694529109,0.7661342692959322,1.0027736146075918,-0.2025642745302622,0.0340750707813973,616,2007-01-04
2007-02-28,dev,39,10,0.1327921863428398,0.0081358997723612,0.360761571287887,0.1099190283400809,0.8215423868603584,0.8409655378539729,0.8105164087960108,1.0597688176120847,-0.2382264307517263,0.0110259780643475,650,2007-02-02
2007-03-30,dev,39,7,0.123044377989984,0.0706579427712046,0.3427125506072874,0.1180161943319838,0.8651904149894216,0.8922689032099349,0.8363070737837689,1.0321980426949038,-0.1670076277054821,0.0288833412056527,684,2007-03-14
2007-04-30,dev,40,3,0.0882641339670272,-0.1580479067650039,0.0960600375234521,0.1093808630393996,0.4630093535210408,0.4727545808679297,0.4610284575771916,0.4942354095263199,-0.0312260560052791,0.0019808959438492,718,2007-04-12
2007-05-31,dev,41,2,0.0428665283086931,0.235151370923894,0.1146341463414634,0.019163763066202,0.2718871197813239,0.1866012461421142,0.2274654963307315,0.2060758379939469,0.065811281787377,0.0444216234505923,753,2007-05-14
2007-06-29,dev,43,1,0.1459702724015906,0.2806106026529605,0.2071428571428571,-0.160072485653881,0.4143475763256783,0.3351197821093736,0.3561715255868841,0.4306565910695794,-0.0163090147439011,0.0581760507387942,788,2007-06-13
2007-07-31,dev,46,1,0.1606351062148473,0.1446742369541421,0.0577871740662438,0.0331174838112858,0.1019560004161225,0.022111884950649,0.0698693828414874,0.0249701607240697,0.0769858396920527,0.032086617574635,825,2007-07-12
2007-08-31,dev,47,2,0.1963244941069246,-0.0457850771750519,-0.0259019426456984,0.0940101757631822,-0.0828060639338979,-0.1087090844090681,-0.0920370430659053,-0.186369615087412,0.103563551153514,0.0092309791320073,863,2007-08-09
2007-09-28,dev,50,4,0.1118949427791439,-0.1542753465494197,-0.0331868640148011,0.2510924369747899,-0.2271493843134902,-0.2096302636252272,-0.2281639050753706,-0.3272100319433745,0.1000606476298842,0.0010145207618804,902,2007-08-30
2007-10-31,dev,52,4,0.1025251402233483,-0.2449449375615955,-0.0549321266968325,0.0966447536924784,-0.2139054188617743,-0.1685439032296508,-0.2089143432599952,-0.3100094347533277,0.0961040158915534,-0.004991075601779,941,2007-10-08
2007-11-30,dev,55,42,0.0336617091209686,-0.045039521395199,-0.0845214718688636,0.1593073593073593,-0.2206050842524574,-0.2420757973314179,-0.2146477510120208,-0.323139995541866,0.1025349112894085,-0.0059573332404365,981,2007-11-06
