t_date,phase,n_test,n_rounds,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,23,0.1836268950541989,0.1186975095563299,-0.04293659621802,-0.0398220244716351,0.4482109195172764,0.407854895406273,0.4279708419074771,0.3533976446816853,0.094813274835591,0.0202400776097992,322,2006-03-15
2006-04-28,dev,31,2,0.1501114621660961,-0.1666841727500789,-0.1612903225806451,-0.2213709677419355,0.2668108454574436,0.2543596662898787,0.2545704175486597,0.2862155999887406,-0.0194047545312969,0.0122404279087839,349,2006-04-14
2006-05-31,dev,32,1,0.1522781345271294,,0.1195014662756598,0.096041055718475,0.2959536697431107,0.2353989636927966,0.2269808238080444,0.2555250975684957,0.0404285721746149,0.0689728459350663,376,2006-05-15
2006-06-30,dev,32,4,0.1288744610708445,0.0438119633946817,0.0832111436950146,-0.0267595307917888,0.3945187053206083,0.3200198432769686,0.380102638056997,0.4828887136889574,-0.0883700083683491,0.0144160672636112,403,2006-06-14
2006-07-31,dev,32,3,0.1383355329242485,0.1186918132626019,0.2980205278592375,0.0458211143695014,0.6034429714939514,0.512078270936894,0.5681243838136666,0.7754410010445576,-0.1719980295506061,0.0353185876802848,431,2006-07-14
2006-08-31,dev,34,2,0.0403138479308555,-0.2366119119824473,0.201527883880825,-0.1498854087089381,0.576636235751763,0.6147587196004887,0.6314944197027604,0.9402171071208208,-0.3635808713690577,-0.0548581839509974,460,2006-08-07
2006-09-29,dev,34,1,0.0895595505574613,-0.3043918218216951,0.1361344537815126,-0.1547746371275783,0.8019663759282577,0.772752652296972,0.7866891293524452,1.2636045223104686,-0.4616381463822109,0.0152772465758125,490,2006-08-30
2006-10-31,dev,34,1,0.0894270031373118,0.0313666163337433,0.3442322383498854,-0.0725744843391902,1.053513030019506,0.9371778888004814,0.9487004873438576,1.5500094573269705,-0.4964964273074641,0.1048125426756486,520,2006-10-09
2006-11-30,dev,35,3,0.1144480319027497,-0.0885653276996577,0.2913165266106443,-0.1689075630252101,1.049851167244462,0.9353971087824258,0.9421251990212072,1.4022217063180502,-0.352370539073588,0.107725968223255,552,2006-11-06
2006-12-29,dev,35,8,0.0560603877522097,-0.2483006958012712,0.173109243697479,-0.215406162464986,0.6638981116094919,0.6661514767106673,0.6281430481396227,0.8700799148672225,-0.2061818032577306,0.0357550634698691,584,2006-11-30
2007-01-31,dev,37,8,0.0608624101940968,0.0133837741974791,0.4205784732100521,0.1121384542437173,0.8080297818687274,0.745848813003656,0.7582278997754773,1.0027736146075918,-0.1947438327388644,0.04980188209325,616,2007-01-04
2007-02-28,dev,38,10,0.1327921863428398,-0.009185359374087,0.360761571287887,0.0959623591202538,0.8118409966616906,0.8409655378539729,0.809291364984086,1.0597688176120847,-0.2479278209503941,0.0025496316776045,650,2007-02-02
2007-03-30,dev,39,7,0.123044377989984,0.0706579427712046,0.3427125506072874,0.1180161943319838,0.8651904149894216,0.8922689032099349,0.8363070737837689,1.0321980426949038,-0.1670076277054821,0.0288833412056527,684,2007-03-14
2007-04-30,dev,40,3,0.0882641339670272,-0.1580479067650039,0.0960600375234521,0.1093808630393996,0.4630093535210408,0.4727545808679297,0.4610284575771916,0.4942354095263199,-0.0312260560052791,0.0019808959438492,718,2007-04-12
2007-05-31,dev,41,2,0.0428665283086931,0.235151370923894,0.1146341463414634,0.019163763066202,0.2718871197813239,0.1866012461421142,0.2274654963307315,0.2060758379939469,0.065811281787377,0.0444216234505923,753,2007-05-14
2007-06-29,dev,41,1,0.1459702724015906,0.2223080057506914,0.2071428571428571,-0.1047038327526132,0.4022728840810389,0.3282469268223018,0.3608169425853728,0.4306565910695794,-0.0283837069885405,0.041455941495666,788,2007-06-13
2007-07-31,dev,44,1,0.1606351062148473,0.1929975699730539,0.0577871740662438,0.0467935165609584,0.1003754954236384,0.0454465589492952,0.0704323022229061,0.0249701607240697,0.0754053346995686,0.0299431932007322,825,2007-07-12
2007-08-31,dev,47,2,0.1963244941069246,-0.0457850771750519,-0.0259019426456984,0.0940101757631822,-0.0828060639338979,-0.1087090844090681,-0.0920370430659053,-0.186369615087412,0.103563551153514,0.0092309791320073,863,2007-08-09
2007-09-28,dev,47,4,0.1118949427791439,-0.1601507174462076,-0.0331868640148011,0.2454902867715078,-0.2396087074888282,-0.2241557146336465,-0.2282364229319998,-0.3272100319433745,0.0876013244545463,-0.0113722845568284,902,2007-08-30
2007-10-31,dev,51,4,0.1025251402233483,-0.2067000558128421,-0.0549321266968325,0.0790045248868778,-0.2362495637606078,-0.1685439032296508,-0.207208111318226,-0.3100094347533277,0.0737598709927199,-0.0290414524423817,941,2007-10-08
2007-11-30,dev,52,42,0.0336617091209686,-0.0629070550744769,-0.0845214718688636,0.1213181934602578,-0.2285862738468577,-0.2357498494780254,-0.2114058757744748,-0.323139995541866,0.0945537216950082,-0.0171803980723828,981,2007-11-06
2007-12-28,dev,56,115,0.0822123176178725,0.1296695034763967,-0.1950102529049897,0.214149008885851,-0.3034616701845126,-0.3472090033549367,-0.3217567867123244,-0.4564084840140308,0.1529468138295181,0.0182951165278117,1022,2007-11-30
2008-01-31,dev,56,112,0.069371447479388,0.1718368144675903,-0.1963773069036227,0.0855775803144224,-0.282702871768579,-0.3079468121737976,-0.2984953982575598,-0.4112108451192873,0.1285079733507082,0.0157925264889807,1065,2008-01-02
2008-02-29,dev,56,57,0.0807518449354416,-0.0316662448770343,-0.2620642515379358,0.0758714969241285,-0.3584130853744406,-0.3659267436053785,-0.3677621551934496,-0.4883700035297516,0.1299569181553109,0.009349069819009,1111,2008-02-01
2008-03-31,dev,59,104,0.0626624029084577,0.2885445076426869,-0.0191700759789596,0.1410870835768556,-0.299112314173883,-0.3298692203110061,-0.320889918570978,-0.4453419442663692,0.1462296300924861,0.021777604397095,1158,2008-03-12
2008-04-30,dev,60,104,0.0542666413119865,0.2953639256179126,0.0478466240622395,0.1934426229508197,-0.3607416717897118,-0.4267375611759756,-0.4187060908560168,-0.5727786914209954,0.2120370196312835,0.057964419066305,1208,2008-04-10
2008-05-30,dev,63,6,0.0905216471587031,0.1237124291120504,0.2437596006144393,0.2326228878648233,-0.3320097673822938,-0.3445657261945362,-0.3205717927750174,-0.4592939443362972,0.1272841769540034,-0.0114379746072764,1260,2008-05-08
2008-06-30,dev,63,17,0.0346667788240859,0.296447664861425,0.3329493087557604,0.2027649769585253,-0.1873066626634071,-0.2433452468530981,-0.2159170208522636,-0.348911229560369,0.1616045668969619,0.0286103581888565,1315,2008-06-10
2008-07-31,dev,64,17,0.0398081119663678,0.4448914313227784,0.2727106227106227,0.1986263736263736,-0.0642233480662663,-0.1267370694379024,-0.1021965195095143,-0.1689969734886158,0.1047736254223495,0.037973171443248,1371,2008-07-08
2008-08-29,dev,67,6,0.1395051177153805,0.3509902982710569,0.2537313432835821,0.3113576502514167,0.0064800420591355,-0.0637726212740158,-0.0213921316596623,-0.0735645832984898,0.0800446253576253,0.0278721737187978,1427,2008-08-07
2008-09-26,dev,69,8,0.1442568970598877,-0.0604285245595011,0.0322250639386189,0.3519546949214469,0.1491601097459992,0.1194383740600303,0.1213577734382924,0.1221274018265714,0.0270327079194277,0.0278023363077067,1483,2008-08-29
2008-10-31,dev,70,8,0.1486248105452975,-0.4347694967865251,-0.3007085994226227,0.3413699588837372,0.3732946241876726,0.5292140125986767,0.4673725135127817,0.6765559068559681,-0.3032612826682955,-0.0940778893251091,1543,2008-10-07
2008-11-28,dev,71,14,0.1802595120996326,-0.2861754237090135,-0.1883970489604292,0.348524480214621,0.3410208334901582,0.4737415377151982,0.4233962220275841,0.6178573536387304,-0.2768365201485722,-0.0823753885374258,1604,2008-11-05
2008-12-31,dev,73,38,0.2230361824698691,-0.4576891205153364,-0.203875107984697,0.2416080464025669,0.4536025861540287,0.6009783000796673,0.5500611700718959,0.8695433075024674,-0.4159407213484387,-0.0964585839178672,1667,2008-12-03
2009-01-23,dev,73,38,0.2286218203707732,-0.4250378215365274,-0.0845365913859064,0.234110823151919,0.4692801811155339,0.5888150764427078,0.5508816899959899,0.8372878787729707,-0.3680076976574368,-0.0816015088804559,1730,2008-12-31
2009-02-27,dev,73,10,0.1849934724826038,-0.2628281250682865,-0.0137911884487226,0.3634147846476614,0.262397405682411,0.3304072354746154,0.2938798070953827,0.4234041847447007,-0.1610067790622897,-0.0314824014129717,1796,2009-02-11
