date,nav,nav_acc,daily_ret,suspicious_jump
2015-02-12,1.0,1.0,0.0,False
2015-02-13,1.0,1.0,0.0,False
2015-02-17,1.0,1.0,0.0,False
2015-02-27,1.0,1.0,0.0,False
2015-03-06,0.993,0.993,0.0,False
2015-03-13,1.006,1.006,0.0,False
2015-03-20,1.057,1.057,0.0,False
2015-03-27,1.084,1.084,0.0,False
2015-04-03,1.147,1.147,0.0,False
2015-04-10,1.186,1.186,0.0,False
2015-04-14,1.204,1.204,0.0,False
2015-04-15,1.163,1.163,-0.034053,False
2015-04-16,1.18,1.18,0.014617,False
2015-04-17,1.184,1.184,0.0033900000000000002,False
2015-04-20,1.171,1.171,-0.01098,False
2015-04-21,1.192,1.192,0.017932999999999998,False
2015-04-22,1.223,1.223,0.026007,False
2015-04-23,1.231,1.231,0.006541,False
2015-04-24,1.228,1.228,-0.002437,False
2015-04-27,1.242,1.242,0.011401,False
2015-04-28,1.208,1.208,-0.027374999999999997,False
2015-04-29,1.234,1.234,0.021523,False
2015-04-30,1.235,1.235,0.0008100000000000001,False
2015-05-04,1.241,1.241,0.004858,False
2015-05-05,1.203,1.203,-0.030619999999999998,False
2015-05-06,1.192,1.192,-0.009144,False
2015-05-07,1.178,1.178,-0.011745,False
2015-05-08,1.229,1.229,0.043294,False
2015-05-11,1.289,1.289,0.048819999999999995,False
2015-05-12,1.337,1.337,0.037238,False
2015-05-13,1.333,1.333,-0.0029920000000000003,False
2015-05-14,1.31,1.31,-0.017254000000000002,False
2015-05-15,1.316,1.316,0.00458,False
2015-05-18,1.35,1.35,0.025836,False
2015-05-19,1.373,1.373,0.017037,False
2015-05-20,1.406,1.406,0.024035,False
2015-05-21,1.439,1.439,0.023471000000000002,False
2015-05-22,1.437,1.437,-0.0013900000000000002,False
2015-05-25,1.456,1.456,0.013222000000000001,False
2015-05-26,1.532,1.532,0.052198,False
2015-05-27,1.552,1.552,0.013055,False
2015-05-28,1.462,1.462,-0.05799000000000001,False
2015-05-29,1.484,1.484,0.015047999999999999,False
2015-06-01,1.558,1.558,0.04986500000000001,False
2015-06-02,1.607,1.607,0.031451,False
2015-06-03,1.607,1.607,0.0,False
2015-06-04,1.587,1.587,-0.012445999999999999,False
2015-06-05,1.597,1.597,0.006301,False
2015-06-08,1.541,1.541,-0.035066,False
2015-06-09,1.533,1.533,-0.005191,False
2015-06-10,1.565,1.565,0.020874,False
2015-06-11,1.574,1.574,0.005750999999999999,False
2015-06-12,1.611,1.611,0.023506999999999997,False
2015-06-15,1.554,1.554,-0.035382,False
2015-06-16,1.476,1.476,-0.050193,False
2015-06-17,1.499,1.499,0.015583,False
2015-06-18,1.442,1.442,-0.038025,False
2015-06-19,1.361,1.361,-0.05617200000000001,False
2015-06-23,1.378,1.378,0.012491,False
2015-06-24,1.404,1.404,0.018868,False
2015-06-25,1.338,1.338,-0.047008999999999995,False
2015-06-26,1.226,1.226,-0.08370699999999999,False
2015-06-29,1.128,1.128,-0.079935,False
2015-06-30,1.171,1.171,0.038121,False
2015-07-01,1.098,1.098,-0.06234,False
2015-07-02,1.014,1.014,-0.076503,False
2015-07-03,0.951,0.951,-0.06213,False
2015-07-06,0.916,0.916,-0.036803,False
2015-07-07,0.856,0.856,-0.065502,False
2015-07-08,0.82,0.82,-0.042055999999999996,False
2015-07-09,0.858,0.858,0.046341,False
2015-07-10,0.905,0.905,0.054779,False
2015-07-13,0.98,0.98,0.082873,False
2015-07-14,1.02,1.02,0.040816,False
2015-07-15,0.978,0.978,-0.041176000000000004,False
2015-07-16,0.993,0.993,0.015337,False
2015-07-17,1.046,1.046,0.053374,False
2015-07-20,1.072,1.072,0.024857,False
2015-07-21,1.094,1.094,0.020522,False
2015-07-22,1.113,1.113,0.017367,False
2015-07-23,1.151,1.151,0.034142,False
2015-07-24,1.133,1.133,-0.015639,False
2015-07-27,1.061,1.061,-0.063548,False
2015-07-28,1.035,1.035,-0.024505,False
2015-07-29,1.077,1.077,0.04058,False
2015-07-30,1.054,1.054,-0.021356,False
2015-07-31,1.034,1.034,-0.018975,False
2015-08-03,0.995,0.995,-0.037718,False
2015-08-04,1.035,1.035,0.040201,False
2015-08-05,1.017,1.017,-0.017391,False
2015-08-06,1.005,1.005,-0.011798999999999999,False
2015-08-07,1.038,1.038,0.032836,False
2015-08-10,1.089,1.089,0.049132999999999996,False
2015-08-11,1.093,1.093,0.003673,False
2015-08-12,1.077,1.077,-0.014639,False
2015-08-13,1.095,1.095,0.016713,False
2015-08-14,1.098,1.098,0.0027400000000000002,False
2015-08-17,1.12,1.12,0.020036,False
2015-08-18,1.037,1.037,-0.074107,False
2015-08-19,1.047,1.047,0.009643,False
2015-08-20,1.019,1.019,-0.026743000000000003,False
2015-08-21,0.972,0.972,-0.046124,False
2015-08-24,0.899,0.899,-0.075103,False
2015-08-25,0.838,0.838,-0.067853,False
2015-08-26,0.821,0.821,-0.020286,False
2015-08-27,0.856,0.856,0.042630999999999995,False
2015-08-28,0.899,0.899,0.050233999999999994,False
2015-08-31,0.885,0.885,-0.015572999999999998,False
2015-09-01,0.851,0.851,-0.038418,False
