date,nav,nav_acc,daily_ret,suspicious_jump
2023-09-15,2.3709,2.4209,-0.0108,False
2023-09-18,2.3865,2.4365,0.0066,False
2023-09-19,2.3532,2.4032,-0.013999999999999999,False
2023-09-20,2.3348,2.3848,-0.0078000000000000005,False
2023-09-21,2.3291,2.3791,-0.0024,False
2023-09-22,2.3853,2.4353,0.0241,False
2023-09-25,2.3755,2.4255,-0.0040999999999999995,False
2023-09-26,2.3696,2.4196,-0.0025,False
2023-09-27,2.3953,2.4453,0.0108,False
2023-09-28,2.4061,2.4561,0.0045000000000000005,False
2023-10-09,2.3985,2.4485,-0.0032,False
2023-10-10,2.3905,2.4405,-0.0033,False
2023-10-11,2.3906,2.4406,0.0,False
2023-10-12,2.3809,2.4309,-0.0040999999999999995,False
2023-10-13,2.3592,2.4092,-0.0091,False
2023-10-16,2.3361,2.3861,-0.0098,False
2023-10-17,2.3311,2.3811,-0.0021,False
2023-10-18,2.2855,2.3355,-0.0196,False
2023-10-19,2.2553,2.3053,-0.0132,False
2023-10-20,2.2229,2.2729,-0.0144,False
2023-10-23,2.163,2.213,-0.0269,False
2023-10-24,2.1991,2.2491,0.0167,False
2023-10-25,2.1841,2.2341,-0.0068000000000000005,False
2023-10-26,2.1842,2.2342,0.0,False
2023-10-27,2.2333,2.2833,0.0225,False
2023-10-30,2.2629,2.3129,0.013300000000000001,False
2023-10-31,2.2365,2.2865,-0.011699999999999999,False
2023-11-01,2.2281,2.2781,-0.0038,False
2023-11-02,2.1892,2.2392,-0.0175,False
2023-11-03,2.2235,2.2735,0.015700000000000002,False
2023-11-06,2.2705,2.3205,0.021099999999999997,False
2023-11-07,2.279,2.329,0.0037,False
2023-11-08,2.2754,2.3254,-0.0016,False
2023-11-09,2.2592,2.3092,-0.0070999999999999995,False
2023-11-10,2.2505,2.3005,-0.0039000000000000003,False
2023-11-13,2.2892,2.3392,0.0172,False
2023-11-14,2.3036,2.3536,0.0063,False
2023-11-15,2.3218,2.3718,0.0079,False
2023-11-16,2.2881,2.3381,-0.014499999999999999,False
2023-11-17,2.3077,2.3577,0.0086,False
2023-11-20,2.325,2.375,0.0075,False
2023-11-21,2.2858,2.3358,-0.0169,False
2023-11-22,2.2394,2.2894,-0.0203,False
2023-11-23,2.2609,2.3109,0.0096,False
2023-11-24,2.2058,2.2558,-0.024399999999999998,False
2023-11-27,2.2073,2.2573,0.0007000000000000001,False
2023-11-28,2.2034,2.2534,-0.0018,False
2023-11-29,2.181,2.231,-0.0102,False
2023-11-30,2.171,2.221,-0.0046,False
2023-12-01,2.2353,2.2853,0.0296,False
2023-12-04,2.2425,2.2925,0.0032,False
2023-12-05,2.1883,2.2383,-0.0242,False
2023-12-06,2.1911,2.2411,0.0013,False
2023-12-07,2.2277,2.2777,0.0167,False
2023-12-08,2.2825,2.3325,0.0246,False
2023-12-11,2.3143,2.3643,0.0139,False
2023-12-12,2.2978,2.3478,-0.0070999999999999995,False
2023-12-13,2.2626,2.3126,-0.015300000000000001,False
2023-12-14,2.2493,2.2993,-0.0059,False
2023-12-15,2.2184,2.2684,-0.0137,False
2023-12-18,2.1916,2.2416,-0.0121,False
2023-12-19,2.2009,2.2509,0.0042,False
2023-12-20,2.1407,2.1907,-0.0274,False
2023-12-21,2.162,2.212,0.01,False
2023-12-22,2.0931,2.1431,-0.0319,False
2023-12-25,2.0837,2.1337,-0.0045000000000000005,False
2023-12-26,2.04,2.09,-0.021,False
2023-12-27,2.0385,2.0885,-0.0007000000000000001,False
2023-12-28,2.0738,2.1238,0.0173,False
2023-12-29,2.1218,2.1718,0.0231,False
2023-12-31,2.1216,2.1716,-0.0001,False
2024-01-02,2.0894,2.1394,-0.0152,False
2024-01-03,2.0702,2.1202,-0.0092,False
2024-01-04,2.0652,2.1152,-0.0024,False
2024-01-05,2.0089,2.0589,-0.0273,False
2024-01-08,1.9767,2.0267,-0.016,False
2024-01-09,1.9782,2.0282,0.0008,False
2024-01-10,1.9396,1.9896,-0.0195,False
2024-01-11,1.9885,2.0385,0.0252,False
2024-01-12,1.9627,2.0127,-0.013000000000000001,False
2024-01-15,1.963,2.013,0.0002,False
2024-01-16,1.9572,2.0072,-0.003,False
2024-01-17,1.9089,1.9589,-0.024700000000000003,False
2024-01-18,1.9589,2.0089,0.0262,False
2024-01-19,1.9133,1.9633,-0.0233,False
2024-01-22,1.8468,1.8968,-0.0348,False
2024-01-23,1.8805,1.9305,0.0182,False
2024-01-24,1.8672,1.9172,-0.0070999999999999995,False
2024-01-25,1.92,1.97,0.028300000000000002,False
2024-01-26,1.8737,1.9237,-0.0241,False
2024-01-29,1.7918,1.8418,-0.0437,False
2024-01-30,1.7608,1.8108,-0.0173,False
2024-01-31,1.7351,1.7851,-0.0146,False
2024-02-01,1.762,1.812,0.0155,False
2024-02-02,1.7249,1.7749,-0.021099999999999997,False
