date,nav,nav_acc,daily_ret,suspicious_jump
2023-09-15,1.1361,1.3827,-0.0055000000000000005,False
2023-09-18,1.1364,1.383,0.0003,False
2023-09-19,1.1374,1.384,0.0009,False
2023-09-20,1.1319,1.3785,-0.0048,False
2023-09-21,1.1232,1.3698,-0.0077,False
2023-09-22,1.1314,1.378,0.0073,False
2023-09-25,1.129,1.3756,-0.0021,False
2023-09-26,1.1272,1.3738,-0.0016,False
2023-09-27,1.1323,1.3789,0.0045000000000000005,False
2023-09-28,1.1311,1.3777,-0.0011,False
2023-10-09,1.1322,1.3788,0.001,False
2023-10-10,1.1254,1.372,-0.006,False
2023-10-11,1.1199,1.3665,-0.0049,False
2023-10-12,1.1199,1.3665,0.0,False
2023-10-13,1.1129,1.3595,-0.0063,False
2023-10-16,1.1097,1.3563,-0.0029,False
2023-10-17,1.1149,1.3615,0.004699999999999999,False
2023-10-18,1.1068,1.3534,-0.0073,False
2023-10-19,1.0904,1.337,-0.0148,False
2023-10-20,1.081,1.3276,-0.0086,False
2023-10-23,1.0754,1.322,-0.0052,False
2023-10-24,1.0822,1.3288,0.0063,False
2023-10-25,1.079,1.3256,-0.003,False
2023-10-26,1.0906,1.3372,0.0108,False
2023-10-27,1.0981,1.3447,0.0069,False
2023-10-30,1.1027,1.3493,0.0042,False
2023-10-31,1.1018,1.3484,-0.0008,False
2023-11-01,1.1068,1.3534,0.0045000000000000005,False
2023-11-02,1.0994,1.346,-0.0067,False
2023-11-03,1.1031,1.3497,0.0034000000000000002,False
2023-11-06,1.0985,1.3451,-0.0042,False
2023-11-07,1.0947,1.3413,-0.0034999999999999996,False
2023-11-08,1.0973,1.3439,0.0024,False
2023-11-09,1.094,1.3406,-0.003,False
2023-11-10,1.0906,1.3372,-0.0031,False
2023-11-13,1.0888,1.3354,-0.0017000000000000001,False
2023-11-14,1.0873,1.3339,-0.0014000000000000002,False
2023-11-15,1.092,1.3386,0.0043,False
2023-11-16,1.0863,1.3329,-0.0052,False
2023-11-17,1.0888,1.3354,0.0023,False
2023-11-20,1.0946,1.3412,0.0053,False
2023-11-21,1.0926,1.3392,-0.0018,False
2023-11-22,1.0832,1.3298,-0.0086,False
