date,nav,nav_acc,daily_ret,suspicious_jump
2023-09-15,1.531,1.531,-0.0078000000000000005,False
2023-09-18,1.541,1.541,0.006500000000000001,False
2023-09-19,1.533,1.533,-0.0052,False
2023-09-20,1.519,1.519,-0.0091,False
2023-09-21,1.506,1.506,-0.0086,False
2023-09-22,1.533,1.533,0.0179,False
2023-09-25,1.525,1.525,-0.0052,False
2023-09-26,1.51,1.51,-0.0098,False
2023-09-27,1.52,1.52,0.0066,False
2023-09-28,1.523,1.523,0.002,False
2023-10-09,1.527,1.527,0.0026,False
2023-10-10,1.515,1.515,-0.0079,False
2023-10-11,1.523,1.523,0.0053,False
2023-10-12,1.546,1.546,0.0151,False
2023-10-13,1.525,1.525,-0.013600000000000001,False
2023-10-16,1.497,1.497,-0.0184,False
2023-10-17,1.508,1.508,0.0073,False
2023-10-18,1.487,1.487,-0.0139,False
2023-10-19,1.469,1.469,-0.0121,False
2023-10-20,1.464,1.464,-0.0034000000000000002,False
2023-10-23,1.444,1.444,-0.0137,False
2023-10-24,1.464,1.464,0.0139,False
2023-10-25,1.473,1.473,0.0060999999999999995,False
2023-10-26,1.467,1.467,-0.0040999999999999995,False
2023-10-27,1.514,1.514,0.032,False
2023-10-30,1.549,1.549,0.0231,False
2023-10-31,1.535,1.535,-0.009000000000000001,False
2023-11-01,1.525,1.525,-0.006500000000000001,False
2023-11-02,1.504,1.504,-0.0138,False
2023-11-03,1.524,1.524,0.013300000000000001,False
2023-11-06,1.571,1.571,0.0308,False
2023-11-07,1.562,1.562,-0.005699999999999999,False
2023-11-08,1.567,1.567,0.0032,False
2023-11-09,1.563,1.563,-0.0026,False
2023-11-10,1.552,1.552,-0.006999999999999999,False
2023-11-13,1.553,1.553,0.0006,False
2023-11-14,1.547,1.547,-0.0039000000000000003,False
2023-11-15,1.554,1.554,0.0045000000000000005,False
2023-11-16,1.528,1.528,-0.0167,False
2023-11-17,1.534,1.534,0.0039000000000000003,False
2023-11-20,1.54,1.54,0.0039000000000000003,False
2023-11-21,1.53,1.53,-0.006500000000000001,False
2023-11-22,1.504,1.504,-0.017,False
2023-11-23,1.517,1.517,0.0086,False
2023-11-24,1.499,1.499,-0.011899999999999999,False
2023-11-27,1.5,1.5,0.0007000000000000001,False
2023-11-28,1.509,1.509,0.006,False
2023-11-29,1.497,1.497,-0.008,False
2023-11-30,1.491,1.491,-0.004,False
2023-12-01,1.493,1.493,0.0013,False
2023-12-04,1.479,1.479,-0.009399999999999999,False
2023-12-05,1.449,1.449,-0.0203,False
2023-12-06,1.455,1.455,0.0040999999999999995,False
2023-12-07,1.448,1.448,-0.0048,False
2023-12-08,1.445,1.445,-0.0021,False
2023-12-11,1.472,1.472,0.0187,False
2023-12-12,1.469,1.469,-0.002,False
2023-12-13,1.453,1.453,-0.0109,False
2023-12-14,1.443,1.443,-0.0069,False
2023-12-15,1.436,1.436,-0.0049,False
2023-12-18,1.408,1.408,-0.0195,False
2023-12-19,1.412,1.412,0.0028000000000000004,False
2023-12-20,1.39,1.39,-0.015600000000000001,False
2023-12-21,1.403,1.403,0.009399999999999999,False
2023-12-22,1.404,1.404,0.0007000000000000001,False
2023-12-25,1.415,1.415,0.0078000000000000005,False
2023-12-26,1.402,1.402,-0.0092,False
2023-12-27,1.402,1.402,0.0,False
2023-12-28,1.444,1.444,0.03,False
2023-12-29,1.459,1.459,0.0104,False
2023-12-31,1.459,1.459,0.0,False
2024-01-02,1.432,1.432,-0.018500000000000003,False
2024-01-03,1.417,1.417,-0.0105,False
2024-01-04,1.394,1.394,-0.016200000000000003,False
2024-01-05,1.375,1.375,-0.013600000000000001,False
2024-01-08,1.343,1.343,-0.0233,False
2024-01-09,1.34,1.34,-0.0022,False
2024-01-10,1.337,1.337,-0.0022,False
2024-01-11,1.366,1.366,0.0217,False
2024-01-12,1.36,1.36,-0.0044,False
2024-01-15,1.342,1.342,-0.0132,False
2024-01-16,1.349,1.349,0.0052,False
2024-01-17,1.312,1.312,-0.0274,False
2024-01-18,1.325,1.325,0.009899999999999999,False
2024-01-19,1.319,1.319,-0.0045000000000000005,False
2024-01-22,1.275,1.275,-0.0334,False
2024-01-23,1.275,1.275,0.0,False
2024-01-24,1.277,1.277,0.0016,False
2024-01-25,1.303,1.303,0.0204,False
2024-01-26,1.276,1.276,-0.0207,False
2024-01-29,1.242,1.242,-0.026600000000000002,False
2024-01-30,1.212,1.212,-0.0242,False
2024-01-31,1.195,1.195,-0.013999999999999999,False
2024-02-01,1.193,1.193,-0.0017000000000000001,False
2024-02-02,1.162,1.162,-0.026000000000000002,False
2024-02-05,1.16,1.16,-0.0017000000000000001,False
2024-02-06,1.215,1.215,0.047400000000000005,False
2024-02-07,1.246,1.246,0.0255,False
2024-02-08,1.276,1.276,0.0241,False
2024-02-19,1.273,1.273,-0.0024,False
2024-02-20,1.268,1.268,-0.0039000000000000003,False
2024-02-21,1.28,1.28,0.0095,False
2024-02-22,1.289,1.289,0.006999999999999999,False
2024-02-23,1.292,1.292,0.0023,False
2024-02-26,1.304,1.304,0.009300000000000001,False
2024-02-27,1.337,1.337,0.0253,False
2024-02-28,1.306,1.306,-0.0232,False
2024-02-29,1.345,1.345,0.029900000000000003,False
2024-03-01,1.352,1.352,0.0052,False
2024-03-04,1.362,1.362,0.0074,False
2024-03-05,1.354,1.354,-0.0059,False
2024-03-06,1.356,1.356,0.0015,False
2024-03-07,1.329,1.329,-0.0199,False
2024-03-08,1.332,1.332,0.0023,False
2024-03-11,1.379,1.379,0.0353,False
2024-03-12,1.402,1.402,0.0167,False
2024-03-13,1.402,1.402,0.0,False
2024-03-14,1.384,1.384,-0.0128,False
2024-03-15,1.388,1.388,0.0029,False
2024-03-18,1.414,1.414,0.0187,False
2024-03-19,1.404,1.404,-0.0070999999999999995,False
2024-03-20,1.404,1.404,0.0,False
2024-03-21,1.389,1.389,-0.010700000000000001,False
2024-03-22,1.371,1.371,-0.013000000000000001,False
2024-03-25,1.348,1.348,-0.0168,False
2024-03-26,1.364,1.364,0.011899999999999999,False
2024-03-27,1.334,1.334,-0.022000000000000002,False
2024-03-28,1.348,1.348,0.0105,False
2024-03-29,1.362,1.362,0.0104,False
2024-04-01,1.391,1.391,0.0213,False
2024-04-02,1.389,1.389,-0.0014000000000000002,False
2024-04-03,1.382,1.382,-0.005,False
2024-04-08,1.361,1.361,-0.0152,False
2024-04-09,1.377,1.377,0.0118,False
2024-04-10,1.352,1.352,-0.0182,False
2024-04-11,1.347,1.347,-0.0037,False
2024-04-12,1.334,1.334,-0.0097,False
2024-04-15,1.353,1.353,0.014199999999999999,False
2024-04-16,1.312,1.312,-0.030299999999999997,False
2024-04-17,1.349,1.349,0.0282,False
2024-04-18,1.346,1.346,-0.0022,False
2024-04-19,1.33,1.33,-0.011899999999999999,False
2024-04-22,1.338,1.338,0.006,False
2024-04-23,1.329,1.329,-0.0067,False
2024-04-24,1.331,1.331,0.0015,False
2024-04-25,1.332,1.332,0.0008,False
2024-04-26,1.343,1.343,0.0083,False
2024-04-29,1.382,1.382,0.028999999999999998,False
2024-04-30,1.381,1.381,-0.0007000000000000001,False
2024-05-06,1.416,1.416,0.0253,False
2024-05-07,1.418,1.418,0.0014000000000000002,False
2024-05-08,1.393,1.393,-0.0176,False
2024-05-09,1.428,1.428,0.025099999999999997,False
2024-05-10,1.414,1.414,-0.0098,False
2024-05-13,1.402,1.402,-0.0085,False
2024-05-14,1.402,1.402,0.0,False
2024-05-15,1.388,1.388,-0.01,False
2024-05-16,1.385,1.385,-0.0022,False
2024-05-17,1.401,1.401,0.0116,False
2024-05-20,1.402,1.402,0.0007000000000000001,False
2024-05-21,1.391,1.391,-0.0078000000000000005,False
2024-05-22,1.4,1.4,0.006500000000000001,False
2024-05-23,1.376,1.376,-0.0171,False
2024-05-24,1.359,1.359,-0.0124,False
2024-05-27,1.366,1.366,0.0052,False
2024-05-28,1.352,1.352,-0.0102,False
2024-05-29,1.356,1.356,0.003,False
2024-05-30,1.362,1.362,0.0044,False
2024-05-31,1.364,1.364,0.0015,False
2024-06-03,1.368,1.368,0.0029,False
2024-06-04,1.38,1.38,0.0088,False
2024-06-05,1.388,1.388,0.0058,False
2024-06-06,1.372,1.372,-0.0115,False
2024-06-07,1.356,1.356,-0.011699999999999999,False
2024-06-11,1.365,1.365,0.0066,False
2024-06-12,1.369,1.369,0.0029,False
2024-06-13,1.365,1.365,-0.0029,False
2024-06-14,1.366,1.366,0.0007000000000000001,False
2024-06-17,1.373,1.373,0.0051,False
2024-06-18,1.374,1.374,0.0007000000000000001,False
2024-06-19,1.349,1.349,-0.0182,False
2024-06-20,1.336,1.336,-0.0096,False
2024-06-21,1.335,1.335,-0.0007000000000000001,False
2024-06-24,1.314,1.314,-0.015700000000000002,False
2024-06-25,1.298,1.298,-0.012199999999999999,False
2024-06-26,1.314,1.314,0.0123,False
2024-06-27,1.288,1.288,-0.019799999999999998,False
2024-06-28,1.29,1.29,0.0016,False
2024-06-30,1.29,1.29,0.0,False
2024-07-01,1.294,1.294,0.0031,False
2024-07-02,1.277,1.277,-0.0131,False
2024-07-03,1.265,1.265,-0.009399999999999999,False
2024-07-04,1.254,1.254,-0.0087,False
2024-07-05,1.254,1.254,0.0,False
2024-07-08,1.224,1.224,-0.0239,False
2024-07-09,1.237,1.237,0.0106,False
2024-07-10,1.242,1.242,0.004,False
2024-07-11,1.264,1.264,0.0177,False
2024-07-12,1.262,1.262,-0.0016,False
2024-07-15,1.26,1.26,-0.0016,False
2024-07-16,1.269,1.269,0.0070999999999999995,False
2024-07-17,1.269,1.269,0.0,False
2024-07-18,1.284,1.284,0.0118,False
2024-07-19,1.294,1.294,0.0078000000000000005,False
2024-07-22,1.29,1.29,-0.0031,False
2024-07-23,1.254,1.254,-0.0279,False
2024-07-24,1.244,1.244,-0.008,False
2024-07-25,1.251,1.251,0.005600000000000001,False
2024-07-26,1.27,1.27,0.0152,False
2024-07-29,1.253,1.253,-0.0134,False
2024-07-30,1.251,1.251,-0.0016,False
2024-07-31,1.29,1.29,0.031200000000000002,False
2024-08-01,1.272,1.272,-0.013999999999999999,False
2024-08-02,1.253,1.253,-0.0149,False
2024-08-05,1.234,1.234,-0.0152,False
2024-08-06,1.257,1.257,0.018600000000000002,False
2024-08-07,1.255,1.255,-0.0016,False
2024-08-08,1.249,1.249,-0.0048,False
2024-08-09,1.235,1.235,-0.011200000000000002,False
2024-08-12,1.23,1.23,-0.004,False
2024-08-13,1.235,1.235,0.0040999999999999995,False
2024-08-14,1.215,1.215,-0.016200000000000003,False
2024-08-15,1.22,1.22,0.0040999999999999995,False
2024-08-16,1.216,1.216,-0.0033,False
2024-08-19,1.21,1.21,-0.0049,False
2024-08-20,1.199,1.199,-0.0091,False
2024-08-21,1.194,1.194,-0.0042,False
2024-08-22,1.185,1.185,-0.0075,False
2024-08-23,1.186,1.186,0.0008,False
2024-08-26,1.185,1.185,-0.0008,False
2024-08-27,1.175,1.175,-0.0084,False
2024-08-28,1.178,1.178,0.0026,False
2024-08-29,1.197,1.197,0.0161,False
2024-08-30,1.22,1.22,0.0192,False
2024-09-02,1.193,1.193,-0.022099999999999998,False
2024-09-03,1.21,1.21,0.014199999999999999,False
2024-09-04,1.217,1.217,0.0058,False
2024-09-05,1.217,1.217,0.0,False
2024-09-06,1.2,1.2,-0.013999999999999999,False
2024-09-09,1.185,1.185,-0.0125,False
2024-09-10,1.183,1.183,-0.0017000000000000001,False
2024-09-11,1.199,1.199,0.013500000000000002,False
2024-09-12,1.19,1.19,-0.0075,False
2024-09-13,1.163,1.163,-0.0227,False
