date,nav,nav_acc,daily_ret,suspicious_jump
2023-09-15,1.9338,1.9338,0.0,False
2023-09-18,1.9303,1.9303,-0.0018,False
2023-09-19,1.9212,1.9212,-0.004699999999999999,False
2023-09-20,1.8982,1.8982,-0.012,False
2023-09-21,1.885,1.885,-0.006999999999999999,False
2023-09-22,1.9241,1.9241,0.0207,False
2023-09-25,1.9167,1.9167,-0.0038,False
2023-09-26,1.9073,1.9073,-0.0049,False
2023-09-27,1.9079,1.9079,0.0003,False
2023-09-28,1.9205,1.9205,0.0066,False
2023-10-09,1.9228,1.9228,0.0012,False
2023-10-10,1.9054,1.9054,-0.009000000000000001,False
2023-10-11,1.9,1.9,-0.0028000000000000004,False
2023-10-12,1.9087,1.9087,0.0046,False
2023-10-13,1.8922,1.8922,-0.0086,False
2023-10-16,1.8653,1.8653,-0.014199999999999999,False
2023-10-17,1.8646,1.8646,-0.0004,False
2023-10-18,1.8426,1.8426,-0.0118,False
2023-10-19,1.8218,1.8218,-0.0113,False
2023-10-20,1.7944,1.7944,-0.015,False
2023-10-23,1.7659,1.7659,-0.0159,False
2023-10-24,1.7864,1.7864,0.0116,False
2023-10-25,1.7965,1.7965,0.005699999999999999,False
2023-10-26,1.7979,1.7979,0.0008,False
2023-10-27,1.816,1.816,0.0101,False
2023-10-30,1.8575,1.8575,0.0229,False
2023-10-31,1.8478,1.8478,-0.0052,False
2023-11-01,1.8454,1.8454,-0.0013,False
2023-11-02,1.8244,1.8244,-0.011399999999999999,False
2023-11-03,1.8566,1.8566,0.0176,False
2023-11-06,1.88,1.88,0.0126,False
2023-11-07,1.8885,1.8885,0.0045000000000000005,False
2023-11-08,1.8945,1.8945,0.0032,False
2023-11-09,1.8813,1.8813,-0.006999999999999999,False
2023-11-10,1.8751,1.8751,-0.0033,False
2023-11-13,1.8985,1.8985,0.0125,False
2023-11-14,1.916,1.916,0.0092,False
2023-11-15,1.9216,1.9216,0.0029,False
2023-11-16,1.9043,1.9043,-0.009000000000000001,False
2023-11-17,1.9159,1.9159,0.0060999999999999995,False
2023-11-20,1.9301,1.9301,0.0074,False
2023-11-21,1.917,1.917,-0.0068000000000000005,False
2023-11-22,1.8938,1.8938,-0.0121,False
2023-11-23,1.917,1.917,0.0123,False
2023-11-24,1.8903,1.8903,-0.0139,False
2023-11-27,1.9055,1.9055,0.008,False
2023-11-28,1.9108,1.9108,0.0028000000000000004,False
2023-11-29,1.9029,1.9029,-0.0040999999999999995,False
2023-11-30,1.8935,1.8935,-0.0049,False
2023-12-01,1.8975,1.8975,0.0021,False
2023-12-04,1.8968,1.8968,-0.0004,False
2023-12-05,1.8575,1.8575,-0.0207,False
2023-12-06,1.8586,1.8586,0.0006,False
2023-12-07,1.8529,1.8529,-0.0031,False
2023-12-08,1.8612,1.8612,0.0045000000000000005,False
2023-12-11,1.8865,1.8865,0.013600000000000001,False
2023-12-12,1.8862,1.8862,-0.0002,False
2023-12-13,1.8744,1.8744,-0.0063,False
2023-12-14,1.8669,1.8669,-0.004,False
2023-12-15,1.8515,1.8515,-0.008199999999999999,False
2023-12-18,1.8251,1.8251,-0.0143,False
2023-12-19,1.8311,1.8311,0.0033,False
2023-12-20,1.8069,1.8069,-0.0132,False
2023-12-21,1.8277,1.8277,0.0115,False
2023-12-22,1.8214,1.8214,-0.0034000000000000002,False
2023-12-25,1.8269,1.8269,0.003,False
2023-12-26,1.7981,1.7981,-0.0158,False
2023-12-27,1.8105,1.8105,0.0069,False
