date,nav,nav_acc,daily_ret,suspicious_jump
2023-09-15,3.114,3.114,0.0070999999999999995,False
2023-09-18,3.115,3.115,0.0003,False
2023-09-19,3.103,3.103,-0.0039000000000000003,False
2023-09-20,3.105,3.105,0.0006,False
2023-09-21,3.092,3.092,-0.0042,False
2023-09-22,3.129,3.129,0.012,False
2023-09-25,3.13,3.13,0.0003,False
2023-09-26,3.109,3.109,-0.0067,False
2023-09-27,3.103,3.103,-0.0019,False
2023-09-28,3.105,3.105,0.0006,False
2023-10-09,3.094,3.094,-0.0034999999999999996,False
2023-10-10,3.052,3.052,-0.013600000000000001,False
2023-10-11,3.064,3.064,0.0039000000000000003,False
2023-10-12,3.069,3.069,0.0016,False
2023-10-13,3.05,3.05,-0.0062,False
2023-10-16,3.023,3.023,-0.0089,False
2023-10-17,3.04,3.04,0.005600000000000001,False
2023-10-18,2.988,2.988,-0.0171,False
2023-10-19,2.93,2.93,-0.0194,False
2023-10-20,2.883,2.883,-0.016,False
2023-10-23,2.831,2.831,-0.018000000000000002,False
2023-10-24,2.856,2.856,0.0088,False
2023-10-25,2.854,2.854,-0.0007000000000000001,False
2023-10-26,2.845,2.845,-0.0032,False
2023-10-27,2.924,2.924,0.0278,False
2023-10-30,2.947,2.947,0.0079,False
2023-10-31,2.941,2.941,-0.002,False
2023-11-01,2.931,2.931,-0.0034000000000000002,False
2023-11-02,2.895,2.895,-0.0123,False
2023-11-03,2.907,2.907,0.0040999999999999995,False
2023-11-06,2.965,2.965,0.02,False
2023-11-07,2.973,2.973,0.0027,False
2023-11-08,2.953,2.953,-0.0067,False
2023-11-09,2.944,2.944,-0.003,False
2023-11-10,2.925,2.925,-0.006500000000000001,False
2023-11-13,2.911,2.911,-0.0048,False
2023-11-14,2.913,2.913,0.0007000000000000001,False
2023-11-15,2.944,2.944,0.0106,False
2023-11-16,2.906,2.906,-0.0129,False
2023-11-17,2.92,2.92,0.0048,False
2023-11-20,2.926,2.926,0.0021,False
2023-11-21,2.923,2.923,-0.001,False
2023-11-22,2.879,2.879,-0.0151,False
2023-11-23,2.918,2.918,0.013500000000000002,False
2023-11-24,2.88,2.88,-0.013000000000000001,False
2023-11-27,2.874,2.874,-0.0021,False
2023-11-28,2.874,2.874,0.0,False
2023-11-29,2.881,2.881,0.0024,False
2023-11-30,2.871,2.871,-0.0034999999999999996,False
2023-12-01,2.878,2.878,0.0024,False
2023-12-04,2.857,2.857,-0.0073,False
2023-12-05,2.851,2.851,-0.0021,False
2023-12-06,2.852,2.852,0.0004,False
2023-12-07,2.841,2.841,-0.0039000000000000003,False
2023-12-08,2.837,2.837,-0.0014000000000000002,False
2023-12-11,2.883,2.883,0.016200000000000003,False
2023-12-12,2.894,2.894,0.0038,False
2023-12-13,2.859,2.859,-0.0121,False
2023-12-14,2.853,2.853,-0.0021,False
2023-12-15,2.852,2.852,-0.0004,False
2023-12-18,2.825,2.825,-0.0095,False
2023-12-19,2.834,2.834,0.0032,False
2023-12-20,2.809,2.809,-0.0088,False
2023-12-21,2.821,2.821,0.0043,False
2023-12-22,2.812,2.812,-0.0032,False
