fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
005694,华富恒玖3个月定期开放债券,2020-03-11,2020-04-29,2,基金合同终止公告/清算报告,华富,2020-03-11,False
005702,恒生前海港股通高股息低波动指数,2023-10-26,2023-10-26,2,基金合同终止公告/清算报告,恒生前海,2023-10-26,False
005715,人保纯债一年定开,2021-05-17,2024-08-03,3,基金合同终止公告/清算报告,人保资产,2021-05-17,False
005724,交银致远智投混合,2020-06-04,2020-07-18,2,基金合同终止公告/清算报告,交银施罗德,2020-06-04,False
005728,华宝绿色主题混合,2024-03-29,2024-04-30,2,基金合同终止公告/清算报告,华宝,2024-03-29,False
005747,华安MSCI中国A股国际ETF联接,2021-04-16,2021-04-16,1,清算报告,华安,2021-04-16,False
005757,长江汇聚量化多因子,2021-04-27,2021-05-21,2,基金合同终止公告/清算报告,长江资管,2021-04-27,False
005769,南方共享经济灵活配置混合,2021-03-16,2021-03-18,2,基金合同终止公告/清算报告,南方,2021-03-16,False
005770,信澳中证沪港深高股息精选,2023-07-19,2023-11-20,2,清算报告,信达澳亚,2023-07-19,False
005796,嘉实新添荣定期混合,2021-07-14,2022-02-17,3,基金合同终止公告/清算报告,嘉实,2021-07-14,False
005799,创金合信春来回报一年定开混合,2020-10-29,2020-10-29,1,清算报告,创金合信,2020-10-29,False
005803,广发中证京津冀ETF联接,2021-04-20,2021-06-29,2,基金合同终止公告/清算报告,广发,2021-04-20,False
005806,华泰柏瑞国企整合混合,2020-08-27,2020-08-27,1,清算报告,华泰柏瑞,2020-08-27,False
005807,安信复兴100指数,2020-02-06,2020-04-10,4,基金合同终止公告/基金清算公告/清算报告,安信,2020-02-06,False
005822,国富恒裕6个月定期开放债券,2021-07-21,2021-07-21,1,清算报告,国海富兰克林,2021-07-21,False
005832,景顺长城MSCI中国A股国际通ETF联接,2022-04-24,2022-05-06,2,基金合同终止公告/清算报告,景顺长城,2022-04-24,False
005835,招商稳祯定期开放混合,2020-11-11,2020-11-27,2,基金合同终止公告/清算报告,招商,2020-11-11,False
005859,南方固胜定期开放混合,2020-05-20,2020-05-21,2,基金合同终止公告/清算报告,南方,2020-05-20,False
005883,华宝香港精选混合,2021-08-26,2021-09-28,2,基金合同终止公告/清算报告,华宝,2021-08-26,False
005899,国投瑞银品牌优势混合,2020-07-13,2020-08-05,4,基金合同终止公告/清算报告,国投瑞银,2020-07-13,False
005900,国投瑞银行业先锋混合,2020-01-22,2020-04-03,5,基金清算公告/清算报告,国投瑞银,2020-01-22,False
005912,广发全球收益债券(QDII),2020-09-15,2020-09-15,1,清算报告,广发,2020-09-15,False
005922,圆信永丰中高等级,2020-06-20,2020-06-20,1,基金清算公告,圆信永丰,2020-06-20,False
005943,工银聚福混合,2025-12-30,2026-01-23,2,基金合同终止公告/清算报告,工银瑞信,2025-12-30,False
006019,广发景智纯债,2021-04-08,2021-04-08,1,清算报告,广发,2021-04-08,False
006040,安信永瑞定开债券,2022-06-24,2022-07-14,3,基金合同终止公告/清算报告,安信,2022-06-24,False
006063,景顺长城MSCI中国A股国际通指数增强,2025-05-15,2025-05-29,3,基金合同终止公告/基金清算公告/清算报告,景顺长城,2025-05-15,False
006084,融通研究优选混合,2022-12-24,2022-12-24,1,清算报告,融通,2022-12-24,False
006090,前海开源鼎康债券,2021-11-04,2021-11-04,1,基金清算公告,前海开源,2021-11-04,False
006103,凯石淳行业精选混合,2021-03-17,2021-04-14,2,基金合同终止公告/清算报告,凯石,2021-03-17,False
006119,银华中证央企结构调整ETF联接,2023-03-21,2023-03-21,1,清算报告,银华,2023-03-21,False
006139,中信建投稳瑞,2020-10-29,2021-01-04,3,基金合同终止公告/基金清算公告/清算报告,中信建投,2020-10-29,False
006143,恒生前海中证质量成长低波动指数,2022-12-17,2022-12-17,1,基金合同终止公告,恒生前海,2022-12-17,False
006155,新华家盈双利混合,2019-11-26,2020-06-12,3,基金合同终止公告/基金清算公告/清算报告,新华,2019-11-26,False
006157,财通量化核心优选混合,2023-08-01,2023-08-29,2,基金合同终止公告/清算报告,财通,2023-08-01,False
006164,融通通捷债券,2021-07-20,2021-07-20,1,清算报告,融通,2021-07-20,False
006189,国金量化添利,2021-11-03,2021-11-30,2,基金合同终止公告/清算报告,国金,2021-11-03,False
006193,鑫元核心资产,2024-02-27,2024-03-14,2,基金清算公告/清算报告,鑫元,2024-02-27,False
006198,长盛龙头双核混合,2022-03-19,2022-04-14,2,基金清算公告/清算报告,长盛,2022-03-19,False
006199,长盛同锦混合,2022-06-09,2022-08-30,3,基金合同终止公告/清算报告,长盛,2022-06-09,False
006201,景顺长城量化先锋混合,2023-09-29,2023-10-24,2,基金合同终止公告/清算报告,景顺长城,2023-09-29,False
006203,前海联合泳祺纯债,2023-09-14,2023-09-14,1,基金合同终止公告,前海联合,2023-09-14,False
006205,汇添富沪港深优势定开,2024-01-30,2024-03-22,3,基金合同终止公告/清算报告,汇添富,2024-01-30,False
006225,人保量化混合,2023-10-24,2023-10-24,1,清算报告,人保资产,2023-10-24,False
006236,华泰柏瑞现代服务业混合,2020-08-27,2020-08-27,1,清算报告,华泰柏瑞,2020-08-27,False
006246,华夏中小板ETF联接,2021-09-29,2021-09-29,1,清算报告,华夏,2021-09-29,False
006255,中邮中证价值回报量化策略指数,2021-11-30,2021-12-21,2,基金合同终止公告/清算报告,中邮创业,2021-11-30,False
006277,中金瑞和,2024-10-11,2024-10-25,2,基金合同终止公告/清算报告,中金,2024-10-11,False
006279,中金瑞祥,2023-02-04,2023-04-14,2,清算报告,中金,2023-02-04,False
006311,中金可转债,2019-12-20,2019-12-20,1,清算报告,中金,2019-12-20,False
006339,银华MSCI中国A股ETF发起式联接,2022-06-06,2022-08-05,2,基金合同终止公告/清算报告,银华,2022-06-06,False
006343,中金MSCI低波动,2021-10-18,2021-11-04,2,基金合同终止公告/清算报告,中金,2021-10-18,False
006346,安信量化优选股票,2025-03-26,2025-04-08,3,基金合同终止公告/清算报告,安信,2025-03-26,False
006349,中金MSCI价值,2022-01-26,2022-02-24,2,基金合同终止公告/清算报告,中金,2022-01-26,False
006351,中金MSCI红利,2022-01-26,2022-02-24,2,基金合同终止公告/清算报告,中金,2022-01-26,False
006354,国泰民裕进取灵活配置混合,2025-03-10,2025-04-08,2,基金合同终止公告/清算报告,国泰,2025-03-10,False
006356,国融稳融债券,2020-06-13,2020-07-17,2,基金合同终止公告/清算报告,国融,2020-06-13,False
006358,前海联合泳盛纯债,2021-12-11,2022-01-25,2,基金合同终止公告/清算报告,前海联合,2021-12-11,False
006362,凯石涵行业精选混合,2021-03-02,2021-04-16,2,基金合同终止公告/清算报告,凯石,2021-03-02,False
006391,信达澳银安和纯债,2019-09-17,2019-12-24,2,基金合同终止公告/清算报告,信达澳亚,2019-09-17,False
006418,华安安泰定开债,2019-12-17,2019-12-17,1,清算报告,华安,2019-12-17,False
006419,人保优势产业混合,2024-07-16,2024-07-16,1,清算报告,人保资产,2024-07-16,False
006455,人保福睿18个月定期开放债券,2020-10-26,2024-08-03,3,基金合同终止公告/清算报告,人保资产,2020-10-26,False
006461,人保福泽一年定期开放债券,2022-02-19,2024-08-03,3,基金合同终止公告/清算报告,人保资产,2022-02-19,False
006472,海富通聚丰纯债,2020-03-26,2020-06-03,3,基金合同终止公告/清算报告,海富通,2020-03-26,False
006478,长盛多因子股票,2022-08-05,2022-08-05,1,清算报告,长盛,2022-08-05,False
006498,中科沃土沃盛纯债债券,2022-06-29,2022-06-29,1,清算报告,众盈基金,2022-06-29,False
