fund_code
000132
000315
000439
000485
000702
000732
000738
000901
004214
004577
004663
004860
005002
005016
010813
040028
040030
040033
070035
360017
360021
380003
471028
519131
519192
560001
675021
675131
850011
870012
970116
970162
970171
970172
970173
970174
970175
970176
970179
970183
970186
970196
