fund_code,管理费率,托管费率,销售服务费率
001261,1.2,0.2,0.0
001264,0.6,0.1,0.0
001265,0.5,0.1,0.0
001266,1.2,0.2,0.0
001267,1.2,0.2,
001268,1.2,0.2,0.0
001270,0.6,0.2,0.0
001271,0.6,0.2,0.5
001272,1.2,0.1,0.0
001273,0.9,0.15,0.0
001275,1.2,0.2,
001276,1.2,0.2,
001277,1.2,0.2,0.0
001278,1.2,0.2,0.0
001279,1.2,0.2,
001280,0.6,0.15,0.0
001281,1.0,0.2,0.0
001282,1.2,0.2,0.0
001283,1.2,0.15,0.0
001285,0.6,0.2,0.0
001287,1.0,0.2,0.0
001297,1.2,0.2,
001298,0.8,,
001300,1.2,0.2,0.0
001302,1.2,0.2,0.0
001312,0.7,0.15,0.0
001313,1.2,0.2,0.0
001314,0.6,0.2,0.0
001316,0.6,0.2,0.0
001318,0.8,0.2,0.0
001319,1.2,0.2,0.0
001320,1.2,0.2,0.0
001322,1.2,0.2,
001331,0.4,0.1,0.0
001334,0.6,0.1,0.0
001335,0.6,0.15,0.0
001355,0.55,0.1,0.0
001357,0.7,0.15,0.0
001358,0.6,0.2,0.0
001362,0.6,0.1,0.0
001371,1.2,0.2,0.0
001373,1.2,0.2,
001382,1.2,0.2,
001396,1.2,0.2,
001398,1.2,0.2,
001399,0.8,0.1,0.0
001402,0.65,0.15,0.0
001410,1.2,0.2,0.0
001411,0.6,0.2,0.0
001412,0.7,0.15,0.0
001413,0.6,0.2,0.0
001421,1.2,0.2,0.0
001422,0.6,0.1,0.0
001424,0.6,0.2,0.0
001427,0.6,0.15,0.0
001445,1.2,0.2,0.0
001447,0.4,0.08,0.0
001448,0.6,0.2,0.0
001449,1.2,0.2,
001470,0.6,0.15,0.0
001471,1.2,0.2,0.0
001473,1.2,0.2,
001474,0.8,0.1,0.0
001475,1.2,0.2,0.0
001476,1.2,0.2,0.0
001479,1.2,0.2,
001480,1.2,0.2,0.0
001482,1.2,0.2,0.0
001484,0.6,0.1,0.0
001485,0.6,0.15,0.0
001487,1.2,0.2,0.0
001488,0.6,0.15,0.0
001490,1.2,0.2,0.0
001495,0.8,0.2,0.0
001496,1.2,0.2,
001498,0.8,0.2,0.0
001499,0.6,0.1,0.0
001500,1.2,0.2,
001508,0.6,0.2,0.0
001513,1.2,0.2,0.0
001518,1.2,0.2,0.0
001520,1.2,0.2,
001521,1.2,0.2,0.0
001522,0.6,0.15,0.0
001524,0.6,0.15,
001528,1.2,0.2,0.0
001530,0.6,0.15,0.0
001531,1.2,0.2,0.0
001532,1.2,0.2,0.0
001534,1.2,0.2,0.0
001535,1.2,0.2,0.0
001536,1.2,0.2,
001537,1.2,0.2,
001538,1.2,0.2,0.0
001540,1.2,0.2,
001541,1.2,0.2,
001542,1.2,0.2,
001543,1.2,0.2,0.0
001547,0.4,0.1,0.0
001558,1.2,0.2,0.0
001562,0.6,0.1,
001563,1.2,0.2,0.0
001564,1.2,0.2,0.0
001566,0.8,0.2,0.0
001569,1.2,0.2,
001570,0.6,0.1,0.0
001571,0.6,0.1,0.0
001573,0.6,0.1,
001574,1.2,0.2,0.0
001575,0.3,0.05,
001576,1.2,0.2,0.0
001577,1.2,0.2,
001579,1.2,0.2,0.0
001581,1.2,0.2,0.0
001583,1.2,0.2,0.0
001584,0.3,0.05,0.0
001596,0.6,0.1,0.0
001609,0.8,0.2,0.0
001613,1.2,0.2,0.0
001614,1.2,0.2,
001615,0.7,0.15,0.0
001616,1.2,0.2,
001623,1.2,0.2,0.0
001626,1.2,0.2,0.0
001628,1.2,0.2,0.0
001633,0.6,0.2,0.0
001656,1.2,0.2,
001657,1.2,0.2,0.0
001659,1.2,0.2,
001660,0.9,0.2,
001662,1.2,0.2,
001664,0.6,0.1,0.0
001667,1.2,0.2,0.0
001672,1.2,0.2,0.0
001675,0.7,0.15,0.0
001677,1.2,0.2,0.0
001678,1.0,0.15,0.0
001679,1.2,0.2,0.0
001692,1.2,0.2,
001694,1.2,0.2,0.0
001695,0.8,0.15,
001701,1.2,0.2,
001702,1.2,0.2,
001703,1.2,0.2,0.0
001704,1.2,0.2,
001714,1.2,0.2,0.0
001715,1.0,0.2,0.0
001716,1.0,0.2,0.0
001717,1.2,0.2,0.0
001718,1.2,0.2,0.0
001719,1.2,0.2,
001720,0.5,0.1,
001721,0.3,0.05,
001722,0.3,0.05,
001723,1.2,0.2,0.0
001725,1.2,0.2,0.0
001726,1.2,0.2,0.0
001730,1.2,0.2,
001731,1.0,0.1,0.0
001733,1.2,0.25,
001734,1.2,0.1,0.0
001736,1.2,0.2,
001740,1.2,0.2,0.0
001741,1.0,0.1,
001743,1.2,0.1,0.0
001744,1.2,0.15,0.0
001745,0.6,0.1,0.0
001747,0.6,0.1,0.0
001749,1.2,0.2,0.0
001753,1.2,0.2,0.0
001755,0.6,0.15,0.0
001756,0.6,0.1,
001758,1.2,0.2,
001759,1.2,0.2,
001760,1.2,0.2,
001761,0.6,0.15,0.0
001763,1.2,0.2,
001764,1.2,0.2,
001765,0.6,0.1,0.0
001766,1.2,0.2,0.0
001779,0.8,0.2,
001780,1.2,0.2,0.0
001781,1.2,0.2,
001782,1.0,0.1,0.0
001789,1.0,0.2,0.0
001790,1.2,0.2,0.0
001791,1.2,0.2,0.0
001795,1.5,0.25,
001796,0.9,0.2,0.0
001797,0.6,0.15,0.0
001798,1.0,0.15,0.0
001800,0.6,0.15,0.0
001816,0.9,0.2,0.0
001817,0.6,0.1,0.0
001822,1.2,0.2,0.0
001824,0.6,0.25,
001825,1.2,0.2,0.0
001827,1.2,0.2,0.0
001829,1.2,0.2,
001830,1.2,0.2,0.0
001832,0.6,0.15,
001835,0.6,0.1,0.0
001837,1.2,0.2,0.0
001838,1.2,0.2,0.0
001839,0.8,0.2,
001849,1.2,0.2,
001850,0.4,0.05,0.0
001852,1.2,0.2,0.0
001856,1.2,0.2,0.0
001857,1.2,0.2,
001858,1.2,0.2,0.0
001859,0.7,0.2,0.0
001861,1.2,0.2,0.0
001864,1.2,0.2,
001869,1.2,0.2,0.0
001874,1.2,0.2,
001875,1.2,0.2,0.0
001877,1.2,0.2,0.0
001878,1.2,0.2,
001880,1.2,0.2,0.0
001892,1.2,0.2,0.0
001897,1.2,0.2,0.0
001898,1.2,0.2,
001900,1.2,0.2,0.0
001901,0.6,0.1,0.0
001905,0.4,0.12,0.0
001907,1.2,0.2,0.0
001910,1.2,0.2,
001914,0.3,0.1,0.0
001915,1.2,0.2,0.0
001917,1.2,0.2,0.0
001922,0.4,0.1,0.0
001924,1.2,0.2,
001927,1.2,0.2,0.0
001932,0.8,0.25,
001933,1.2,0.2,
001938,1.2,0.2,0.0
001939,0.6,0.15,0.0
001940,1.2,0.2,
001942,0.6,0.1,0.0
001947,0.8,0.25,0.0
001948,0.7,0.2,0.0
001951,1.2,0.2,
001955,1.2,0.2,0.0
001956,1.2,0.2,0.0
001959,1.2,0.2,0.0
001975,1.2,0.2,
001978,0.5,0.1,0.0
001980,1.2,0.2,0.0
001983,1.2,0.2,
001985,1.2,0.2,0.0
001986,1.2,0.2,0.0
001990,1.2,0.2,0.0
002000,0.5,0.1,
002001,1.2,0.2,
002003,0.6,0.1,0.0
002005,0.3,0.1,
002006,0.9,0.1,
002009,0.6,0.15,0.0
002011,1.2,0.2,
002015,0.6,0.1,0.0
002018,0.6,0.1,0.0
002020,1.2,0.2,
002021,1.2,0.2,
002023,0.8,0.15,0.0
002025,0.6,0.15,0.0
002027,0.6,0.2,0.0
002030,0.65,0.15,0.1
002031,1.2,0.2,
002046,0.6,0.1,0.1
002048,0.6,0.18,
002049,0.6,0.2,
002054,0.6,0.1,0.0
002057,0.6,0.1,0.0
002064,1.2,0.2,0.0
002067,0.6,0.2,0.0
002083,1.2,0.2,0.0
002085,1.2,0.2,0.0
002087,0.6,0.15,0.0
002095,0.5,0.15,0.0
002103,1.2,0.2,
002109,0.3,0.1,
002124,1.2,0.2,0.0
002125,1.2,0.2,0.0
002132,1.0,0.2,0.0
002133,1.0,0.2,
002134,0.6,0.15,0.0
002135,0.6,0.1,0.0
002137,1.2,0.2,0.0
002142,1.2,0.2,0.0
002145,1.2,0.2,
002146,1.2,0.2,0.0
002148,0.6,0.2,
002149,0.6,0.15,
002152,1.2,0.2,0.0
002155,0.7,0.2,0.0
002156,0.6,0.2,0.0
002159,1.2,0.2,0.0
002160,1.2,0.2,
002161,0.6,0.2,0.0
002168,1.2,0.2,
002174,1.2,0.2,
002177,0.6,0.1,0.1
002189,1.2,0.2,
002190,1.2,0.2,0.0
002194,0.7,0.2,
002197,0.4,0.1,0.0
002222,0.6,0.2,0.0
002224,1.0,0.2,
002227,0.6,0.15,0.0
002229,1.2,0.2,
002231,0.6,0.1,
002244,1.2,0.2,
002249,1.2,0.2,
002251,1.2,0.2,0.0
002252,1.2,0.2,0.0
002256,1.2,0.2,0.0
002258,1.2,0.2,0.0
002259,1.2,0.2,
002261,0.6,0.1,0.0
002263,1.5,0.25,0.0
002264,1.2,0.2,0.0
002270,1.2,0.2,0.0
002271,1.2,0.2,0.0
002272,1.2,0.2,0.0
002273,0.7,0.17,0.3
002292,1.2,0.2,0.0
