t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2006-03-31,dev,ret_12m,full,14,-0.2571428571428571,705,2006-03-15
2006-03-31,dev,ret_12m,under12,0,,705,2006-03-15
2006-03-31,dev,sharpe_12m,all,78,-0.019815627410564116,705,2006-03-15
2006-03-31,dev,sharpe_12m,short,64,0.0467032967032967,705,2006-03-15
2006-03-31,dev,sharpe_12m,full,14,-0.24395604395604395,705,2006-03-15
2006-03-31,dev,sharpe_12m,under12,0,,705,2006-03-15
2006-04-28,dev,ret_12m,all,80,0.06455696202531645,772,2006-04-14
2006-04-28,dev,ret_12m,short,60,0.061294804112253416,772,2006-04-14
2006-04-28,dev,ret_12m,full,20,-0.012030075187969924,772,2006-04-14
2006-04-28,dev,ret_12m,under12,0,,772,2006-04-14
2006-04-28,dev,sharpe_12m,all,81,-0.2052393857271906,772,2006-04-14
2006-04-28,dev,sharpe_12m,short,61,-0.18408249603384452,772,2006-04-14
2006-04-28,dev,sharpe_12m,full,20,-0.41353383458646614,772,2006-04-14
2006-04-28,dev,sharpe_12m,under12,0,,772,2006-04-14
2006-05-31,dev,ret_12m,all,82,0.23938572719060522,839,2006-05-15
2006-05-31,dev,ret_12m,short,62,0.236886504998615,839,2006-05-15
2006-05-31,dev,ret_12m,full,20,0.2827067669172932,839,2006-05-15
2006-05-31,dev,ret_12m,under12,0,,839,2006-05-15
2006-05-31,dev,sharpe_12m,all,82,-0.08938735973705118,839,2006-05-15
2006-05-31,dev,sharpe_12m,short,62,-0.06061292840774597,839,2006-05-15
2006-05-31,dev,sharpe_12m,full,20,-0.2646616541353383,839,2006-05-15
2006-05-31,dev,sharpe_12m,under12,0,,839,2006-05-15
2006-06-30,dev,ret_12m,all,82,0.255319380503042,906,2006-06-14
2006-06-30,dev,ret_12m,short,62,0.21548185641258089,906,2006-06-14
2006-06-30,dev,ret_12m,full,20,0.3293233082706767,906,2006-06-14
2006-06-30,dev,ret_12m,under12,0,,906,2006-06-14
2006-06-30,dev,sharpe_12m,all,84,-0.0035030879821808247,906,2006-06-14
2006-06-30,dev,sharpe_12m,short,64,-0.0063644688644688635,906,2006-06-14
2006-06-30,dev,sharpe_12m,full,20,-0.09172932330827067,906,2006-06-14
2006-06-30,dev,sharpe_12m,under12,0,,906,2006-06-14
2006-07-31,dev,ret_12m,all,84,0.35648476257973066,976,2006-07-14
2006-07-31,dev,ret_12m,short,60,0.35465407057515985,976,2006-07-14
2006-07-31,dev,ret_12m,full,24,0.2843478260869565,976,2006-07-14
2006-07-31,dev,ret_12m,under12,0,,976,2006-07-14
2006-07-31,dev,sharpe_12m,all,86,-0.052238313127977734,976,2006-07-14
2006-07-31,dev,sharpe_12m,short,62,-0.033567525370804055,976,2006-07-14
2006-07-31,dev,sharpe_12m,full,24,-0.040869565217391296,976,2006-07-14
2006-07-31,dev,sharpe_12m,under12,0,,976,2006-07-14
2006-08-31,dev,ret_12m,all,87,0.32457898957497994,1049,2006-08-07
2006-08-31,dev,ret_12m,short,59,0.2669783752191701,1049,2006-08-07
2006-08-31,dev,ret_12m,full,28,0.47454844006568137,1049,2006-08-07
2006-08-31,dev,ret_12m,under12,0,,1049,2006-08-07
2006-08-31,dev,sharpe_12m,all,87,-0.07676605671794123,1049,2006-08-07
2006-08-31,dev,sharpe_12m,short,59,-0.016890707188778494,1049,2006-08-07
2006-08-31,dev,sharpe_12m,full,28,-0.11330049261083742,1049,2006-08-07
2006-08-31,dev,sharpe_12m,under12,0,,1049,2006-08-07
2006-09-29,dev,ret_12m,all,89,0.29965951651344913,1124,2006-08-30
2006-09-29,dev,ret_12m,short,59,0.25417884278199887,1124,2006-08-30
2006-09-29,dev,ret_12m,full,30,0.4042269187986652,1124,2006-08-30
2006-09-29,dev,ret_12m,under12,0,,1124,2006-08-30
2006-09-29,dev,sharpe_12m,all,93,-0.06921607830264688,1124,2006-08-30
2006-09-29,dev,sharpe_12m,short,63,-0.020785330261136714,1124,2006-08-30
2006-09-29,dev,sharpe_12m,full,30,-0.07274749721913237,1124,2006-08-30
2006-09-29,dev,sharpe_12m,under12,0,,1124,2006-08-30
2006-10-31,dev,ret_12m,all,95,0.36354983202687563,1202,2006-10-09
2006-10-31,dev,ret_12m,short,62,0.2733499534134119,1202,2006-10-09
2006-10-31,dev,ret_12m,full,33,0.49598930481283426,1202,2006-10-09
2006-10-31,dev,ret_12m,under12,0,,1202,2006-10-09
2006-10-31,dev,sharpe_12m,all,97,-0.06744424573953292,1202,2006-10-09
2006-10-31,dev,sharpe_12m,short,64,0.004258241758241758,1202,2006-10-09
2006-10-31,dev,sharpe_12m,full,33,-0.15073529411764705,1202,2006-10-09
2006-10-31,dev,sharpe_12m,under12,0,,1202,2006-10-09
2006-11-30,dev,ret_12m,all,98,0.3795943869581571,1283,2006-11-06
2006-11-30,dev,ret_12m,short,65,0.3319493006993007,1283,2006-11-06
2006-11-30,dev,ret_12m,full,33,0.4448529411764706,1283,2006-11-06
2006-11-30,dev,ret_12m,under12,0,,1283,2006-11-06
2006-11-30,dev,sharpe_12m,all,101,-0.07076295864880605,1283,2006-11-06
2006-11-30,dev,sharpe_12m,short,68,0.014467305416650759,1283,2006-11-06
2006-11-30,dev,sharpe_12m,full,33,-0.19552139037433156,1283,2006-11-06
2006-11-30,dev,sharpe_12m,under12,0,,1283,2006-11-06
2006-12-29,dev,ret_12m,all,101,0.2557018054746651,1365,2006-11-30
2006-12-29,dev,ret_12m,short,65,0.2117132867132867,1365,2006-11-30
2006-12-29,dev,ret_12m,full,36,0.24993564993564996,1365,2006-11-30
2006-12-29,dev,ret_12m,under12,0,,1365,2006-11-30
2006-12-29,dev,sharpe_12m,all,106,-0.052573242310502054,1365,2006-11-30
2006-12-29,dev,sharpe_12m,short,70,0.0706324905957484,1365,2006-11-30
2006-12-29,dev,sharpe_12m,full,36,-0.19819819819819823,1365,2006-11-30
2006-12-29,dev,sharpe_12m,under12,0,,1365,2006-11-30
2007-01-31,dev,ret_12m,all,106,0.38543466760712397,1449,2007-01-04
2007-01-31,dev,ret_12m,short,70,0.34812352375120287,1449,2007-01-04
2007-01-31,dev,ret_12m,full,36,0.32767052767052773,1449,2007-01-04
2007-01-31,dev,ret_12m,under12,0,,1449,2007-01-04
2007-01-31,dev,sharpe_12m,all,108,0.031895738660721935,1449,2007-01-04
2007-01-31,dev,sharpe_12m,short,72,0.15959225673676763,1449,2007-01-04
2007-01-31,dev,sharpe_12m,full,36,-0.2102960102960103,1449,2007-01-04
2007-01-31,dev,sharpe_12m,under12,0,,1449,2007-01-04
2007-02-28,dev,ret_12m,all,109,0.4425169122416829,1535,2007-02-02
2007-02-28,dev,ret_12m,short,73,0.41268665926200176,1535,2007-02-02
2007-02-28,dev,ret_12m,full,36,0.33693693693693694,1535,2007-02-02
2007-02-28,dev,ret_12m,under12,0,,1535,2007-02-02
2007-02-28,dev,sharpe_12m,all,110,-0.0006266483330703514,1535,2007-02-02
2007-02-28,dev,sharpe_12m,short,74,0.12619029988893,1535,2007-02-02
2007-02-28,dev,sharpe_12m,full,36,-0.31943371943371945,1535,2007-02-02
2007-02-28,dev,sharpe_12m,under12,0,,1535,2007-02-02
2007-03-30,dev,ret_12m,all,110,0.4588283028650001,1622,2007-03-14
2007-03-30,dev,ret_12m,short,70,0.3912693552620068,1622,2007-03-14
2007-03-30,dev,ret_12m,full,40,0.37560975609756103,1622,2007-03-14
2007-03-30,dev,ret_12m,under12,0,,1622,2007-03-14
2007-03-30,dev,sharpe_12m,all,111,-0.05183397683397683,1622,2007-03-14
2007-03-30,dev,sharpe_12m,short,71,0.12961099932930917,1622,2007-03-14
2007-03-30,dev,sharpe_12m,full,40,-0.37242026266416517,1622,2007-03-14
2007-03-30,dev,sharpe_12m,under12,0,,1622,2007-03-14
2007-04-30,dev,ret_12m,all,112,0.3346687395359962,1715,2007-04-12
