t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2010-03-31,dev,ok,2763,83,2003-01-29,2010-03-11,91,91
2010-04-30,dev,ok,2848,85,2003-01-29,2010-04-13,96,96
2010-05-31,dev,ok,2935,87,2003-01-29,2010-05-06,97,97
2010-06-30,dev,ok,3023,88,2003-01-29,2010-06-04,97,97
2010-07-30,dev,ok,3112,89,2003-01-29,2010-07-12,98,98
2010-08-31,dev,ok,3203,91,2003-01-29,2010-08-09,101,101
2010-09-30,dev,ok,3294,91,2003-01-29,2010-08-30,101,101
2010-10-29,dev,ok,3385,91,2003-01-29,2010-10-12,103,103
2010-11-30,dev,ok,3481,96,2003-01-29,2010-11-10,105,105
2010-12-31,dev,ok,3578,97,2003-01-29,2010-12-08,112,112
2011-01-31,dev,ok,3675,97,2003-01-29,2011-01-05,113,113
2011-02-28,dev,ok,3773,98,2003-01-29,2011-02-11,114,114
2011-03-31,dev,ok,3874,101,2003-01-29,2011-03-15,115,115
2011-04-29,dev,ok,3975,101,2003-01-29,2011-04-13,116,116
2011-05-31,dev,ok,4078,103,2003-01-29,2011-05-06,117,117
2011-06-30,dev,ok,4183,105,2003-01-29,2011-06-08,120,120
2011-07-29,dev,ok,4295,112,2003-01-29,2011-07-11,124,124
2011-08-31,dev,ok,4408,113,2003-01-29,2011-08-08,124,124
2011-09-30,dev,ok,4522,114,2003-01-29,2011-08-29,126,126
2011-10-31,dev,ok,4637,115,2003-01-29,2011-09-30,126,126
2011-11-30,dev,ok,4753,116,2003-01-29,2011-11-03,126,126
2011-12-30,dev,ok,4870,117,2003-01-29,2011-12-02,127,127
2012-01-31,dev,ok,4990,120,2003-01-29,2012-01-04,129,129
2012-02-29,dev,ok,5114,124,2003-01-29,2012-02-09,134,134
2012-03-30,dev,ok,5238,124,2003-01-29,2012-03-13,135,135
2012-04-27,dev,ok,5364,126,2003-01-29,2012-04-16,138,138
2012-05-31,dev,ok,5490,126,2003-01-29,2012-05-10,140,140
2012-06-29,dev,ok,5616,126,2003-01-29,2012-06-11,145,145
2012-07-31,dev,ok,5743,127,2003-01-29,2012-07-12,147,147
2012-08-31,dev,ok,5872,129,2003-01-29,2012-08-02,148,148
2012-09-28,dev,ok,6006,134,2003-01-29,2012-08-31,151,151
2012-10-31,dev,ok,6141,135,2003-01-29,2012-10-09,153,153
2012-11-30,dev,ok,6279,138,2003-01-29,2012-11-01,161,161
2012-12-31,dev,ok,6419,140,2003-01-29,2012-12-03,163,163
2013-01-31,dev,ok,6564,145,2003-01-29,2012-12-31,164,164
2013-02-28,dev,ok,6711,147,2003-01-29,2013-02-04,166,166
2013-03-29,dev,ok,6859,148,2003-01-29,2013-03-14,170,170
2013-04-26,dev,ok,7010,151,2003-01-29,2013-04-15,174,174
2013-05-31,dev,ok,7163,153,2003-01-29,2013-05-14,174,174
2013-06-28,dev,ok,7324,161,2003-01-29,2013-06-18,175,175
2013-07-31,dev,ok,7487,163,2003-01-29,2013-07-17,178,178
2013-08-30,dev,ok,7651,164,2003-01-29,2013-08-14,181,181
2013-09-30,dev,ok,7817,166,2003-01-29,2013-09-04,184,184
2013-10-31,dev,ok,7987,170,2003-01-29,2013-10-14,186,186
2013-11-29,dev,ok,8161,174,2003-01-29,2013-11-07,186,186
2013-12-31,dev,ok,8335,174,2003-01-29,2013-12-09,187,187
2014-01-30,dev,ok,8510,175,2003-01-29,2014-01-02,188,188
2014-02-28,dev,ok,8688,178,2003-01-29,2014-02-11,190,190
2014-03-31,dev,ok,8869,181,2003-01-29,2014-03-13,191,191
2014-04-30,dev,ok,9053,184,2003-01-29,2014-04-10,191,191
2014-05-30,dev,ok,9239,186,2003-01-29,2014-05-08,194,194
2014-06-30,dev,ok,9425,186,2003-01-29,2014-06-09,199,199
2014-07-31,dev,ok,9612,187,2003-01-29,2014-07-09,204,204
2014-08-29,dev,ok,9800,188,2003-01-29,2014-08-07,205,205
2014-09-30,dev,ok,9990,190,2003-01-29,2014-08-29,210,210
2014-10-31,dev,ok,10181,191,2003-01-29,2014-09-30,210,210
2014-11-28,dev,ok,10372,191,2003-01-29,2014-11-05,213,213
2014-12-31,dev,ok,10566,194,2003-01-29,2014-12-03,216,216
2015-01-30,dev,ok,10765,199,2003-01-29,2014-12-31,219,219
2015-02-27,dev,ok,10969,204,2003-01-29,2015-02-04,221,221
2015-03-31,dev,ok,11174,205,2003-01-29,2015-03-12,222,222
2015-04-30,dev,ok,11384,210,2003-01-29,2015-04-13,229,229
2015-05-29,dev,ok,11594,210,2003-01-29,2015-05-08,232,232
2015-06-30,dev,ok,11807,213,2003-01-29,2015-06-05,235,235
2015-07-31,dev,ok,12023,216,2003-01-29,2015-07-09,241,241
2015-08-31,dev,ok,12242,219,2003-01-29,2015-08-06,242,242
2015-09-30,dev,ok,12463,221,2003-01-29,2015-08-27,249,249
2015-10-30,dev,ok,12685,222,2003-01-29,2015-09-30,249,249
2015-11-30,dev,ok,12914,229,2003-01-29,2015-11-05,255,255
2015-12-31,dev,ok,13146,232,2003-01-29,2015-12-03,264,264
2016-01-29,dev,ok,13381,235,2003-01-29,2016-01-04,266,266
2016-02-29,dev,ok,13622,241,2003-01-29,2016-02-04,275,275
2016-03-31,dev,ok,13864,242,2003-01-29,2016-03-11,280,280
2016-04-29,dev,ok,14113,249,2003-01-29,2016-04-11,296,296
2016-05-31,dev,ok,14362,249,2003-01-29,2016-05-05,313,313
2016-06-30,dev,ok,14617,255,2003-01-29,2016-06-03,348,348
2016-07-29,dev,ok,14881,264,2003-01-29,2016-07-08,363,363
2016-08-31,dev,ok,15147,266,2003-01-29,2016-08-05,374,374
2016-09-30,dev,ok,15422,275,2003-01-29,2016-08-29,382,382
2016-10-31,dev,ok,15702,280,2003-01-29,2016-10-10,387,387
2016-11-30,dev,ok,15998,296,2003-01-29,2016-11-07,398,398
2016-12-30,dev,ok,16311,313,2003-01-29,2016-12-06,409,409
2017-01-26,dev,ok,16659,348,2003-01-29,2017-01-04,423,423
2017-02-28,dev,ok,17022,363,2003-01-29,2017-02-09,430,430
2017-03-31,dev,ok,17396,374,2003-01-29,2017-03-14,434,434
2017-04-28,dev,ok,17778,382,2003-01-29,2017-04-13,443,443
2017-05-31,dev,ok,18165,387,2003-01-29,2017-05-08,451,451
2017-06-30,dev,ok,18563,398,2003-01-29,2017-06-09,461,461
2017-07-31,dev,ok,18972,409,2003-01-29,2017-07-11,471,471
2017-08-31,dev,ok,19395,423,2003-01-29,2017-08-04,478,478
2017-09-29,dev,ok,19825,430,2003-01-29,2017-08-30,486,486
2017-10-31,dev,ok,20259,434,2003-01-29,2017-10-09,489,489
2017-11-30,dev,ok,20702,443,2003-01-29,2017-11-02,500,500
2017-12-29,dev,ok,21153,451,2003-01-29,2017-11-30,516,516
2018-01-31,dev,ok,21614,461,2003-01-29,2018-01-02,529,529
2018-02-28,dev,ok,22085,471,2003-01-29,2018-01-31,533,533
2018-03-30,dev,ok,22563,478,2003-01-29,2018-03-12,541,541
2018-04-27,dev,ok,23049,486,2003-01-29,2018-04-12,545,545
2018-05-31,dev,ok,23538,489,2003-01-29,2018-05-09,551,551
2018-06-29,dev,ok,24038,500,2003-01-29,2018-06-08,556,556
2018-07-31,dev,ok,24554,516,2003-01-29,2018-07-10,561,561
2018-08-31,dev,ok,25083,529,2003-01-29,2018-08-09,571,571
2018-09-28,dev,ok,25616,533,2003-01-29,2018-08-30,577,577
2018-10-31,dev,ok,26157,542,2003-01-29,2018-10-09,582,582
2018-11-30,dev,ok,26702,546,2003-01-29,2018-11-02,590,590
2018-12-28,dev,ok,27253,552,2003-01-29,2018-12-04,597,597
2019-01-31,dev,ok,27809,557,2003-01-29,2019-01-03,604,604
2019-02-28,dev,ok,28370,564,2003-01-29,2019-02-11,617,617
2019-03-29,dev,ok,28941,574,2003-01-29,2019-03-14,628,628
2019-04-30,dev,ok,29518,581,2003-01-29,2019-04-11,639,639
2019-05-31,dev,ok,30100,586,2003-01-29,2019-05-10,644,644
2019-06-28,dev,ok,30690,594,2003-01-29,2019-06-12,651,651
2019-07-31,dev,ok,31287,601,2003-01-29,2019-07-10,655,655
2019-08-30,dev,ok,31891,608,2003-01-29,2019-08-09,660,660
2019-09-30,dev,ok,32508,621,2003-01-29,2019-08-30,664,664
2019-10-31,dev,ok,33136,632,2003-01-29,2019-10-08,671,671
2019-11-29,dev,ok,33775,642,2003-01-29,2019-11-06,676,676
2019-12-31,dev,ok,34419,647,2003-01-29,2019-12-04,679,679
2020-01-23,dev,ok,35070,654,2003-01-29,2019-12-31,682,682
2020-02-28,dev,ok,35725,658,2003-01-29,2020-02-11,691,691
2020-03-31,dev,ok,36385,663,2003-01-29,2020-03-12,698,698
2020-04-30,dev,ok,37049,667,2003-01-29,2020-04-10,707,707
2020-05-29,dev,ok,37720,674,2003-01-29,2020-05-11,716,716
2020-06-30,dev,ok,38396,679,2003-01-29,2020-06-09,725,725
2020-07-31,dev,ok,39075,682,2003-01-29,2020-07-13,735,735
2020-08-31,dev,ok,39757,685,2003-01-29,2020-08-04,738,738
2020-09-30,dev,ok,40448,694,2003-01-29,2020-09-01,747,747
2020-10-30,dev,ok,41146,701,2003-01-29,2020-10-09,749,749
2020-11-30,dev,ok,41853,710,2003-01-29,2020-11-09,753,753
2020-12-31,dev,ok,42569,717,2003-01-29,2020-12-03,765,765
2021-01-29,dev,ok,43294,726,2003-01-29,2020-12-31,780,780
2021-02-26,dev,ok,44029,736,2003-01-29,2021-02-03,789,789
2021-03-31,dev,ok,44767,739,2003-01-29,2021-03-11,801,801
2021-04-30,dev,ok,45514,748,2003-01-29,2021-04-13,820,820
2021-05-31,dev,ok,46263,750,2003-01-29,2021-05-10,842,842
2021-06-30,dev,ok,47016,754,2003-01-29,2021-06-08,859,859
2021-07-30,dev,ok,47781,766,2003-01-29,2021-07-12,872,872
2021-08-31,dev,ok,48561,781,2003-01-29,2021-08-09,887,887
2021-09-30,dev,ok,49350,789,2003-01-29,2021-08-30,906,906
2021-10-29,dev,ok,50151,801,2003-01-29,2021-10-11,916,916
2021-11-30,dev,ok,50971,820,2003-01-29,2021-11-09,933,933
2021-12-31,dev,ok,51813,842,2003-01-29,2021-12-03,958,958
2022-01-28,dev,ok,52672,859,2003-01-29,2022-01-04,980,980
2022-02-28,dev,ok,53544,872,2003-01-29,2022-02-10,1000,1000
2022-03-31,dev,ok,54431,887,2003-01-29,2022-03-14,1031,1031
2022-04-29,dev,ok,55337,906,2003-01-29,2022-04-13,1053,1053
2022-05-31,dev,ok,56253,916,2003-01-29,2022-05-10,1076,1076
2022-06-30,dev,ok,57186,933,2003-01-29,2022-06-10,1102,1102
2022-07-29,dev,ok,58144,958,2003-01-29,2022-07-13,1116,1116
2022-08-31,dev,ok,59124,980,2003-01-29,2022-08-09,1142,1142
2022-09-30,dev,ok,60124,1000,2003-01-29,2022-08-31,1165,1165
2022-10-31,dev,ok,61155,1031,2003-01-29,2022-10-11,1180,1180
2022-11-30,dev,ok,62208,1053,2003-01-29,2022-11-07,1212,1212
2022-12-30,dev,ok,63284,1076,2003-01-29,2022-12-02,1239,1239
2023-01-31,dev,ok,64386,1102,2003-01-29,2023-01-03,1255,1255
2023-02-28,dev,ok,65502,1116,2003-01-29,2023-02-08,1284,1284
2023-03-31,dev,ok,66644,1142,2003-01-29,2023-03-13,1307,1307
2023-04-28,dev,ok,67809,1165,2003-01-29,2023-04-12,1328,1328
2023-05-31,dev,ok,68989,1180,2003-01-29,2023-05-09,1336,1336
2023-06-30,dev,ok,70201,1212,2003-01-29,2023-06-08,1341,1341
2023-07-31,dev,ok,71440,1239,2003-01-29,2023-07-12,1349,1349
2023-08-31,dev,ok,72695,1255,2003-01-29,2023-08-03,1361,1361
2023-09-28,dev,ok,73979,1284,2003-01-29,2023-08-31,1372,1372
2023-10-31,dev,ok,75286,1307,2003-01-29,2023-10-11,1388,1388
2023-11-30,dev,ok,76614,1328,2003-01-29,2023-11-07,1400,1400
2023-12-29,dev,ok,77950,1336,2003-01-29,2023-12-05,1417,1417
2024-01-31,dev,ok,79291,1341,2003-01-29,2024-01-03,1425,1425
2024-02-29,dev,ok,80640,1349,2003-01-29,2024-02-01,1429,1429
2024-03-29,dev,ok,82001,1361,2003-01-29,2024-03-13,1434,1434
2024-04-30,dev,ok,83373,1372,2003-01-29,2024-04-12,1443,1443
2024-05-31,dev,ok,84761,1388,2003-01-29,2024-05-10,1456,1456
2024-06-28,dev,ok,86161,1400,2003-01-29,2024-06-12,1464,1464
2024-07-31,dev,ok,87578,1417,2003-01-29,2024-07-11,1472,1472
2024-08-30,dev,ok,89003,1425,2003-01-29,2024-08-12,1484,1484
2024-09-30,dev,ok,90432,1429,2003-01-29,2024-09-02,1489,1489
2024-10-31,dev,ok,91866,1434,2003-01-29,2024-10-10,1493,1493
2024-11-29,dev,ok,93309,1443,2003-01-29,2024-11-07,1494,1494
2024-12-31,dev,ok,94765,1456,2003-01-29,2024-12-05,1496,1496
2025-01-27,dev,ok,96229,1464,2003-01-29,2025-01-02,1496,1496
2025-02-28,dev,ok,97701,1472,2003-01-29,2025-02-12,1496,1496
2025-03-31,holdout,reserved_holdout,99185,1484,2003-01-29,2025-03-14,1497,1497
