t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2007-01-31,dev,sharpe_12m,all,38,0.13973082394135025,616,2007-01-04
2007-01-31,dev,sharpe_12m,short,22,0.5245623941276115,616,2007-01-04
2007-01-31,dev,sharpe_12m,full,16,-0.40294117647058825,616,2007-01-04
2007-01-31,dev,sharpe_12m,under12,0,,616,2007-01-04
2007-02-28,dev,ret_12m,all,38,0.36076157128788705,650,2007-02-02
2007-02-28,dev,ret_12m,short,22,0.3551665725578769,650,2007-02-02
2007-02-28,dev,ret_12m,full,16,-0.01764705882352941,650,2007-02-02
2007-02-28,dev,ret_12m,under12,0,,650,2007-02-02
2007-02-28,dev,sharpe_12m,all,39,0.10991902834008098,650,2007-02-02
2007-02-28,dev,sharpe_12m,short,23,0.3685770750988142,650,2007-02-02
2007-02-28,dev,sharpe_12m,full,16,-0.4382352941176471,650,2007-02-02
2007-02-28,dev,sharpe_12m,under12,0,,650,2007-02-02
2007-03-30,dev,ret_12m,all,39,0.34271255060728745,684,2007-03-14
2007-03-30,dev,ret_12m,short,22,0.3709768492377189,684,2007-03-14
2007-03-30,dev,ret_12m,full,17,0.14215686274509806,684,2007-03-14
2007-03-30,dev,ret_12m,under12,0,,684,2007-03-14
2007-03-30,dev,sharpe_12m,all,39,0.11801619433198382,684,2007-03-14
2007-03-30,dev,sharpe_12m,short,22,0.39582156973461324,684,2007-03-14
2007-03-30,dev,sharpe_12m,full,17,-0.21078431372549022,684,2007-03-14
2007-03-30,dev,sharpe_12m,under12,0,,684,2007-03-14
2007-04-30,dev,ret_12m,all,40,0.09606003752345216,718,2007-04-12
2007-04-30,dev,ret_12m,short,21,0.29480519480519485,718,2007-04-12
2007-04-30,dev,ret_12m,full,19,-0.04912280701754386,718,2007-04-12
2007-04-30,dev,ret_12m,under12,0,,718,2007-04-12
2007-04-30,dev,sharpe_12m,all,40,0.10938086303939965,718,2007-04-12
2007-04-30,dev,sharpe_12m,short,21,0.32987012987012987,718,2007-04-12
2007-04-30,dev,sharpe_12m,full,19,-0.1736842105263158,718,2007-04-12
2007-04-30,dev,sharpe_12m,under12,0,,718,2007-04-12
2007-05-31,dev,ret_12m,all,41,0.11463414634146342,753,2007-05-14
2007-05-31,dev,ret_12m,short,18,0.3126934984520124,753,2007-05-14
2007-05-31,dev,ret_12m,full,23,0.1324110671936759,753,2007-05-14
2007-05-31,dev,ret_12m,under12,0,,753,2007-05-14
2007-05-31,dev,sharpe_12m,all,41,0.019163763066202093,753,2007-05-14
2007-05-31,dev,sharpe_12m,short,18,0.1929824561403509,753,2007-05-14
2007-05-31,dev,sharpe_12m,full,23,-0.2440711462450593,753,2007-05-14
2007-05-31,dev,sharpe_12m,under12,0,,753,2007-05-14
2007-06-29,dev,ret_12m,all,41,0.20714285714285718,788,2007-06-13
2007-06-29,dev,ret_12m,short,17,0.5710784313725491,788,2007-06-13
2007-06-29,dev,ret_12m,full,24,-0.02260869565217391,788,2007-06-13
2007-06-29,dev,ret_12m,under12,0,,788,2007-06-13
2007-06-29,dev,sharpe_12m,all,43,-0.16007248565388102,788,2007-06-13
2007-06-29,dev,sharpe_12m,short,19,0.11929824561403508,788,2007-06-13
2007-06-29,dev,sharpe_12m,full,24,-0.35478260869565215,788,2007-06-13
2007-06-29,dev,sharpe_12m,under12,0,,788,2007-06-13
