date,nav,日增长率,nav_acc
2022-02-25,3.8266,0.0,3.8266
2022-02-28,3.8655,1.02,3.8655
2022-03-01,3.8288,-0.95,3.8288
2022-03-02,3.8208,-0.21,3.8208
2022-03-03,3.7666,-1.42,3.7666
2022-03-04,3.7095,-1.52,3.7095
2022-03-07,3.6644,-1.22,3.6644
2022-03-08,3.5919,-1.98,3.5919
2022-03-09,3.5881,-0.11,3.5881
2022-03-10,3.6799,2.56,3.6799
2022-03-11,3.6609,-0.52,3.6609
2022-03-14,3.5474,-3.1,3.5474
2022-03-15,3.5128,-0.98,3.5128
2022-03-16,3.6444,3.75,3.6444
2022-03-17,3.6992,1.5,3.6992
2022-03-18,3.6511,-1.3,3.6511
2022-03-21,3.6952,1.21,3.6952
2022-03-22,3.6867,-0.23,3.6867
2022-03-23,3.6729,-0.37,3.6729
2022-03-24,3.6641,-0.24,3.6641
2022-03-25,3.5969,-1.83,3.5969
2022-03-28,3.5675,-0.82,3.5675
2022-03-29,3.5825,0.42,3.5825
2022-03-30,3.6532,1.97,3.6532
2022-03-31,3.5445,-2.98,3.5445
2022-04-01,3.5628,0.52,3.5628
2022-04-06,3.4727,-2.53,3.4727
2022-04-07,3.4239,-1.41,3.4239
2022-04-08,3.3935,-0.89,3.3935
2022-04-11,3.2896,-3.06,3.2896
2022-04-12,3.2904,0.02,3.2904
2022-04-13,3.2343,-1.7,3.2343
2022-04-14,3.2373,0.09,3.2373
2022-04-15,3.1858,-1.59,3.1858
2022-04-18,3.195,0.29,3.195
2022-04-19,3.1704,-0.77,3.1704
2022-04-20,3.0936,-2.42,3.0936
2022-04-21,2.9763,-3.79,2.9763
2022-04-22,2.9346,-1.4,2.9346
2022-04-25,2.7828,-5.17,2.7828
2022-04-26,2.7627,-0.72,2.7627
2022-04-27,2.8815,4.3,2.8815
2022-04-28,2.8839,0.08,2.8839
2022-04-29,2.9804,3.35,2.9804
2022-05-05,3.0063,0.87,3.0063
2022-05-06,2.9638,-1.41,2.9638
2022-05-09,2.9924,0.96,2.9924
2022-05-10,3.0241,1.06,3.0241
2022-05-11,3.1021,2.58,3.1021
2022-05-12,3.1025,0.01,3.1025
2022-05-13,3.0999,-0.08,3.0999
2022-05-16,3.0881,-0.38,3.0881
2022-05-17,3.1558,2.19,3.1558
2022-05-18,3.169,0.42,3.169
2022-05-19,3.2232,1.71,3.2232
2022-05-20,3.2765,1.65,3.2765
2022-05-23,3.2421,-1.05,3.2421
2022-05-24,3.1419,-3.09,3.1419
2022-05-25,3.1614,0.62,3.1614
2022-05-26,3.164,0.08,3.164
2022-05-27,3.1662,0.07,3.1662
2022-05-30,3.2017,1.12,3.2017
2022-05-31,3.2349,1.04,3.2349
2022-06-01,3.2645,0.92,3.2645
2022-06-02,3.3201,1.7,3.3201
2022-06-06,3.4483,3.86,3.4483
2022-06-07,3.4621,0.4,3.4621
2022-06-08,3.4778,0.45,3.4778
2022-06-09,3.4229,-1.58,3.4229
2022-06-10,3.5013,2.29,3.5013
2022-06-13,3.5289,0.79,3.5289
2022-06-14,3.5064,-0.64,3.5064
2022-06-15,3.4677,-1.1,3.4677
2022-06-16,3.4971,0.85,3.4971
2022-06-17,3.5629,1.88,3.5629
2022-06-20,3.5626,-0.01,3.5626
2022-06-21,3.5152,-1.33,3.5152
2022-06-22,3.5105,-0.13,3.5105
2022-06-23,3.594,2.38,3.594
2022-06-24,3.6557,1.72,3.6557
2022-06-27,3.6629,0.2,3.6629
2022-06-28,3.7249,1.69,3.7249
2022-06-29,3.5983,-3.4,3.5983
2022-06-30,3.6367,1.07,3.6367
2022-07-01,3.6466,0.27,3.6466
2022-07-04,3.7024,1.53,3.7024
2022-07-05,3.7015,-0.02,3.7015
2022-07-06,3.6746,-0.73,3.6746
2022-07-07,3.7345,1.63,3.7345
2022-07-08,3.6647,-1.87,3.6647
2022-07-11,3.5623,-2.79,3.5623
2022-07-12,3.5337,-0.8,3.5337
2022-07-13,3.62,2.44,3.62
2022-07-14,3.6898,1.93,3.6898
2022-07-15,3.7286,1.05,3.7286
2022-07-18,3.7596,0.83,3.7596
2022-07-19,3.7212,-1.02,3.7212
2022-07-20,3.752,0.83,3.752
2022-07-21,3.6872,-1.73,3.6872
2022-07-22,3.6843,-0.08,3.6843
2022-07-25,3.585,-2.7,3.585
2022-07-26,3.6058,0.58,3.6058
2022-07-27,3.6747,1.91,3.6747
2022-07-28,3.6501,-0.67,3.6501
2022-07-29,3.711,1.67,3.711
2022-08-01,3.7727,1.66,3.7727
2022-08-02,3.7273,-1.2,3.7273
2022-08-03,3.6284,-2.65,3.6284
2022-08-04,3.614,-0.4,3.614
2022-08-05,3.6442,0.84,3.6442
2022-08-08,3.7084,1.76,3.7084
2022-08-09,3.7399,0.85,3.7399
2022-08-10,3.7692,0.78,3.7692
2022-08-11,3.7899,0.55,3.7899
2022-08-12,3.7202,-1.84,3.7202
2022-08-15,3.7953,2.02,3.7953
2022-08-16,3.884,2.34,3.884
2022-08-17,3.8885,0.12,3.8885
2022-08-18,3.9151,0.68,3.9151
2022-08-19,3.8088,-2.72,3.8088
2022-08-22,3.8037,-0.13,3.8037
2022-08-23,3.8708,1.76,3.8708
2022-08-24,3.7619,-2.81,3.7619
2022-08-25,3.7146,-1.26,3.7146
2022-08-26,3.6761,-1.04,3.6761
2022-08-29,3.7227,1.27,3.7227
2022-08-30,3.639,-2.25,3.639
2022-08-31,3.446,-5.3,3.446
2022-09-01,3.4836,1.09,3.4836
2022-09-02,3.4675,-0.46,3.4675
2022-09-05,3.5326,1.88,3.5326
2022-09-06,3.6489,3.29,3.6489
2022-09-07,3.7233,2.04,3.7233
2022-09-08,3.6609,-1.68,3.6609
2022-09-09,3.6188,-1.15,3.6188
2022-09-13,3.6103,-0.23,3.6103
2022-09-14,3.5906,-0.55,3.5906
2022-09-15,3.4202,-4.75,3.4202
2022-09-16,3.3944,-0.75,3.3944
2022-09-19,3.3775,-0.5,3.3775
2022-09-20,3.408,0.9,3.408
2022-09-21,3.3699,-1.12,3.3699
2022-09-22,3.43,1.78,3.43
2022-09-23,3.3776,-1.53,3.3776
2022-09-26,3.4251,1.41,3.4251
2022-09-27,3.4653,1.17,3.4653
2022-09-28,3.3882,-2.22,3.3882
2022-09-29,3.4221,1.0,3.4221
2022-09-30,3.3163,-3.09,3.3163
2022-10-10,3.2376,-2.37,3.2376
2022-10-11,3.296,1.8,3.296
2022-10-12,3.4545,4.81,3.4545
2022-10-13,3.4653,0.31,3.4653
2022-10-14,3.5206,1.6,3.5206
2022-10-17,3.5323,0.33,3.5323
2022-10-18,3.6107,2.22,3.6107
2022-10-19,3.6142,0.1,3.6142
2022-10-20,3.5648,-1.37,3.5648
2022-10-21,3.6254,1.7,3.6254
2022-10-24,3.627,0.04,3.627
2022-10-25,3.6013,-0.71,3.6013
2022-10-26,3.6319,0.85,3.6319
2022-10-27,3.5732,-1.62,3.5732
2022-10-28,3.4975,-2.12,3.4975
2022-10-31,3.555,1.64,3.555
2022-11-01,3.5823,0.77,3.5823
2022-11-02,3.5871,0.13,3.5871
2022-11-03,3.554,-0.92,3.554
2022-11-04,3.6171,1.78,3.6171
2022-11-07,3.5772,-1.1,3.5772
2022-11-08,3.5706,-0.18,3.5706
2022-11-09,3.5129,-1.62,3.5129
2022-11-10,3.4602,-1.5,3.4602
2022-11-11,3.4642,0.12,3.4642
2022-11-14,3.4103,-1.56,3.4103
2022-11-15,3.4619,1.51,3.4619
2022-11-16,3.4183,-1.26,3.4183
2022-11-17,3.4459,0.81,3.4459
2022-11-18,3.4176,-0.82,3.4176
2022-11-21,3.4266,0.26,3.4266
2022-11-22,3.3736,-1.55,3.3736
2022-11-23,3.4063,0.97,3.4063
2022-11-24,3.3974,-0.26,3.3974
2022-11-25,3.3124,-2.5,3.3124
2022-11-28,3.2751,-1.13,3.2751
2022-11-29,3.261,-0.43,3.261
2022-11-30,3.274,0.4,3.274
2022-12-01,3.3312,1.75,3.3312
2022-12-02,3.3144,-0.5,3.3144
2022-12-05,3.2934,-0.63,3.2934
2022-12-06,3.3139,0.62,3.3139
2022-12-07,3.2988,-0.46,3.2988
2022-12-08,3.2824,-0.5,3.2824
2022-12-09,3.2874,0.15,3.2874
2022-12-12,3.2754,-0.37,3.2754
2022-12-13,3.2197,-1.7,3.2197
2022-12-14,3.2055,-0.44,3.2055
2022-12-15,3.2327,0.85,3.2327
2022-12-16,3.1661,-2.06,3.1661
2022-12-19,3.1264,-1.25,3.1264
2022-12-20,3.0881,-1.23,3.0881
2022-12-21,3.0689,-0.62,3.0689
2022-12-22,3.0416,-0.89,3.0416
2022-12-23,3.0085,-1.09,3.0085
2022-12-26,2.637,2.83,3.0935
2022-12-27,2.6774,1.53,3.1339
2022-12-28,2.6565,-0.78,3.113
2022-12-29,2.6625,0.23,3.119
2022-12-30,2.6616,-0.03,3.1181
2022-12-31,2.6615,0.0,3.118
2023-01-03,2.723,2.31,3.1795
2023-01-04,2.6921,-1.13,3.1486
2023-01-05,2.7254,1.24,3.1819
2023-01-06,2.78,2.0,3.2365
2023-01-09,2.7797,-0.01,3.2362
2023-01-10,2.7885,0.32,3.245
2023-01-11,2.7606,-1.0,3.2171
2023-01-12,2.7709,0.37,3.2274
2023-01-13,2.7663,-0.17,3.2228
2023-01-16,2.7951,1.04,3.2516
2023-01-17,2.817,0.78,3.2735
2023-01-18,2.8172,0.01,3.2737
2023-01-19,2.8262,0.32,3.2827
2023-01-20,2.8591,1.16,3.3156
2023-01-30,2.8881,1.01,3.3446
2023-01-31,2.8547,-1.16,3.3112
2023-02-01,2.8797,0.88,3.3362
2023-02-02,2.8776,-0.07,3.3341
2023-02-03,2.8675,-0.35,3.324
2023-02-06,2.8336,-1.18,3.2901
2023-02-07,2.82,-0.48,3.2765
2023-02-08,2.8082,-0.42,3.2647
2023-02-09,2.8558,1.7,3.3123
