date,nav,日增长率,nav_acc
2022-10-28,0.8685,0.0,0.8685
2022-10-31,0.8714,0.33,0.8714
2022-11-01,0.9022,3.53,0.9022
2022-11-02,0.9336,3.48,0.9336
2022-11-03,0.9319,-0.18,0.9319
2022-11-04,0.9711,4.21,0.9711
2022-11-07,0.9699,-0.12,0.9699
2022-11-08,0.9625,-0.76,0.9625
2022-11-09,0.9526,-1.03,0.9526
2022-11-10,0.9319,-2.17,0.9319
2022-11-11,0.9343,0.26,0.9343
2022-11-14,0.9149,-2.08,0.9149
2022-11-15,0.9371,2.43,0.9371
2022-11-16,0.9229,-1.52,0.9229
2022-11-17,0.9158,-0.77,0.9158
2022-11-18,0.9051,-1.17,0.9051
2022-11-21,0.9131,0.88,0.9131
2022-11-22,0.8964,-1.83,0.8964
2022-11-23,0.9031,0.75,0.9031
2022-11-24,0.8959,-0.8,0.8959
2022-11-25,0.8747,-2.37,0.8747
2022-11-28,0.8751,0.05,0.8751
2022-11-29,0.8769,0.21,0.8769
2022-11-30,0.8854,0.97,0.8854
2022-12-01,0.9113,2.93,0.9113
2022-12-02,0.9003,-1.21,0.9003
2022-12-05,0.8939,-0.71,0.8939
2022-12-06,0.8942,0.03,0.8942
2022-12-07,0.8945,0.03,0.8945
2022-12-08,0.8914,-0.35,0.8914
2022-12-09,0.8846,-0.76,0.8846
2022-12-12,0.887,0.27,0.887
2022-12-13,0.8679,-2.15,0.8679
2022-12-14,0.8667,-0.14,0.8667
2022-12-15,0.8864,2.27,0.8864
2022-12-16,0.8654,-2.37,0.8654
2022-12-19,0.8646,-0.09,0.8646
2022-12-20,0.8476,-1.97,0.8476
2022-12-21,0.8378,-1.16,0.8378
2022-12-22,0.8269,-1.3,0.8269
2022-12-23,0.8215,-0.65,0.8215
2022-12-26,0.8509,3.58,0.8509
2022-12-27,0.8584,0.88,0.8584
2022-12-28,0.84,-2.14,0.84
2022-12-29,0.8439,0.46,0.8439
2022-12-30,0.8421,-0.21,0.8421
2022-12-31,0.8421,0.0,0.8421
2023-01-03,0.8663,2.87,0.8663
2023-01-04,0.8567,-1.11,0.8567
2023-01-05,0.8808,2.81,0.8808
2023-01-06,0.8921,1.28,0.8921
2023-01-09,0.8906,-0.17,0.8906
2023-01-10,0.8985,0.89,0.8985
2023-01-11,0.8823,-1.8,0.8823
2023-01-12,0.8895,0.82,0.8895
2023-01-13,0.8843,-0.58,0.8843
2023-01-16,0.8937,1.06,0.8937
2023-01-17,0.894,0.03,0.894
2023-01-18,0.9015,0.84,0.9015
2023-01-19,0.9133,1.31,0.9133
2023-01-20,0.9247,1.25,0.9247
2023-01-30,0.9455,2.25,0.9455
2023-01-31,0.9379,-0.8,0.9379
2023-02-01,0.9621,2.58,0.9621
2023-02-02,0.9568,-0.55,0.9568
2023-02-03,0.9636,0.71,0.9636
2023-02-06,0.9568,-0.71,0.9568
2023-02-07,0.9475,-0.97,0.9475
2023-02-08,0.9452,-0.24,0.9452
2023-02-09,0.9581,1.36,0.9581
2023-02-10,0.9396,-1.93,0.9396
2023-02-13,0.9431,0.37,0.9431
2023-02-14,0.9369,-0.66,0.9369
2023-02-15,0.9354,-0.16,0.9354
2023-02-16,0.9212,-1.52,0.9212
2023-02-17,0.9008,-2.21,0.9008
2023-02-20,0.9076,0.75,0.9076
2023-02-21,0.9124,0.53,0.9124
2023-02-22,0.9124,0.0,0.9124
2023-02-23,0.9164,0.44,0.9164
2023-02-24,0.907,-1.03,0.907
2023-02-27,0.9021,-0.54,0.9021
2023-02-28,0.9063,0.47,0.9063
2023-03-01,0.9237,1.92,0.9237
2023-03-02,0.912,-1.27,0.912
2023-03-03,0.9044,-0.83,0.9044
2023-03-06,0.9061,0.19,0.9061
2023-03-07,0.8843,-2.41,0.8843
2023-03-08,0.901,1.89,0.901
2023-03-09,0.8978,-0.36,0.8978
2023-03-10,0.8891,-0.97,0.8891
2023-03-13,0.9172,3.16,0.9172
2023-03-14,0.9235,0.69,0.9235
2023-03-15,0.9087,-1.6,0.9087
2023-03-16,0.9012,-0.83,0.9012
2023-03-17,0.9282,3.0,0.9282
2023-03-20,0.9056,-2.43,0.9056
2023-03-21,0.9099,0.47,0.9099
2023-03-22,0.915,0.56,0.915
2023-03-23,0.9294,1.57,0.9294
2023-03-24,0.9369,0.81,0.9369
2023-03-27,0.9369,0.0,0.9369
2023-03-28,0.9297,-0.77,0.9297
2023-03-29,0.9259,-0.41,0.9259
2023-03-30,0.9137,-1.32,0.9137
