date,nav,日增长率,nav_acc
2024-05-07,1.0,0.0,1.0
2024-05-10,0.9929,0.0,0.9929
2024-05-17,0.9885,0.0,0.9885
2024-05-24,0.9531,0.0,0.9531
2024-05-31,1.0014,0.0,1.0014
2024-06-07,1.0111,0.0,1.0111
2024-06-11,1.0501,3.86,1.0501
2024-06-12,1.0512,0.1,1.0512
2024-06-13,1.062,1.03,1.062
2024-06-14,1.0506,-1.07,1.0506
2024-06-17,1.0743,2.26,1.0743
2024-06-18,1.0792,0.46,1.0792
2024-06-19,1.0809,0.16,1.0809
2024-06-20,1.0794,-0.14,1.0794
2024-06-21,1.0798,0.04,1.0798
2024-06-24,1.0531,-2.47,1.0531
2024-06-25,1.0193,-3.21,1.0193
2024-06-26,1.0384,1.87,1.0384
2024-06-27,1.0234,-1.44,1.0234
2024-06-28,1.0261,0.26,1.0261
2024-06-30,1.026,-0.01,1.026
2024-07-01,1.0219,-0.4,1.0219
2024-07-02,1.0057,-1.59,1.0057
2024-07-03,1.0145,0.88,1.0145
2024-07-04,0.9951,-1.91,0.9951
2024-07-05,0.9989,0.38,0.9989
2024-07-08,0.9949,-0.4,0.9949
2024-07-09,1.0301,3.54,1.0301
2024-07-10,1.0298,-0.03,1.0298
2024-07-11,1.041,1.09,1.041
2024-07-12,1.0422,0.12,1.0422
2024-07-15,1.0466,0.42,1.0466
2024-07-16,1.0764,2.85,1.0764
2024-07-17,1.0664,-0.93,1.0664
2024-07-18,1.0655,-0.08,1.0655
2024-07-19,1.0915,2.44,1.0915
2024-07-22,1.0947,0.29,1.0947
2024-07-23,1.0426,-4.76,1.0426
2024-07-24,1.0289,-1.31,1.0289
2024-07-25,1.0212,-0.75,1.0212
2024-07-26,1.0289,0.75,1.0289
2024-07-29,1.0139,-1.46,1.0139
2024-07-30,1.0239,0.99,1.0239
2024-07-31,1.0624,3.76,1.0624
2024-08-01,1.0693,0.65,1.0693
2024-08-02,1.0431,-2.45,1.0431
2024-08-05,1.001,-4.04,1.001
2024-08-06,1.0084,0.74,1.0084
2024-08-07,0.9968,-1.15,0.9968
2024-08-08,1.0008,0.4,1.0008
2024-08-09,1.0024,0.16,1.0024
2024-08-12,0.9982,-0.42,0.9982
2024-08-13,1.0059,0.77,1.0059
2024-08-14,0.9953,-1.05,0.9953
2024-08-15,1.0002,0.49,1.0002
2024-08-16,0.9979,-0.23,0.9979
2024-08-19,0.9996,0.17,0.9996
2024-08-20,0.9866,-1.3,0.9866
2024-08-21,0.9821,-0.46,0.9821
2024-08-22,0.9691,-1.32,0.9691
2024-08-23,0.9632,-0.61,0.9632
2024-08-26,0.9628,-0.04,0.9628
2024-08-27,0.9501,-1.32,0.9501
2024-08-28,0.9508,0.07,0.9508
2024-08-29,0.9612,1.09,0.9612
2024-08-30,0.9948,3.5,0.9948
2024-09-02,0.9579,-3.71,0.9579
2024-09-03,0.9642,0.66,0.9642
2024-09-04,0.9565,-0.8,0.9565
2024-09-05,0.9562,-0.03,0.9562
2024-09-06,0.9412,-1.57,0.9412
2024-09-09,0.9358,-0.57,0.9358
2024-09-10,0.9448,0.96,0.9448
2024-09-11,0.9439,-0.1,0.9439
2024-09-12,0.9333,-1.12,0.9333
2024-09-13,0.9217,-1.24,0.9217
2024-09-18,0.9141,-0.82,0.9141
2024-09-19,0.9217,0.83,0.9217
2024-09-20,0.9178,-0.42,0.9178
2024-09-23,0.9086,-1.0,0.9086
2024-09-24,0.9432,3.81,0.9432
2024-09-25,0.9485,0.56,0.9485
2024-09-26,0.9878,4.14,0.9878
2024-09-27,1.0539,6.69,1.0539
2024-09-30,1.1844,12.38,1.1844
2024-10-08,1.3284,12.16,1.3284
2024-10-09,1.3271,-0.1,1.3271
2024-10-10,1.2788,-3.64,1.2788
2024-10-11,1.2103,-5.36,1.2103
2024-10-14,1.252,3.45,1.252
2024-10-15,1.2325,-1.56,1.2325
2024-10-16,1.2071,-2.06,1.2071
