date,nav,日增长率,nav_acc
2018-11-22,1.0,0.0,1.0
2018-11-23,1.0,0.0,1.0
2018-11-30,1.0001,0.0,1.0001
2018-12-07,1.0003,0.0,1.0003
2018-12-14,1.0005,0.0,1.0005
2018-12-21,1.0006,0.0,1.0006
2018-12-24,1.0039,0.3298,1.0039
2018-12-25,1.0047,0.0797,1.0047
2018-12-26,1.0053,0.0597,1.0053
2018-12-27,1.0058,0.0497,1.0058
2018-12-28,1.0107,0.4872,1.0107
2018-12-31,1.0118,0.0,1.0118
2019-01-02,1.0161,0.5343,1.0161
2019-01-03,1.0163,0.0197,1.0163
2019-01-04,1.0164,0.0098,1.0164
2019-01-07,1.0166,0.0197,1.0166
2019-01-08,1.0166,0.0,1.0166
2019-01-09,1.0171,0.0492,1.0171
2019-01-10,1.0162,-0.0885,1.0162
2019-01-11,1.0161,-0.0098,1.0161
2019-01-14,1.0162,0.0098,1.0162
2019-01-15,1.0164,0.0197,1.0164
2019-01-16,1.0182,0.1771,1.0182
2019-01-17,1.0174,-0.0786,1.0174
2019-01-18,1.0189,0.1474,1.0189
2019-01-21,1.0193,0.0393,1.0193
2019-01-22,1.0173,-0.1962,1.0173
2019-01-23,1.0172,-0.0098,1.0172
2019-01-24,1.018,0.0786,1.018
2019-01-25,1.0192,0.1179,1.0192
2019-01-28,1.019,-0.0196,1.019
2019-01-29,1.0189,-0.0098,1.0189
2019-01-30,1.0159,-0.2944,1.0159
2019-01-31,1.018,0.2067,1.018
2019-02-01,1.0225,0.442,1.0225
2019-02-11,1.0269,0.4303,1.0269
2019-02-12,1.0283,0.1363,1.0283
2019-02-13,1.0335,0.5057,1.0335
2019-02-14,1.0328,-0.0677,1.0328
2019-02-15,1.022,-1.0457,1.022
2019-02-18,1.0358,1.3503,1.0358
2019-02-19,1.0363,0.0483,1.0363
2019-02-20,1.0395,0.3088,1.0395
2019-02-21,1.0346,-0.4714,1.0346
2019-02-22,1.0432,0.8312,1.0432
2019-02-25,1.0788,3.4126,1.0788
2019-02-26,1.078,-0.0742,1.078
2019-02-27,1.082,0.3711,1.082
2019-02-28,1.0843,0.2126,1.0843
2019-03-01,1.0964,1.1159,1.0964
2019-03-04,1.1033,0.6293,1.1033
2019-03-05,1.1057,0.2175,1.1057
2019-03-06,1.1114,0.5155,1.1114
2019-03-07,1.1018,-0.8638,1.1018
2019-03-08,1.0694,-2.9406,1.0694
2019-03-11,1.0786,0.8603,1.0786
2019-03-12,1.0829,0.3987,1.0829
2019-03-13,1.0773,-0.5171,1.0773
2019-03-14,1.0791,0.1671,1.0791
2019-03-15,1.0835,0.4077,1.0835
2019-03-18,1.0835,0.0,1.0835
2019-03-19,1.0835,0.0,1.0835
2019-03-20,1.0835,0.0,1.0835
2019-03-21,1.0835,0.0,1.0835
2019-03-22,1.0835,0.0,1.0835
2019-03-25,1.0836,0.0092,1.0836
2019-03-26,1.0837,0.0092,1.0837
2019-03-27,1.0837,0.0,1.0837
2019-03-28,1.0837,0.0,1.0837
2019-03-29,1.0837,0.0,1.0837
2019-04-01,1.0838,0.0092,1.0838
2019-04-02,1.0855,0.1569,1.0855
2019-04-03,1.0884,0.2672,1.0884
2019-04-04,1.0888,0.0368,1.0888
2019-04-08,1.0891,0.0276,1.0891
2019-04-09,1.0891,0.0,1.0891
2019-04-10,1.0892,0.0092,1.0892
2019-04-11,1.0892,0.0,1.0892
2019-04-12,1.0892,0.0,1.0892
2019-04-15,1.0891,-0.0092,1.0891
2019-04-16,1.0891,0.0,1.0891
2019-04-17,1.0891,0.0,1.0891
2019-04-18,1.0909,0.1653,1.0909
2019-04-19,1.091,0.0092,1.091
2019-04-22,1.0999,0.8158,1.0999
2019-04-23,1.1012,0.1182,1.1012
2019-04-24,1.1012,0.0,1.1012
2019-04-25,1.1012,0.0,1.1012
2019-04-26,1.1012,0.0,1.1012
2019-04-29,1.1012,0.0,1.1012
2019-04-30,1.1012,0.0,1.1012
2019-05-06,1.1013,0.0091,1.1013
2019-05-07,1.1012,-0.0091,1.1012
2019-05-08,1.1012,0.0,1.1012
2019-05-09,1.1013,0.0091,1.1013
2019-05-10,1.1014,0.0091,1.1014
2019-05-13,1.1015,0.0091,1.1015
2019-05-14,1.1015,0.0,1.1015
2019-05-15,1.1015,0.0,1.1015
2019-05-16,1.1015,0.0,1.1015
2019-05-17,1.0992,-0.2088,1.0992
2019-05-20,1.0997,0.0455,1.0997
2019-05-21,1.1174,1.6095,1.1174
2019-05-22,1.1136,-0.3401,1.1136
2019-05-23,1.0948,-1.6882,1.0948
2019-05-24,1.0952,0.0365,1.0952
2019-05-27,1.1095,1.3057,1.1095
2019-05-28,1.1186,0.8202,1.1186
2019-05-29,1.1152,-0.304,1.1152
2019-05-30,1.1066,-0.7712,1.1066
2019-05-31,1.1047,-0.1717,1.1047
2019-06-03,1.1042,-0.0453,1.1042
2019-06-04,1.0937,-0.9509,1.0937
2019-06-05,1.0943,0.0549,1.0943
