date,nav,日增长率,nav_acc
2024-05-16,1.251,0.0,1.251
2024-05-17,1.263,0.96,1.263
2024-05-20,1.286,1.82,1.286
2024-05-21,1.275,-0.86,1.275
2024-05-22,1.274,-0.08,1.274
2024-05-23,1.264,-0.78,1.264
2024-05-24,1.228,-2.85,1.228
2024-05-27,1.246,1.47,1.246
2024-05-28,1.225,-1.69,1.225
2024-05-29,1.227,0.16,1.227
2024-05-30,1.225,-0.16,1.225
2024-05-31,1.221,-0.33,1.221
2024-06-03,1.261,3.28,1.261
2024-06-04,1.267,0.48,1.267
2024-06-05,1.256,-0.87,1.256
2024-06-06,1.271,1.19,1.271
2024-06-07,1.236,-2.75,1.236
2024-06-11,1.246,0.81,1.246
2024-06-12,1.258,0.96,1.258
2024-06-13,1.284,2.07,1.284
2024-06-14,1.335,3.97,1.335
2024-06-17,1.363,2.1,1.363
2024-06-18,1.389,1.91,1.389
2024-06-19,1.378,-0.79,1.378
2024-06-20,1.366,-0.87,1.366
2024-06-21,1.361,-0.37,1.361
2024-06-24,1.337,-1.76,1.337
2024-06-25,1.297,-2.99,1.297
2024-06-26,1.325,2.16,1.325
2024-06-27,1.302,-1.74,1.302
2024-06-28,1.315,1.0,1.315
2024-06-30,1.315,0.0,1.315
2024-07-01,1.335,1.52,1.335
2024-07-02,1.322,-0.97,1.322
2024-07-03,1.313,-0.68,1.313
2024-07-04,1.312,-0.08,1.312
2024-07-05,1.309,-0.23,1.309
2024-07-08,1.311,0.15,1.311
2024-07-09,1.376,4.96,1.376
2024-07-10,1.391,1.09,1.391
2024-07-11,1.384,-0.5,1.384
2024-07-12,1.366,-1.3,1.366
2024-07-15,1.359,-0.51,1.359
2024-07-16,1.392,2.43,1.392
2024-07-17,1.35,-3.02,1.35
2024-07-18,1.35,0.0,1.35
2024-07-19,1.331,-1.41,1.331
2024-07-22,1.334,0.23,1.334
2024-07-23,1.299,-2.62,1.299
2024-07-24,1.29,-0.69,1.29
2024-07-25,1.244,-3.57,1.244
