date,nav,日增长率,nav_acc
2014-10-22,1.0,0.0,1.0
2014-10-24,1.0,0.0,1.0
2014-10-31,1.002,0.0,1.002
2014-11-07,1.001,0.0,1.001
2014-11-14,0.999,0.0,0.999
2014-11-19,0.999,0.0,0.999
2014-11-20,1.002,0.3003,1.002
2014-11-21,1.005,0.2994,1.005
2014-11-24,1.008,0.2985,1.008
2014-11-25,1.011,0.2976,1.011
2014-11-26,1.015,0.3956,1.015
2014-11-27,1.019,0.3941,1.019
2014-11-28,1.016,-0.2944,1.016
2014-12-01,1.005,-1.0827,1.005
2014-12-02,1.016,1.0945,1.016
2014-12-03,1.013,-0.2953,1.013
2014-12-04,1.028,1.4808,1.028
2014-12-05,1.021,-0.6809,1.021
2014-12-08,1.034,1.2733,1.034
2014-12-09,0.977,-5.5126,0.977
2014-12-10,1.004,2.7636,1.004
2014-12-11,1.015,1.0956,1.015
2014-12-12,1.024,0.8867,1.024
2014-12-15,1.04,1.5625,1.04
2014-12-16,1.04,0.0,1.04
2014-12-17,1.022,-1.7308,1.022
2014-12-18,1.029,0.6849,1.029
2014-12-19,1.01,-1.8465,1.01
2014-12-22,0.955,-5.4455,0.955
2014-12-23,0.937,-1.8848,0.937
2014-12-24,0.955,1.921,0.955
2014-12-25,0.97,1.5707,0.97
2014-12-26,0.981,1.134,0.981
2014-12-29,0.958,-2.3445,0.958
2014-12-30,0.939,-1.9833,0.939
2014-12-31,0.95,1.1715,0.95
2015-01-05,0.941,-0.9474,0.941
2015-01-06,0.958,1.8066,0.958
2015-01-07,0.96,0.2088,0.96
2015-01-08,0.959,-0.1042,0.959
2015-01-09,0.955,-0.4171,0.955
2015-01-12,0.955,0.0,0.955
2015-01-13,0.979,2.5131,0.979
2015-01-14,0.974,-0.5107,0.974
2015-01-15,0.982,0.8214,0.982
2015-01-16,0.992,1.0183,0.992
2015-01-19,0.965,-2.7218,0.965
2015-01-20,1.012,4.8705,1.012
2015-01-21,1.029,1.6798,1.029
2015-01-22,1.033,0.3887,1.033
2015-01-23,1.018,-1.4521,1.018
2015-01-26,1.038,1.9646,1.038
2015-01-27,1.039,0.0963,1.039
2015-01-28,1.029,-0.9625,1.029
2015-01-29,1.028,-0.0972,1.028
2015-01-30,1.011,-1.6537,1.011
2015-02-02,1.007,-0.3956,1.007
2015-02-03,1.023,1.5889,1.023
2015-02-04,1.038,1.4663,1.038
2015-02-05,1.026,-1.1561,1.026
2015-02-06,0.999,-2.6316,0.999
2015-02-09,0.993,-0.6006,0.993
2015-02-10,1.007,1.4099,1.007
2015-02-11,1.027,1.9861,1.027
2015-02-12,1.042,1.4606,1.042
2015-02-13,1.056,1.3436,1.056
2015-02-16,1.081,2.3674,1.081
2015-02-17,1.082,0.0925,1.082
2015-02-25,1.071,-1.0166,1.071
2015-02-26,1.074,0.2801,1.074
2015-02-27,1.088,1.3035,1.088
2015-03-02,1.129,3.7684,1.129
2015-03-03,1.118,-0.9743,1.118
2015-03-04,1.142,2.1467,1.142
2015-03-05,1.143,0.0876,1.143
2015-03-06,1.112,-2.7122,1.112
2015-03-09,1.138,2.3381,1.138
2015-03-10,1.157,1.6696,1.157
2015-03-11,1.152,-0.4322,1.152
2015-03-12,1.144,-0.6944,1.144
2015-03-13,1.17,2.2727,1.17
2015-03-16,1.199,2.4786,1.199
2015-03-17,1.207,0.6672,1.207
2015-03-18,1.224,1.4085,1.224
2015-03-19,1.236,0.9804,1.236
2015-03-20,1.249,1.0518,1.249
2015-03-23,1.281,2.562,1.281
2015-03-24,1.276,-0.3903,1.276
2015-03-25,1.292,1.2539,1.292
2015-03-26,1.272,-1.548,1.272
2015-03-27,1.297,1.9654,1.297
2015-03-30,1.292,-0.3855,1.292
2015-03-31,1.305,1.0062,1.305
2015-04-01,1.353,3.6782,1.353
2015-04-02,1.401,3.5477,1.401
2015-04-03,1.426,1.7844,1.426
2015-04-07,1.446,1.4025,1.446
2015-04-08,1.426,-1.3831,1.426
2015-04-09,1.425,-0.0701,1.425
2015-04-10,1.454,2.0351,1.454
2015-04-13,1.472,1.238,1.472
2015-04-14,1.468,-0.2717,1.468
2015-04-15,1.408,-4.0872,1.408
2015-04-16,1.427,1.3494,1.427
2015-04-17,1.439,0.8409,1.439
2015-04-20,1.433,-0.417,1.433
2015-04-21,1.492,4.1172,1.492
2015-04-22,1.525,2.2118,1.525
2015-04-23,1.527,0.1311,1.527
2015-04-24,1.532,0.3274,1.532
2015-04-27,1.548,1.0444,1.548
2015-04-28,1.509,-2.5194,1.509
2015-04-29,1.551,2.7833,1.551
2015-04-30,1.59,2.5145,1.59
2015-05-04,1.601,0.6918,1.601
2015-05-05,1.57,-1.9363,1.57
2015-05-06,1.575,0.3185,1.575
2015-05-07,1.539,-2.2857,1.539
2015-05-08,1.603,4.1585,1.603
2015-05-11,1.681,4.8659,1.681
2015-05-12,1.735,3.2124,1.735
2015-05-13,1.732,-0.1729,1.732
2015-05-14,1.738,0.3464,1.738
2015-05-15,1.745,0.4028,1.745
2015-05-18,1.797,2.9799,1.797
2015-05-19,1.85,2.9494,1.85
2015-05-20,1.911,3.2973,1.911
2015-05-21,1.967,2.9304,1.967
2015-05-22,1.978,0.5592,1.978
2015-05-25,2.011,1.6684,2.011
2015-05-26,2.128,5.818,2.128
2015-05-27,2.2,3.3835,2.2
2015-05-28,2.082,-5.3636,2.082
2015-05-29,2.107,1.2008,2.107
2015-06-01,2.204,4.6037,2.204
2015-06-02,2.332,5.8076,2.332
2015-06-03,2.36,1.2007,2.36
2015-06-04,2.359,-0.0424,2.359
2015-06-05,2.349,-0.4239,2.349
2015-06-08,2.255,-4.0017,2.255
2015-06-09,2.234,-0.9313,2.234
2015-06-10,2.282,2.1486,2.282
2015-06-11,2.29,0.3506,2.29
2015-06-12,2.323,1.441,2.323
2015-06-15,2.263,-2.5829,2.263
2015-06-16,2.121,-6.2749,2.121
2015-06-17,2.159,1.7916,2.159
2015-06-18,2.053,-4.9097,2.053
2015-06-19,1.91,-6.9654,1.91
2015-06-23,1.898,-0.6283,1.898
2015-06-24,1.912,0.7376,1.912
2015-06-25,1.816,-5.0209,1.816
2015-06-26,1.65,-9.141,1.65
2015-06-29,1.508,-8.6061,1.508
2015-06-30,1.572,4.244,1.572
2015-07-01,1.468,-6.6158,1.468
2015-07-02,1.345,-8.3787,1.345
2015-07-03,1.253,-6.8401,1.253
2015-07-06,1.183,-5.5866,1.183
2015-07-07,1.097,-7.2697,1.097
2015-07-08,1.043,-4.9225,1.043
2015-07-09,1.096,5.0815,1.096
2015-07-10,1.157,5.5657,1.157
2015-07-13,1.238,7.0009,1.238
2015-07-14,1.251,1.0501,1.251
2015-07-15,1.199,-4.1567,1.199
2015-07-16,1.209,0.834,1.209
2015-07-17,1.28,5.8726,1.28
2015-07-20,1.317,2.8906,1.317
2015-07-21,1.34,1.7464,1.34
