date,nav,日增长率,nav_acc
2022-11-25,1.5618,0.0,1.5618
2022-11-28,1.5646,0.18,1.5646
2022-11-29,1.5891,1.57,1.5891
2022-11-30,1.5827,-0.4,1.5827
2022-12-01,1.6066,1.51,1.6066
2022-12-02,1.5957,-0.68,1.5957
2022-12-05,1.596,0.02,1.596
2022-12-06,1.6021,0.38,1.6021
2022-12-07,1.5941,-0.5,1.5941
2022-12-08,1.5824,-0.73,1.5824
2022-12-09,1.5909,0.54,1.5909
2022-12-12,1.5909,0.0,1.5909
2022-12-13,1.5825,-0.53,1.5825
2022-12-14,1.5881,0.35,1.5881
2022-12-15,1.5839,-0.26,1.5839
2022-12-16,1.5794,-0.28,1.5794
2022-12-19,1.5593,-1.27,1.5593
2022-12-20,1.5202,-2.51,1.5202
2022-12-21,1.5216,0.09,1.5216
2022-12-22,1.5241,0.16,1.5241
2022-12-23,1.5284,0.28,1.5284
2022-12-26,1.5379,0.62,1.5379
2022-12-27,1.5512,0.86,1.5512
2022-12-28,1.5433,-0.51,1.5433
2022-12-29,1.5414,-0.12,1.5414
2022-12-30,1.5461,0.3,1.5461
2022-12-31,1.546,-0.01,1.546
2023-01-03,1.55,0.25,1.55
2023-01-04,1.5476,-0.15,1.5476
2023-01-05,1.5799,2.09,1.5799
2023-01-06,1.5722,-0.49,1.5722
2023-01-09,1.5793,0.45,1.5793
2023-01-10,1.5824,0.2,1.5824
2023-01-11,1.5601,-1.41,1.5601
2023-01-12,1.5584,-0.11,1.5584
2023-01-13,1.5793,1.34,1.5793
2023-01-16,1.6087,1.86,1.6087
2023-01-17,1.6061,-0.16,1.6061
2023-01-18,1.6093,0.2,1.6093
2023-01-19,1.6303,1.3,1.6303
2023-01-20,1.6323,0.12,1.6323
2023-01-30,1.6351,0.17,1.6351
2023-01-31,1.5977,-2.29,1.5977
2023-02-01,1.615,1.08,1.615
2023-02-02,1.6221,0.44,1.6221
2023-02-03,1.6339,0.73,1.6339
2023-02-06,1.6209,-0.8,1.6209
2023-02-07,1.5964,-1.51,1.5964
2023-02-08,1.5882,-0.51,1.5882
2023-02-09,1.6148,1.67,1.6148
2023-02-10,1.6026,-0.76,1.6026
2023-02-13,1.628,1.58,1.628
2023-02-14,1.6205,-0.46,1.6205
2023-02-15,1.6223,0.11,1.6223
2023-02-16,1.6226,0.02,1.6226
2023-02-17,1.6012,-1.32,1.6012
2023-02-20,1.6222,1.31,1.6222
2023-02-21,1.6111,-0.68,1.6111
2023-02-22,1.6112,0.01,1.6112
2023-02-23,1.5909,-1.26,1.5909
2023-02-24,1.5817,-0.58,1.5817
2023-02-27,1.5906,0.56,1.5906
2023-02-28,1.5989,0.52,1.5989
2023-03-01,1.6259,1.69,1.6259
2023-03-02,1.6251,-0.05,1.6251
2023-03-03,1.6083,-1.03,1.6083
2023-03-06,1.6184,0.63,1.6184
2023-03-07,1.5859,-2.01,1.5859
2023-03-08,1.5986,0.8,1.5986
2023-03-09,1.6005,0.12,1.6005
2023-03-10,1.5915,-0.56,1.5915
2023-03-13,1.649,3.61,1.649
2023-03-14,1.6472,-0.11,1.6472
2023-03-15,1.6225,-1.5,1.6225
2023-03-16,1.6158,-0.41,1.6158
2023-03-17,1.6404,1.52,1.6404
2023-03-20,1.6064,-2.07,1.6064
2023-03-21,1.6173,0.68,1.6173
2023-03-22,1.6338,1.02,1.6338
2023-03-23,1.6637,1.83,1.6637
2023-03-24,1.6697,0.36,1.6697
2023-03-27,1.6686,-0.07,1.6686
2023-03-28,1.6562,-0.74,1.6562
2023-03-29,1.6639,0.46,1.6639
2023-03-30,1.6486,-0.92,1.6486
2023-03-31,1.6938,2.74,1.6938
2023-04-03,1.7393,2.69,1.7393
2023-04-04,1.7567,1.0,1.7567
2023-04-06,1.7511,-0.32,1.7511
2023-04-07,1.7849,1.93,1.7849
2023-04-10,1.7184,-3.73,1.7184
2023-04-11,1.7202,0.1,1.7202
2023-04-12,1.7624,2.45,1.7624
2023-04-13,1.7188,-2.47,1.7188
2023-04-14,1.7174,-0.08,1.7174
2023-04-17,1.703,-0.84,1.703
2023-04-18,1.723,1.17,1.723
2023-04-19,1.7408,1.03,1.7408
2023-04-20,1.8036,3.61,1.8036
2023-04-21,1.7208,-4.59,1.7208
2023-04-24,1.7355,0.85,1.7355
2023-04-25,1.7281,-0.43,1.7281
2023-04-26,1.6726,-3.21,1.6726
2023-04-27,1.6349,-2.25,1.6349
2023-04-28,1.7121,4.72,1.7121
2023-05-04,1.7139,0.11,1.7139
2023-05-05,1.6881,-1.51,1.6881
2023-05-08,1.693,0.29,1.693
2023-05-09,1.6628,-1.78,1.6628
2023-05-10,1.6348,-1.68,1.6348
2023-05-11,1.6201,-0.9,1.6201
2023-05-12,1.6053,-0.91,1.6053
2023-05-15,1.6033,-0.12,1.6033
2023-05-16,1.5656,-2.35,1.5656
2023-05-17,1.5763,0.68,1.5763
2023-05-18,1.6418,4.16,1.6418
2023-05-19,1.6234,-1.12,1.6234
2023-05-22,1.5949,-1.76,1.5949
2023-05-23,1.5787,-1.02,1.5787
2023-05-24,1.5737,-0.32,1.5737
2023-05-25,1.5754,0.11,1.5754
2023-05-26,1.5961,1.31,1.5961
2023-05-29,1.608,0.75,1.608
2023-05-30,1.674,4.1,1.674
2023-05-31,1.693,1.14,1.693
2023-06-01,1.7222,1.72,1.7222
2023-06-02,1.7033,-1.1,1.7033
2023-06-05,1.7263,1.35,1.7263
2023-06-06,1.6805,-2.65,1.6805
2023-06-07,1.6896,0.54,1.6896
2023-06-08,1.6623,-1.62,1.6623
2023-06-09,1.7108,2.92,1.7108
2023-06-12,1.7265,0.92,1.7265
2023-06-13,1.7629,2.11,1.7629
2023-06-14,1.8065,2.47,1.8065
2023-06-15,1.7947,-0.65,1.7947
2023-06-16,1.8702,4.21,1.8702
2023-06-19,1.9363,3.53,1.9363
2023-06-20,1.9674,1.61,1.9674
2023-06-21,1.8627,-5.32,1.8627
2023-06-26,1.7815,-4.36,1.7815
2023-06-27,1.78,-0.08,1.78
2023-06-28,1.7353,-2.51,1.7353
2023-06-29,1.7618,1.53,1.7618
2023-06-30,1.7657,0.22,1.7657
2023-07-03,1.7347,-1.76,1.7347
2023-07-04,1.7449,0.59,1.7449
2023-07-05,1.7047,-2.3,1.7047
2023-07-06,1.7159,0.66,1.7159
2023-07-07,1.7077,-0.48,1.7077
2023-07-10,1.6905,-1.01,1.6905
2023-07-11,1.7038,0.79,1.7038
2023-07-12,1.6464,-3.37,1.6464
2023-07-13,1.6898,2.64,1.6898
2023-07-14,1.7203,1.8,1.7203
2023-07-17,1.7148,-0.32,1.7148
2023-07-18,1.6887,-1.52,1.6887
2023-07-19,1.6889,0.01,1.6889
2023-07-20,1.611,-4.61,1.611
2023-07-21,1.5987,-0.76,1.5987
2023-07-24,1.6038,0.32,1.6038
2023-07-25,1.6257,1.37,1.6257
2023-07-26,1.59,-2.2,1.59
2023-07-27,1.5738,-1.02,1.5738
2023-07-28,1.5765,0.17,1.5765
2023-07-31,1.5835,0.44,1.5835
2023-08-01,1.5995,1.01,1.5995
2023-08-02,1.5982,-0.08,1.5982
2023-08-03,1.5902,-0.5,1.5902
2023-08-04,1.6312,2.58,1.6312
2023-08-07,1.6372,0.37,1.6372
2023-08-08,1.6168,-1.25,1.6168
2023-08-09,1.5704,-2.87,1.5704
2023-08-10,1.5611,-0.59,1.5611
2023-08-11,1.5388,-1.43,1.5388
2023-08-14,1.55,0.73,1.55
2023-08-15,1.534,-1.03,1.534
2023-08-16,1.504,-1.96,1.504
2023-08-17,1.517,0.86,1.517
2023-08-18,1.4734,-2.87,1.4734
2023-08-21,1.4717,-0.12,1.4717
2023-08-22,1.5116,2.71,1.5116
2023-08-23,1.4701,-2.75,1.4701
2023-08-24,1.4883,1.24,1.4883
2023-08-25,1.4375,-3.41,1.4375
2023-08-28,1.4571,1.36,1.4571
2023-08-29,1.4935,2.5,1.4935
2023-08-30,1.5104,1.13,1.5104
2023-08-31,1.5031,-0.48,1.5031
2023-09-01,1.4916,-0.77,1.4916
2023-09-04,1.4988,0.48,1.4988
2023-09-05,1.477,-1.45,1.477
2023-09-06,1.4708,-0.42,1.4708
2023-09-07,1.4451,-1.75,1.4451
2023-09-08,1.4374,-0.53,1.4374
2023-09-11,1.4565,1.33,1.4565
2023-09-12,1.4565,0.0,1.4565
2023-09-13,1.4335,-1.58,1.4335
2023-09-14,1.421,-0.87,1.421
2023-09-15,1.4055,-1.09,1.4055
2023-09-18,1.4026,-0.21,1.4026
2023-09-19,1.3988,-0.27,1.3988
2023-09-20,1.3975,-0.09,1.3975
2023-09-21,1.3907,-0.49,1.3907
2023-09-22,1.439,3.47,1.439
2023-09-25,1.4273,-0.81,1.4273
2023-09-26,1.4439,1.16,1.4439
2023-09-27,1.4517,0.54,1.4517
2023-09-28,1.4534,0.12,1.4534
2023-10-09,1.4475,-0.41,1.4475
2023-10-10,1.439,-0.59,1.439
2023-10-11,1.4443,0.37,1.4443
2023-10-12,1.4308,-0.93,1.4308
2023-10-13,1.4129,-1.25,1.4129
2023-10-16,1.399,-0.98,1.399
2023-10-17,1.4024,0.24,1.4024
2023-10-18,1.3814,-1.5,1.3814
2023-10-19,1.3606,-1.51,1.3606
2023-10-20,1.344,-1.22,1.344
2023-10-23,1.3347,-0.69,1.3347
2023-10-24,1.3336,-0.08,1.3336
2023-10-25,1.3243,-0.7,1.3243
2023-10-26,1.3293,0.38,1.3293
2023-10-27,1.3452,1.2,1.3452
2023-10-30,1.3751,2.22,1.3751
2023-10-31,1.3672,-0.57,1.3672
2023-11-01,1.3612,-0.44,1.3612
