date,nav,日增长率,nav_acc
2014-04-21,1.0,0.0,1.0
2014-04-25,1.0,0.0,1.0
2014-04-30,1.001,0.1,1.001
2014-05-09,1.001,0.0,1.001
2014-05-16,1.002,0.0,1.002
2014-05-22,1.002,0.0,1.002
2014-05-23,1.002,0.0,1.002
2014-05-26,1.004,0.1996,1.004
2014-05-27,1.005,0.0996,1.005
2014-05-28,1.005,0.0,1.005
2014-05-29,1.005,0.0,1.005
2014-05-30,1.006,0.0995,1.006
2014-06-03,1.003,-0.2982,1.003
2014-06-04,0.998,-0.4985,0.998
2014-06-05,1.004,0.6012,1.004
2014-06-06,1.001,-0.2988,1.001
2014-06-09,1.004,0.2997,1.004
2014-06-10,1.009,0.498,1.009
2014-06-11,1.01,0.0991,1.01
2014-06-12,1.007,-0.297,1.007
2014-06-13,1.014,0.6951,1.014
2014-06-16,1.019,0.4931,1.019
2014-06-17,1.014,-0.4907,1.014
2014-06-18,1.01,-0.3945,1.01
2014-06-19,1.006,-0.396,1.006
2014-06-20,1.01,0.3976,1.01
2014-06-23,1.012,0.198,1.012
2014-06-24,1.014,0.1976,1.014
2014-06-25,1.013,-0.0986,1.013
2014-06-26,1.015,0.1974,1.015
2014-06-27,1.014,-0.0985,1.014
2014-06-30,1.016,0.1972,1.016
2014-07-01,1.016,0.0,1.016
2014-07-02,1.018,0.1969,1.018
2014-07-03,1.022,0.3929,1.022
2014-07-04,1.024,0.1957,1.024
2014-07-07,1.023,-0.0977,1.023
2014-07-08,1.026,0.2933,1.026
2014-07-09,1.014,-1.1696,1.014
2014-07-10,1.007,-0.6903,1.007
2014-07-11,1.016,0.8937,1.016
2014-07-14,1.024,0.7874,1.024
2014-07-15,1.022,-0.1953,1.022
2014-07-16,1.018,-0.3914,1.018
2014-07-17,1.015,-0.2947,1.015
2014-07-18,1.019,0.3941,1.019
2014-07-21,1.02,0.0981,1.02
2014-07-22,1.026,0.5882,1.026
2014-07-23,1.019,-0.6823,1.019
2014-07-24,1.029,0.9814,1.029
2014-07-25,1.038,0.8746,1.038
2014-07-28,1.051,1.2524,1.051
2014-07-29,1.055,0.3806,1.055
