rank_main,fund_code,fund_name,score_main,rank_style_neutral,style_neutral_score,rank_sector_neutral,sector_neutral_score,beta_mkt,beta_size,beta_金融地产,beta_消费,beta_医药,beta_科技,beta_制造,beta_周期,age_months,age_group,coverage,as_of
1.0,002910,易方达供给改革混合,1.8292693481395395,1.0,1.6401711921902276,1.0,1.56233078596403,1.1167558232505765,0.980383069932365,0.9506177268065408,0.04316089016502733,-0.6780559884023529,0.17995061333789975,0.385807574897513,0.38908462847023867,115.7,full,1.0,2026-09-17
2.0,021179,易方达产业机遇混合A,1.7185672033970447,2.0,1.5465888045588707,2.0,1.4726566994103085,1.0643378786834616,0.8949694133535739,0.9085903503950019,0.051602427487067004,-0.6328028126698991,0.1675699950473385,0.33724488912451245,0.39319596982296795,24.6,short,1.0,2026-09-17
3.0,004320,前海开源沪港深乐享生活,1.625264793760477,5.0,1.1999316979744707,5.0,1.0308357760576916,1.9959684246783904,1.0015634784540588,0.9990053189165111,-0.415478780044069,-0.7272211961450855,-0.13102620817762034,1.36646214114798,-0.0980447769576874,112.2,full,1.0,2026-09-17
4.0,005844,东方人工智能主题混合A,1.5793919518847583,3.0,1.3015844442509608,3.0,1.1968502140289972,1.3725438492528999,1.5404653981922463,0.7721849703312311,-0.4773230127776371,-0.7690318790565466,0.06526447631651011,0.5982743317935192,0.3295646416959945,99.4,full,1.0,2026-09-17
5.0,013840,银华集成电路混合A,1.5454783037788302,4.0,1.2563470993417916,4.0,1.1323407923859734,1.4220343325915876,1.4869399107204389,0.7994064674894326,-0.4101631742547889,-0.8807019090044027,0.13809793380567292,0.6462658581230296,0.28129476113014157,57.3,full,1.0,2026-09-17
6.0,005825,申万菱信智能驱动股票A,1.3866865573169478,8.0,1.0777690419859711,8.0,0.9485609142873892,1.5153223583816968,1.3428424438044626,0.8074134066540325,-0.3320622826518618,-0.8434112084456633,0.12480751285132474,0.8845532323005466,0.2781480525100044,99.2,full,1.0,2026-09-17
7.0,011369,华商均衡成长混合A,1.3686645479535424,12.0,0.9630141129442324,12.0,0.8606448070901193,1.9239939171248936,0.9902966513070117,0.9806628395371972,-0.7731629776375943,-0.5054606349442838,-0.17251279172776135,1.12700007064422,-0.06444215935875686,65.3,full,1.0,2026-09-17
8.0,005119,银华智荟内在价值灵活配置混合发起A,1.363923021131491,7.0,1.106895573070037,7.0,0.9957300606731267,1.3220668908112685,1.3391735250888925,0.787409586361258,-0.3709073225966266,-0.7917626170542649,0.15482287918453075,0.5679285711182671,0.25950332999911935,107.6,full,1.0,2026-09-17
9.0,481015,工银主题策略混合A,1.343235108413864,10.0,1.0356364792495658,10.0,0.9070523392615191,1.5026996906006769,1.399995664999796,0.8163963523228474,-0.4273431005665782,-0.8380556565365536,0.09226475675042944,0.734320812451186,0.19855217992516777,178.8,full,1.0,2026-09-17
10.0,007490,南方信息创新混合A,1.3346401035321422,9.0,1.072336207766341,9.0,0.9416099869066048,1.3123495929082245,1.557586683443668,0.7514767775265758,-0.3769188971101147,-0.8829946480882637,0.1415863084500527,0.6201005479680377,0.36185887954851326,87.0,full,1.0,2026-09-17
11.0,001480,财通成长优选混合A,1.3200525779707117,16.0,0.8896521989511694,14.0,0.8247873194800098,2.048305283119016,0.7534707302941415,0.9936399722782392,-0.814924401431956,-0.45467910320476845,-0.20128012794157024,1.0561238782666285,-0.04032099738811851,134.6,full,1.0,2026-09-17
