rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1203,012051,申万菱信乐道三年持有期混合,-0.10569109860300785,63.2,full,1.0,2026-09-15
1204,010783,德邦沪港深龙头混合A,-0.1058019682112098,69.0,full,1.0,2026-09-15
1205,160211,国泰中小盘成长混合(LOF),-0.10611688777233841,201.7,full,1.0,2026-09-15
1206,168104,九泰锐丰灵活配置混合(LOF)A,-0.10714627467178917,120.5,full,1.0,2026-09-15
1207,018377,融通远见价值一年持有期混合A,-0.10754929364279242,37.9,full,1.0,2026-09-15
1208,013757,泰信均衡价值混合A,-0.10820250478926163,56.8,full,1.0,2026-09-15
1209,005400,万家潜力价值灵活配置混合A,-0.10977724492702334,103.0,full,1.0,2026-09-15
1210,016166,万家颐远均衡一年持有混合发起A,-0.10980466154421731,48.5,full,1.0,2026-09-15
1211,016119,华富时代锐选混合A,-0.11108829744438686,45.5,full,1.0,2026-09-15
1212,007548,易方达ESG责任投资股票,-0.11279065894437412,84.4,full,1.0,2026-09-15
1213,006796,富国消费升级混合A,-0.1132222548657682,90.8,full,1.0,2026-09-15
1214,009124,华泰保兴科荣混合A,-0.1132815935185415,76.2,full,1.0,2026-09-15
1215,001371,富国沪港深价值混合A,-0.1142915532934885,134.7,full,1.0,2026-09-15
1216,017147,嘉实积极配置一年持有混合A,-0.1145332214628414,45.5,full,1.0,2026-09-15
1217,002300,长盛医疗量化股票A,-0.11458820032322492,127.4,full,1.0,2026-09-15
1218,003238,新华外延增长主题灵活配置混合,-0.11459159907770189,114.5,full,1.0,2026-09-15
1219,011643,嘉实时代先锋三年持有混合A,-0.11496047640900386,61.6,full,1.0,2026-09-15
1220,519651,银河转型混合A,-0.11904853066436627,136.1,full,1.0,2026-09-15
1221,014765,中欧碳中和混合发起A,-0.11927444228755013,54.4,full,1.0,2026-09-15
1222,005106,银华农业产业股票发起式A,-0.11940714841078537,107.6,full,1.0,2026-09-15
